"Backup options","Опције резервних копија"
"Warning","Упозорење"
"Cancel","Одустани"
"Ok","У реду"
"Insert Widget...","Убаци Виџет..."
"No records found.","Записи нису пронађени."
"Recent items","Скорашњи артикли"
"Show all...","Прикажи све..."
"Please enter a number greater 0 in this field.","У ово поље молимо унесите број већи од 0."
"Please select one of each ratings above.","Молим да изаберете један од наведених рејтинга."
"Please specify Url.","Одредите Урл."
"Method %s does not exist on jQuery.decorate","Метод %с не постоји у Јqуерy.децорате"
"Close","Затвори"
"Next","Следеће"
"Previous","Претходни"
"Please wait...","Молимо сачекајте..."
"Loading...","Учитавање..."
"All ","Све"
"more","више"
"Save","Сачувај"
"Translate","Превод"
"Submit","Пошаљи"
"Please enter {0} words or less.","Унесите {0} или мање речи."
"Please enter at least {0} words.","Унесите бар {0} речи."
"Please enter between {0} and {1} words.","Унесите између {0} и {1} речи."
"Letters or punctuation only please","Само слова и знакови интерпункције"
"Letters, numbers, spaces or underscores only please","Само слова, бројеви, размаци или подвлаке"
"Letters only please","Само слова"
"No white space please","Без размака, молим Вас"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","Ваш поштански број мора бити у опсегу 902xx-xxxx до 905-xx-xxxx"
"A positive or negative non-decimal number please","Само позитивни или негативни не-децимални бројеви"
"The specified vehicle identification number (VIN) is invalid.","Наведени идентификациони број возила (ВИН) је неисправан."
"Please enter a correct date","Унесите исправан датум"
"Please enter a valid time, between 00:00 and 23:59","Унесите исправно време, између 00:00 и 23:59"
"Please enter a valid time, between 00:00 am and 12:00 pm","Унесите исправно време, између 00:00 ам и 12:00 пм"
"Please specify a valid phone number","Унесите исправан број телефона"
"Please specify a valid mobile number","Унесите исправан број мобилног телефона"
"Please enter at least {0} characters","Унесите барем {0} карактера"
"Please remove invalid characters: {0}.","Уклоните неисправне карактере: {0}."
"Please enter a valid credit card number.","Молимо унесите важећи број кредитне картице."
"Please enter a valid IP v4 address.","Молимо унесите исправну ИП в4 адресу."
"Please enter a valid IP v6 address.","Молимо унесите исправну ИП в6 адресу."
"Invalid format.","Неисправан формат."
"HTML tags are not allowed.","ХТМЛ тагови нису дозвољени."
"Please select an option.","Изаберите неку опцију."
"Empty Value.","Празна вредност."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","Молимо користите само слова (а-з или А-З), бројеве (0-9) или размаке у овом пољу."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Молимо користите само слова (а-з или А-З), бројеве (0-9) или подвлаке (_) у овом пољу, и први карактер би требао бити слово."
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","Молимо користите само слова (а-з или А-З), бројеве (0-9), размаке и ""#"" у овом пољу."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Унесите исправан број телефона. На пример (123) 456-7890 ор 123-456-7890."
"Please enter a valid fax number (Ex: 123-456-7890).","Унесите исправан фаx број (На пример: 123-456-7890)."
"Please enter a valid email address (Ex: johndoe@domain.com).","Молимо унесите исправну емаил адресу (На пример: јохндое@домаин.цом)."
"Please enter 6 or more characters. Leading and trailing spaces will be ignored.","Унесите 6 или више карактера. Водећи и увучени размаци ће бити игнорисани."
"Please enter 7 or more characters, using both numeric and alphabetic.","Унесите 7 или више карактера, користећи бројеве и слова."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","Минимална дужина овог поља мора бити већа или једнака %1 симбола. Водећи и размаци на крају ће бити игнорисани."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Минимално %1 различитих типова карактера у лозинки. Класе карактера: мала слова, велика слова, бројеви, посебни карактери."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","Молимо унесите исправан УРЛ. Протокол је обавезан (хттп://, хттпс:// ор фтп://)."
"Please enter a valid URL. For example http://www.example.com or www.example.com.","Молимо унесите исправан УРЛ. На пример хттп://www.еxампле.цом или www.еxампле.цом."
"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","Молимо унесите исправну XМЛ ознаку (На пример: сометхинг_1, блоцк5, ид-4)."
"Please enter a valid social security number (Ex: 123-45-6789).","Унесите исправан заштићени број социјалног осигурања (На пример: 123-45-6789)."
"Please enter a valid zip code (Ex: 90602 or 90602-1234).","Молимо унесите исправан поштански број (На пример: 90602 или 90602-1234)."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Молимо да користите овај формат датума: дд/мм/yyyy. На пример 17/03/2006 за 17. март, 2006."
"Please enter a valid $ amount. For example $100.00.","Молимо унесите исправан износ у $. На пример $100.00."
"Please enter a number 0 or greater in this field.","У ово поље унесите број 0 или већи."
"Please enter a number greater than 0 in this field.","У ово поље унесите број већи од 0."
"Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","Молим унесите валидану ЦСС-дужину (Еx: 100пx, 77пт, 20ем, .5еx ор 50%)."
"Please enter a valid number in this field.","Молимо унесите важећи број у ово поље."
"The value is not within the specified range.","Вредност није у оквиру специфираног распона."
"Please use letters only (a-z or A-Z) in this field.","Молимо користите само слова (а-з или А-З) у овом пољу."
"Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Молимо користите само слова (а-з или А-З), бројеве (0-9) или подвлаке (_) у овом пољу, и први карактер би требао бити слово."
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.","Молимо користите само слова (а-з или А-З), бројеве (0-9) у овом пољу. Размак или други карактери нису дозвољени."
"Please enter a valid date.","Унесите исправан датум."
"Make sure the To Date is later than or the same as the From Date.","Уверите се да је до датум након или исти као и од датума."
"Please make sure your passwords match.","Проверите да ли се ваше лозинке подударају."
"Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","Унесите важећи УРЛ кључ (Нпр: ""еxампле-паге"", ""еxампле-паге.хтмл"" или ""анотхерлевел/еxампле-паге"")."
"Please enter a valid zip code.","Унесите исправан поштански број."
"Please select one of the options above.","Молим да изаберете један од опција изнад."
"Please select State/Province.","Изаберите државу/покрајину."
"Please select a file.","Молимо одаберите фајл."
"The field isn't complete.","Поље није комплетно."
"This is a required field.","Ово поље је неопходно."
"Please select one of the options.","Изаберите једну од опција."
"Please enter a value less than or equal to %s.","Молим унети вредност мању или једнаку %с."
"Please enter a value greater than or equal to %s.","Молим унети вредност већу или једнаку %с."
"Please enter valid email addresses, separated by commas. For example, johndoe@domain.com, johnsmith@domain.com.","Унесите важеће емаил адресе, одвојене зарезима. На пример: јохндое@домаин.цом, јохнсмитх@домаин.цом."
"Card type does not match credit card number.","Тип картице се не поклапа са бројем картице."
