"Backup options","Tùy chọn sao lưu"
"Warning","Cảnh báo"
"Cancel","Hủy bỏ"
"Ok","đồng ý"
"Insert Widget...","Insert Widget..."
"No records found.","Không có hồ sơ tìm thấy."
"Recent items","Gần đây Item"
"Show all...","Hiển thị tất cả..."
"Please enter a number greater 0 in this field.","Vui lòng nhập một số lớn hơn 0 trong trường này."
"Please select one of each ratings above.","Please select one of each ratings above."
"Please specify Url.","Please specify Url."
"Method %s does not exist on jQuery.decorate","Phương pháp %s không tồn tại trên jQuery.decorate"
"Close","Đóng lại"
"Next","Tiếp theo"
"Previous","Trước"
"Please wait...","Vui lòng chờ..."
"Loading...","Đang tải..."
"All ","All "
"more","thêm"
"Save","Save"
"Translate","Dịch"
"Submit","Gửi"
"Please enter {0} words or less.","Vui lòng nhập {0} từ hoặc ít hơn."
"Please enter at least {0} words.","Vui lòng nhập ít nhất {0} từ."
"Please enter between {0} and {1} words.","Vui lòng nhập giữa {0} và {1} từ."
"Letters or punctuation only please","Xin vui lòng chỉ dùng Chữ cái hoặc các dấu chấm câu"
"Letters, numbers, spaces or underscores only please","Xin vui lòng chỉ dùng Chữ cái, số, dấu cách trống hoặc gạch chân"
"Letters only please","Xin vui lòng chỉ dùng Chữ cái"
"No white space please","Xin vui lòng Không dùng cách trống"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","Mã vùng của bạn phải ở trong phạm vi 902xx-xxxx đến 905-xx-xxxx"
"A positive or negative non-decimal number please","Xin vui lòng nhập Một số không có phần thập phân âm hoặc dương"
"The specified vehicle identification number (VIN) is invalid.","Số nhận dạng đã chỉ định phương tiện (VIN) là không hợp lệ."
"Please enter a correct date","Vui lòng nhập đúng ngày"
"Please enter a valid time, between 00:00 and 23:59","Vui lòng nhập một thời gian hợp lệ, từ 00:00 đến 23:59"
"Please enter a valid time, between 00:00 am and 12:00 pm","Vui lòng nhập một thời gian hợp lệ, từ 00:00 am đến 12:00 pm"
"Please specify a valid phone number","Hãy chỉ định số điện thoại hợp lệ"
"Please specify a valid mobile number","Hãy chỉ ra một số điện thoại di động hợp lệ"
"Please enter at least {0} characters","Vui lòng nhập ít nhất {0} ký tự"
"Please remove invalid characters: {0}.","Please remove invalid characters: {0}."
"Please enter a valid credit card number.","Vui lòng nhập một số thẻ tín dụng hợp lệ."
"Please enter a valid IP v4 address.","Vui lòng nhập một địa chỉ IP v4 hợp lệ."
"Please enter a valid IP v6 address.","Vui lòng nhập một địa chỉ IP v6 hợp lệ."
"Invalid format.","Định dạng không hợp lệ."
"HTML tags are not allowed.","Thẻ HTML không được phép."
"Please select an option.","Xin vui lòng chọn một tùy chọn."
"Empty Value.","Giá trị trống."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","Vui lòng chỉ dùng các ký tự (a-z or A-Z), số (0-9) hoặc dấu cách trong vùng này."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Xin vui lòng sử dụng chỉ chữ cái (a-z or A-Z), số (0-9) hoặc gạch chân(_) trong trường này, ký tự đầu tiên nên là một chữ cái."
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","Xin vui lòng chỉ sử dụng chữ cái (a-z hoặc A-Z), số (0-9), cách trống và ""#"" trong trường này."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Vui lòng nhập một số điện thoại hợp lệ. ví dụ: (123) 456-7890 hoặc 123-456-7890."
"Please enter a valid fax number (Ex: 123-456-7890).","Vui lòng nhập một số fax hợp lệ (ví dụ: 123-456-7890)."
"Please enter a valid email address (Ex: johndoe@domain.com).","Vui lòng nhập một địa chỉ email hợp lệ (ví dụ: johndoe@domain.com)."
"Please enter 6 or more characters. Leading and trailing spaces will be ignored.","Vui lòng nhập 6 kí tự trở lên. Hàng đầu và chuỗi dấu cách sẽ bị bỏ qua."
"Please enter 7 or more characters, using both numeric and alphabetic.","Xin vui lòng nhập 7 ký tự hoặc nhiều hơn, bằng cách sử dụng cả số và chữ."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Tối thiểu của các nhóm khác nhau của các ký tự trong mật khẩu là %1. Các nhóm ký tự: chữ, chữ hoa, chữ số, ký tự đặc biệt."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","Vui lòng nhập một URL hợp lệ. Giao thức là bắt buộc (http://, https:// hoặc ftp: / /)."
"Please enter a valid URL. For example http://www.example.com or www.example.com.","Vui lòng nhập một URL hợp lệ. ví dụ http://www.example.com hoặc www.example.com."
"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","Vui lòng nhập một nhận dạng XML hợp lệ (ví dụ: something_1, block5, id-4)."
"Please enter a valid social security number (Ex: 123-45-6789).","Vui lòng nhập một số an sinh xã hội hợp lệ (ví dụ: 123-45-6789)."
"Please enter a valid zip code (Ex: 90602 or 90602-1234).","Vui lòng nhập mã zip hợp lệ (ví dụ: 90602 hoặc 90602-1234)."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Xin vui lòng sử dụng định dạng ngày tháng này: dd/mm/yyyy. Ví dụ: 17/03/2006 cho 17 Tháng ba, 2006."
"Please enter a valid $ amount. For example $100.00.","Vui lòng nhập một số tiền hợp lệ. Ví dụ: 100,00 $."
"Please enter a number 0 or greater in this field.","Hãy điền một số lớn hơn hoặc bằng 0 vào trường này."
"Please enter a number greater than 0 in this field.","Vui lòng nhập một số lớn hơn 0 trong trường này."
"Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","Hãy nhập vào CSS hợp lệ, chiều dài (ví dụ: 100px, 77pt, 20em, .5ex hoặc 50%)."
"Please enter a valid number in this field.","Vui lòng nhập một số hợp lệ trong lĩnh vực này."
"The value is not within the specified range.","Giá trị không phải là trong phạm vi được chỉ định."
"Please use letters only (a-z or A-Z) in this field.","Xin vui lòng chỉ sử dụng chữ cái (a-z hoặc A-Z) trong trường này."
"Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter."
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.","Xin vui lòng chỉ sử dụng chữ cái (a-z hoặc A-Z) hoặc số (0-9) trong trường này. Không có dấu cách hoặc ký tự khác được cho phép."
"Please enter a valid date.","Vui lòng nhập ngày hợp lệ."
"Make sure the To Date is later than or the same as the From Date.","Đảm bảo Ngày Đến muộn hơn hoặc tương tự như Ngày Bắt Đầu."
"Please make sure your passwords match.","Hãy chắc chắn rằng mật khẩu của bạn phù hợp."
"Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","Vui lòng nhập một URL key hợp lệ (ví dụ: ""trang ví dụ"", ""ví dụ-page.html"" hoặc ""anotherlevel/ví dụ-trang"")."
"Please enter a valid zip code.","Vui lòng nhập mã zip hợp lệ."
"Please select one of the options above.","Please select one of the options above."
"Please select State/Province.","Vui lòng chọn tiểu bang/tỉnh."
"Please select a file.","Please select a file."
"The field isn't complete.","Các lĩnh vực không phải là hoàn tất."
"This is a required field.","Đây là trường bắt buộc."
"Please select one of the options.","Vui lòng chọn một trong các tùy chọn này."
"Please enter a value less than or equal to %s.","Vui lòng nhập một giá trị ít hơn hoặc bằng với %s."
"Please enter a value greater than or equal to %s.","Vui lòng nhập một giá trị lớn hơn hoặc bằng %s."
"Please enter valid email addresses, separated by commas. For example, johndoe@domain.com, johnsmith@domain.com.","Please enter valid email addresses, separated by commas. For example, johndoe@domain.com, johnsmith@domain.com."
"Card type does not match credit card number.","Loại thẻ không khớp với số thẻ tín dụng."
"Credit card number does not match credit card type.","Số thẻ tín dụng không khớp với loại thẻ tín dụng."
"Incorrect credit card expiration date.","Ngày hết hạn thẻ tín dụng không chính xác."
"Please enter a valid credit card verification number.","Vui lòng nhập một số xác minh thẻ tín dụng hợp lệ."
"Please enter issue number or start date for switch/solo card type.","Hãy nhập số hoặc ngày bắt đầu cho loại thẻ switch/solo."
"Please enter less or equal than %1 symbols.","Please enter less or equal than %1 symbols."
"Please enter more or equal than %1 symbols.","Please enter more or equal than %1 symbols."
"Please enter positive number in this field.","Vui lòng nhập số dương trong trường này."
"Please enter a valid value, ex: 10,20,30","Vui lòng nhập một giá trị hợp lệ, ví dụ: 10,20,30"
"Please enter a valid value from list","Please enter a valid value from list"
"Please enter valid SKU key.","Please enter valid SKU key."
"Please enter a valid number.","Please enter a valid number."
"This is required field","This is required field"
"Admin is a required field in each row.","Admin is a required field in each row."
"Password cannot be the same as email address.","Password cannot be the same as email address."
"Please fix this field.","Please fix this field."
"Please enter a valid email address.","Vui lòng nhập một địa chỉ email hợp lệ."
"Please enter a valid URL.","Please enter a valid URL."
"Please enter a valid date (ISO).","Please enter a valid date (ISO)."
"Please enter only digits.","Please enter only digits."
"Please enter the same value again.","Please enter the same value again."
"Please enter no more than {0} characters.","Please enter no more than {0} characters."
"Please enter at least {0} characters.","Please enter at least {0} characters."
"Please enter a value between {0} and {1} characters long.","Please enter a value between {0} and {1} characters long."
"Please enter a value between {0} and {1}.","Please enter a value between {0} and {1}."
"Please enter a value less than or equal to {0}.","Vui lòng nhập một giá trị ít hơn hoặc bằng với {0}."
"Please enter a value greater than or equal to {0}.","Vui lòng nhập một giá trị lớn hơn hoặc bằng {0}."
"Please specify the quantity of product(s).","Hãy chỉ ra số lượng sản phẩm."
"Please enter a date between %min and %max.","Vui lòng nhập một ngày giữa % min và % max."
"Please enter a valid full date.","Please enter a valid full date."
"Please enter a valid month (1-12).","Vui lòng nhập một tháng hợp lệ (1-12)."
"Please enter a valid year (1900-%1).","Vui lòng nhập một năm hợp lệ (1900-%1)."
"Please enter a valid day (1-%1).","Vui lòng nhập một ngày hợp lệ (1-%1)."
"Please enter a date from the past.","Vui lòng nhập một ngày từ quá khứ."
"Maximum length of this field must be equal or less than %1 symbols.","Maximum length of this field must be equal or less than %1 symbols."
"Admin is a required field in the each row.","Admin is a required field in the each row."
"Please enter a quantity greater than 0.","Please enter a quantity greater than 0."
"The fewest you may purchase is %1.","The fewest you may purchase is %1."
"The maximum you may purchase is %1.","The maximum you may purchase is %1."
"You can buy this product only in quantities of %1 at a time.","You can buy this product only in quantities of %1 at a time."
"Forbidden extensions has been used. Avoid usage of ","Forbidden extensions has been used. Avoid usage of "
"No marginal white space please","No marginal white space please"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Please enter 6 or more characters. Leading or trailing spaces will be ignored."
"Enter valid SKU key","Enter valid SKU key"
"Swatch and Admin are the required fields in the each row.","Swatch and Admin are the required fields in the each row."
"Insert Variable","Insert Variable"
"Insert Widget","Insert Widget"
"The widget %1 is no longer available. Select a different widget.","The widget %1 is no longer available. Select a different widget."
"First character must be letter.","First character must be letter."
"The password can't be the same as the email address. Create a new password and try again.","The password can't be the same as the email address. Create a new password and try again."
