"Backup options","ตัวเลือกการสำรองข้อมูล"
"Warning","คำเตือน"
"Cancel","ยกเลิก"
"Ok","ตกลง"
"Insert Widget...","Insert Widget..."
"No records found.","ไม่พบข้อมูล"
"Recent items","รายการล่าสุด"
"Show all...","แสดงทั้งหมด..."
"Please enter a number greater 0 in this field.","โปรดป้อนตัวเลขที่มากกว่า 0 ในฟิลด์นี้"
"Please select one of each ratings above.","โปรดเลือกหนึ่งในแต่ละการให้คะแนนด้านบน"
"Please specify Url.","กรุณาระบุ Url"
"Method %s does not exist on jQuery.decorate","เมธอด %s ไม่มีอยู่ใน jQuery.decorate"
"Close","ปิด"
"Next","ถัดไป"
"Previous","ก่อนหน้านี้"
"Please wait...","กรุณารอสักครู่..."
"Loading...","กำลังโหลด..."
"All ","All "
"more","อื่นๆ"
"Save","Save"
"Translate","แปลแล้ว"
"Submit","ส่ง"
"Please enter {0} words or less.","โปรดป้อน {0} คำหรือน้อยกว่า"
"Please enter at least {0} words.","โปรดป้อนอย่างน้อย {0} คำ"
"Please enter between {0} and {1} words.","โปรดป้อนระหว่าง {0} ถึง {1} คำ"
"Letters or punctuation only please","โปรดใช้ตัวอักษรหรือเครื่องหมายวรรคตอนเท่านั้น"
"Letters, numbers, spaces or underscores only please","ตัวอักษร ตัวเลข ช่องว่าง หรือขีดล่างเท่านั้น"
"Letters only please","ใส่ตัวอักษรได้เท่านั้น"
"No white space please","ห้ามเว้นวรรค"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","รหัสไปรษณีย์ของคุณต้องอยู่ในช่วง 902xx-xxxx ถึง 905-xx-xxxx"
"A positive or negative non-decimal number please","กรุณาใส่ตัวเลขที่ไม่ใช่ทศนิยมบวกหรือลบ"
"The specified vehicle identification number (VIN) is invalid.","หมายเลขประจำตัวรถที่ระบุ (VIN) ไม่ถูกต้อง"
"Please enter a correct date","กรุณาใส่วันที่ที่ถูกต้อง"
"Please enter a valid time, between 00:00 and 23:59","โปรดป้อนเวลาที่ถูกต้อง ระหว่าง 00:00 น. ถึง 23:59 น."
"Please enter a valid time, between 00:00 am and 12:00 pm","โปรดป้อนเวลาที่ถูกต้อง ระหว่าง 00:00 น. ถึง 12:00 น."
"Please specify a valid phone number","โปรดระบุหมายเลขโทรศัพท์ที่ถูกต้อง"
"Please specify a valid mobile number","โปรดระบุหมายเลขโทรศัพท์มือถือที่ถูกต้อง"
"Please enter at least {0} characters","โปรดป้อนอย่างน้อย {0} ตัวอักษร"
"Please remove invalid characters: {0}.","โปรดลบอักขระที่ไม่ถูกต้อง: {0}"
"Please enter a valid credit card number.","โปรดป้อนหมายเลขบัตรเครดิตที่ถูกต้อง"
"Please enter a valid IP v4 address.","โปรดป้อนที่อยู่ IP v4 ที่ถูกต้อง"
"Please enter a valid IP v6 address.","โปรดป้อนที่อยู่ IP v6 ที่ถูกต้อง"
"Invalid format.","รูปแบบไม่ถูกต้อง"
"HTML tags are not allowed.","ไม่อนุญาตให้ใช้แท็ก HTML"
"Please select an option.","โปรดเลือกตัวเลือก"
"Empty Value.","ค่าว่าง"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","โปรดใช้เฉพาะตัวอักษร (a-z หรือ A-z), ตัวเลข (0-9) หรือ spaces ในฟิลด์นี้"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","โปรดใช้เฉพาะตัวอักษร (a-z หรือ A-Z) ตัวเลข (0-9) หรือขีดล่าง (_) ในช่องนี้ และอักขระตัวแรกควรเป็นตัวอักษร"
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","โปรดใช้เฉพาะตัวอักษร (a-z หรือ A-Z) ตัวเลข (0-9) ช่องว่าง และ ""#"" ในช่องนี้"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","โปรดป้อนหมายเลขโทรศัพท์ที่ถูกต้อง ตัวอย่างเช่น (123) 456-7890 หรือ 123-456-7890"
"Please enter a valid fax number (Ex: 123-456-7890).","โปรดป้อนหมายเลขแฟกซ์ที่ถูกต้อง (เช่น 123-456-7890)"
"Please enter a valid email address (Ex: johndoe@domain.com).","กรุณาใส่อีเมลที่ถูกต้อง (ตัวอย่าง: johndoe@domain.com)"
"Please enter 6 or more characters. Leading and trailing spaces will be ignored.","โปรดป้อนอักขระ 6 ตัวขึ้นไป ช่องว่างนำหน้าและต่อท้ายจะถูกละเว้น"
"Please enter 7 or more characters, using both numeric and alphabetic.","โปรดป้อนอักขระ 7 ตัวขึ้นไป โดยใช้ทั้งตัวเลขและตัวอักษร"
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","ความยาวขั้นต่ำของฟิลด์นี้จะต้องเท่ากับหรือมากกว่า %1 ตัวอักษร ช่องว่างด้านหน้าและต่อท้ายจะถูกละเว้น"
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","ขั้นต่ำของชนิดของตัวอักขระที่ควรแตกต่างกันในรหัสผ่านคือ %1 ชนิดของตัวอักขระ ได้แก่ ตัวพิมพ์เล็ก ตัวพิมพ์ใหญ่ ตัวเลข อักขระพิเศษ"
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","โปรดป้อน URL ที่ถูกต้อง. ต้องใช้โปรโตคอล (http://, https:// หรือ ftp://)"
"Please enter a valid URL. For example http://www.example.com or www.example.com.","โปรดป้อน URL ที่ถูกต้อง. ตัวอย่างเช่น http://www.example.com หรือ www.example.com"
"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","โปรดป้อนตัวระบุ XML ที่ถูกต้อง (เช่น something_1, block5, id-4)"
