"Backup options","बैकअप विकल्प"
"Warning","चेतावनी!"
"Cancel","रद्द करें"
"Ok","ठीक है"
"Insert Widget...","विजेट डालें ..."
"No records found.","कोई परिणाम नहीं मिला।"
"Recent items","हाल ही के आइटम"
"Show all...","सभी दिखाएँ..."
"Please enter a number greater 0 in this field.","कृपया इस क्षेत्र में संख्या 0 दर्ज करें।"
"Please select one of each ratings above.","कृपया ऊपर दी गई प्रत्येक रेटिंग का चयन करें।"
"Please specify Url.","कृपया Url निर्दिष्ट करें।"
"Method %s does not exist on jQuery.decorate","विधि %s jQuery.decorate पर मौजूद नहीं है"
"Close","बंद करें"
"Next","अगला"
"Previous","पिछला"
"Please wait...","कृपया प्रतीक्षा करें"
"Loading...","लोड हो रहा है..."
"All ","सभी "
"more","और"
"Save","सहेजें"
"Translate","अनुवाद करे"
"Submit","जमा करें"
"Please enter {0} words or less.","कृपया {0} शब्द या कम दर्ज करें।"
"Please enter at least {0} words.","कृपया कम से कम {0} शब्द दर्ज करें।"
"Please enter between {0} and {1} words.","कृपया {0} और {1} शब्दों के बीच दर्ज करें।"
"Letters or punctuation only please","पत्र या विराम चिह्न केवल कृपया"
"Letters, numbers, spaces or underscores only please","पत्र, संख्या, स्थान या अंडरस्कोर केवल कृपया"
"Letters only please","पत्र केवल कृपया"
"No white space please","कोई सफ़ेद जगह नहीं"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","आपका ज़िप-कोड 902xx-xxxx से 905-xx-xxxx तक होना चाहिए"
"A positive or negative non-decimal number please","एक सकारात्मक या नकारात्मक गैर-दशमलव संख्या कृपया"
"The specified vehicle identification number (VIN) is invalid.","निर्दिष्ट वाहन पहचान संख्या (VIN) अमान्य है।"
"Please enter a correct date","कृपया सही तिथि दर्ज करें"
"Please enter a valid time, between 00:00 and 23:59","कृपया एक मान्य समय दर्ज करें, 00:00 और 23:59 के बीच"
"Please enter a valid time, between 00:00 am and 12:00 pm","कृपया एक मान्य समय दर्ज करें, 00:00 बजे और 12:00 बजे के बीच"
"Please specify a valid phone number","कृपया एक मान्य फोन नंबर निर्दिष्ट करें"
"Please specify a valid mobile number","कृपया एक मान्य मोबाइल नंबर निर्दिष्ट करें"
"Please enter at least {0} characters","कृपया कम से कम {0} अक्षर दर्ज करें"
"Please remove invalid characters: {0}.","कृपया अमान्य वर्ण हटाएं: {0}।"
"Please enter a valid credit card number.","कृपया वैध क्रेडिट कार्ड नम्बर दर्ज करें।"
"Please enter a valid IP v4 address.","कृपया एक मान्य IP v4 पता दर्ज करें।"
"Please enter a valid IP v6 address.","कृपया एक मान्य IP v6 पता दर्ज करें।"
"Invalid format.","अवैध प्रारूप।"
"HTML tags are not allowed.","एच टी एम एल टैग्स स्वीकार्य नहीं हैं।"
"Please select an option.","कृपया एक विकल्प चुनें।"
"Empty Value.","खाली मूल्य।"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","कृपया इस क्षेत्र में केवल अक्षरों (ए-जेड या ए-जेड), संख्या (0-9) या रिक्त स्थान का उपयोग करें।"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","कृपया इस क्षेत्र में केवल अक्षरों (ए-जेड या ए-जेड), संख्याओं (0-9) या अंडरस्कोर (_) का उपयोग करें और पहला अक्षर अक्षर होना चाहिए।"
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","कृपया इस क्षेत्र में केवल अक्षरों (ए-जेड या ए-जेड), संख्याओं (0-9), रिक्त स्थान और ""#"" का उपयोग करें।"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","कृपया एक मान्य फोन नंबर दर्ज करें। उदाहरण के लिए (123) 456-7890 या 123-456-7890।"
"Please enter a valid fax number (Ex: 123-456-7890).","कृपया एक मान्य फ़ैक्स नंबर दर्ज करें (उदा: 123-456-7890)।"
"Please enter a valid email address (Ex: johndoe@domain.com).","कृपया एक मान्य ईमेल पता दर्ज करें (Ex: johndoe@domain.com)।"
"Please enter 6 or more characters. Leading and trailing spaces will be ignored.","कृपया 6 या अधिक वर्ण दर्ज करें। लीडिंग और ट्रेलिंग स्पेस को नजरअंदाज किया जाएगा।"
"Please enter 7 or more characters, using both numeric and alphabetic.","संख्यात्मक और अक्षर दोनों का उपयोग करके, 7 या अधिक वर्ण दर्ज करें।"
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","इस फ़ील्ड की न्यूनतम लंबाई < div वर्ग = ""notranslate"" > 0 </div> प्रतीकों से बराबर या अधिक होनी चाहिए । अग्रणी और पीछे आने वाली रिक्तियों पर ध्यान नहीं दिया जाएगा ।"
