"Backup options","Alternativer for sikkerhetskopiering"
"Warning","Advarsel"
"Cancel","Avbryt"
"Ok","Ok"
"Insert Widget...","Insert Widget..."
"No records found.","Ingen oppføringer funnet."
"Recent items","Siste elementer"
"Show all...","Vis alle..."
"Please enter a number greater 0 in this field.","Skriv inn et tall større 0 i dette feltet."
"Please select one of each ratings above.","Velg en av hver av rangeringene ovenfor."
"Please specify Url.","Angi Url-adressen."
"Method %s does not exist on jQuery.decorate","Metoden %s finnes ikke på jQuery.decorate"
"Close","Lukk"
"Next","Neste"
"Previous","Forrige"
"Please wait...","Vennligst vent..."
"Loading...","Laster..."
"All ","All "
"more","mer"
"Save","Save"
"Translate","Oversett"
"Submit","Lagre"
"Please enter {0} words or less.","Skriv inn {0} ord eller mindre."
"Please enter at least {0} words.","Skriv inn minst {0} ord."
"Please enter between {0} and {1} words.","Angi mellom {0} og {1} ord."
"Letters or punctuation only please","Kun bokstaver eller tegnsetting tillatt"
"Letters, numbers, spaces or underscores only please","Kun bokstaver, tall, mellomrom og understreker er tillatt"
"Letters only please","Kun bokstaver"
"No white space please","Vennligst ingen mellomrom"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx"
"A positive or negative non-decimal number please","Kun positivt eller negativt ikke-desimaltall tillatt"
"The specified vehicle identification number (VIN) is invalid.","Det angitte kjøretøy identifikasjonsnummeret (VIN) er ugyldig."
"Please enter a correct date","Skriv inn en riktig dato"
"Please enter a valid time, between 00:00 and 23:59","Skriv inn en gyldig tid, mellom 00:00 og 23:59"
"Please enter a valid time, between 00:00 am and 12:00 pm","Skriv inn en gyldig tid, mellom 00:00 og 12:00 pm"
"Please specify a valid phone number","Angi et gyldig telefonnummer"
"Please specify a valid mobile number","Angi et gyldig telefonnummer"
"Please enter at least {0} characters","Skriv inn minst {0} tegn"
"Please remove invalid characters: {0}.","Fjern ugyldige tegn: {0}."
"Please enter a valid credit card number.","Angi et gyldig kredittkortnummer."
"Please enter a valid IP v4 address.","Vennligst skriv inn en gyldig IP v4 adresse."
"Please enter a valid IP v6 address.","Skriv inn en gyldig IP v6 adresse."
"Invalid format.","Ugyldig format."
"HTML tags are not allowed.","HTML tags er ikke tillatt."
"Please select an option.","Velg et alternativ."
"Empty Value.","Tom verdi."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","Bruk bare bokstaver (a-z eller A-Z), tall (0-9) eller mellomrom i dette feltet."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Bruk kun bokstaver (a-z eller A-Z), tall (0-9) eller understrek (_) i dette feltet. Det første tegnet må være en bokstav."
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","Bruk bare bokstaver (a-z eller A-Z), tall (0-9), mellomrom eller ""#"" i dette feltet."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Skriv inn et gyldig telefonnummer. For eksempel (123) 456-7890 eller 123-456-7890."
"Please enter a valid fax number (Ex: 123-456-7890).","Angi et gyldig faks nummer (for eksempel 123-456-7890)."
"Please enter a valid email address (Ex: johndoe@domain.com).","Angi en gyldig e-postadresse (for eksempel johndoe@domain.com)."
"Please enter 6 or more characters. Leading and trailing spaces will be ignored.","Angi 6 eller flere tegn. Overflødige mellomrom vil bli ignorert."
"Please enter 7 or more characters, using both numeric and alphabetic.","Angi 7 eller flere tegn, både numeriske og alfabetiske."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","Minimumslengde for dette feltet må være %1 symboler eller flere. Overflødige mellomrom vil bli ignorert."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Minimum forskjellige klasser av tegn i passord er %1. Klasser av tegn: små bokstaver, store bokstaver, sifre, spesialtegn."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","Oppgi en gyldig URL. Protokoll er nødvendig (http://, https:// or ftp://)."
"Please enter a valid URL. For example http://www.example.com or www.example.com.","Oppgi en gyldig URL. For eksempel http://www.example.com eller www.example.com."
"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","Oppgi en gyldig XML-identifier (for eksempel something_1, block5, id-4)."
"Please enter a valid social security number (Ex: 123-45-6789).","Angi et gyldig personnummer (for eksempel 05099050898)."
"Please enter a valid zip code (Ex: 90602 or 90602-1234).","Venligst angi en gyldig postkode (F. eks. 6088)."
