"Backup options","خيارات النسخ الاحتياطي"
"Warning","تحذير"
"Cancel","إلغاء"
"Ok","موافق"
"Insert Widget...","إدراج رمز..."
"No records found.","لم يتم العثور على سجلات."
"Recent items","العناصر الحديثة"
"Show all...","إظهار الجميع..."
"Please enter a number greater 0 in this field.","فضلا قم بادخال رقم اكبر من 0 في الحقل."
"Please select one of each ratings above.","من فضلك قم باختيار إحدي التقييمات بالأعلى."
"Please specify Url.","يرجى تحديد URL."
"Method %s does not exist on jQuery.decorate","طريقة %s غير موجودة على jQuery.decorate"
"Close","إغلاق"
"Next","التالي"
"Previous","السابق"
"Please wait...","الرجاء الانتظار..."
"Loading...","جاري التحميل..."
"All ","الكل "
"more","المزيد"
"Save","حفظ"
"Translate","الترجمة"
"Submit","إرسال"
"Please enter {0} words or less.","الرجاء إدخال {0} كلمة او أقل."
"Please enter at least {0} words.","الرجاء إدخال {0} كلمة على الأقل."
"Please enter between {0} and {1} words.","الرجاء إدخال بين {0} و {1} كلمات."
"Letters or punctuation only please","فضلاً حروف و علامات ترقيم فقط"
"Letters, numbers, spaces or underscores only please","الحروف والأرقام والمسافات و الخط السفلي فقط"
"Letters only please","فضلاً حروف فقط"
"No white space please","لا توجد مساحة بيضاء من فضلك"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","رمزك البريدي يجب ان يكون من 902xx-xxxx الى 905-xx-xxxx"
"A positive or negative non-decimal number please","فضلاً عدد إيجابي او سلبي غير عشري"
"The specified vehicle identification number (VIN) is invalid.","رقم التعريف المحدد للمركبة (VIN) غير صالح."
"Please enter a correct date","الرجاء إدخال تاريخ صحيح"
"Please enter a valid time, between 00:00 and 23:59","الرجاء إدخال وقت صحيح، بين 00:00 و 23:59"
"Please enter a valid time, between 00:00 am and 12:00 pm","الرجاء إدخال وقت صحيح، بين الساعة 00:00 ص و 12:00 م"
"Please specify a valid phone number","الرجاء إدخال رقم هاتف صحيح"
"Please specify a valid mobile number","الرجاء إدخال رقم هاتف محمول صحيح"
"Please enter at least {0} characters","الرجاء إدخال {0} أحرف على الأقل"
"Please remove invalid characters: {0}.","الرجاء إزالة الأحرف غير الصالحة: {0}."
"Please enter a valid credit card number.","الرجاء ادخال رقم بطاقه الائتمان"
"Please enter a valid IP v4 address.","الرجاء إدخال عنوان IP من نوع v4 صحيح."
"Please enter a valid IP v6 address.","الرجاء إدخال عنوان IP من نوع v6 صحيح."
"Invalid format.","الصيغة غير صالحة."
"HTML tags are not allowed.","اكواد HTML غير مسموح بها."
"Please select an option.","يجب إختيار احد الخيارات."
"Empty Value.","قيمة فارغة."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","الرجاء استخدام فقط الأحرف (a إلى z أو A إلى Z)، الأرقام (0-9) أو مسافات فقط في هذا الحقل."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","الرجاء استخدام الأحرف (a إلى z أو A إلى Z)، الأرقام (0-9) أو تسطير أسفل السطر (_) في هذا الحقل، ويجب ان يبدا بحرف."
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","الرجاء استخدام الأحرف (a إلى z أو A إلى Z)، الأرقام (0-9)، المسافات و ""#"" في هذا الحقل."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","من فضلك قم بإدخال رقم هاتف صحيح. كمثال (123) 456-7890 أو 123-456-7890."
