"Backup options","બૅકઅપ વિકલ્પો"
"Warning","ચેતવણી"
"Cancel","રદ કરો"
"Ok","ઠીક છે"
"Insert Widget...","Insert Widget..."
"No records found.","કોઈ રેકોર્ડ મળ્યાં નથી."
"Recent items","તાજેતરની વસ્તુઓ"
"Show all...","બધું બતાવો..."
"Please enter a number greater 0 in this field.","કૃપા કરીને આ ક્ષેત્રમાં વધુ 0 દાખલ કરો."
"Please select one of each ratings above.","કૃપા કરીને ઉપરની દરેક રેટિંગ્સમાંથી એક પસંદ કરો."
"Please specify Url.","કૃપા કરીને યુઆરએલ સ્પષ્ટ કરો."
"Method %s does not exist on jQuery.decorate","પદ્ધતિ%s jQuery.decorate પર અસ્તિત્વમાં નથી"
"Close","બંધ"
"Next","આગળ"
"Previous","અગાઉના"
"Please wait...","મહેરબાની કરી રાહ જુવો..."
"Loading...","લોડ કરી રહ્યું છે ..."
"All ","All "
"more","વધુ"
"Save","Save"
"Translate","ભાષાંતર કરો"
"Submit","સબમિટ કરો"
"Please enter {0} words or less.","કૃપા કરીને {0} શબ્દો અથવા ઓછા દાખલ કરો."
"Please enter at least {0} words.","કૃપા કરીને ઓછામાં ઓછા {0} શબ્દો દાખલ કરો."
"Please enter between {0} and {1} words.","કૃપા કરીને {0} અને {1} શબ્દો વચ્ચે દાખલ કરો."
"Letters or punctuation only please","કૃપા કરીને ફક્ત લેટર્સ અથવા વિરામચિહ્ન"
"Letters, numbers, spaces or underscores only please","કૃપા કરીને ફક્ત લેટર્સ, નંબર્સ, સ્પેસ અથવા અન્ડરસ્કૉર્સ"
"Letters only please","કૃપા કરીને ફક્ત લેટર્સ"
"No white space please","કૃપા કરીને કોઈ સફેદ જગ્યા નથી"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","તમારો ઝીપ કોડ 902xx-xxxx થી 905-xx-xxxx ની રેન્જમાં હોવો આવશ્યક છે"
"A positive or negative non-decimal number please","કૃપા કરીને હકારાત્મક અથવા નકારાત્મક બિન-દશાંશ નંબર"
"The specified vehicle identification number (VIN) is invalid.","ઉલ્લેખિત વાહન ઓળખ નંબર (વીઆઈએન) અમાન્ય છે."
"Please enter a correct date","કૃપા કરી સાચી તારીખ દાખલ કરો"
"Please enter a valid time, between 00:00 and 23:59","કૃપા કરીને 00:00 અને 23:59 વચ્ચે, માન્ય સમય દાખલ કરો"
"Please enter a valid time, between 00:00 am and 12:00 pm","કૃપા કરીને 00:00 થી 12:00 વાગ્યા સુધી, માન્ય સમય દાખલ કરો"
"Please specify a valid phone number","કૃપા કરી માન્ય ફોન નંબરનો ઉલ્લેખ કરો"
"Please specify a valid mobile number","કૃપા કરી માન્ય મોબાઇલ નંબરનો ઉલ્લેખ કરો"
