"Backup options","Možnosti zálohovania"
"Warning","Upozornenie"
"Cancel","Zrušiť"
"Ok","Ok"
"Insert Widget...","Insert Widget..."
"No records found.","Nenašli sa žiadne záznamy."
"Recent items","Nedávné položky"
"Show all...","Zobraziť všetko..."
"Please enter a number greater 0 in this field.","Do tohto políčka zadajte číslo väčšie ako 0."
"Please select one of each ratings above.","Vyberte prosím jedno z hodnotení vyššie."
"Please specify Url.","Zadajte adresu Url."
"Method %s does not exist on jQuery.decorate","Metóda %s sa nenachádza v jQuery.decorate"
"Close","Zavrieť"
"Next","Nasledujúca"
"Previous","Predchádzajúca"
"Please wait...","Prosím, čakajte..."
"Loading...","Načítávanie..."
"All ","All "
"more","viac"
"Save","Save"
"Translate","Preložiť"
"Submit","Potvrdiť"
"Please enter {0} words or less.","Zadajte maximálne {0} slov(á)."
"Please enter at least {0} words.","Zadajte aspoň {0} slov(á)."
"Please enter between {0} and {1} words.","Zadajte {0} až {1} slov(á)."
"Letters or punctuation only please","Len písmená a interpunkčné znamienka"
"Letters, numbers, spaces or underscores only please","Len písmená, číslice, medzery alebo podčiarkovník"
"Letters only please","Len písmena"
"No white space please","Žiadne ""prázdne"" znaky prosím"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","Vaše PSČ musí byť v rozmedzí 902xx-xxxx 905-xx-xxxx"
"A positive or negative non-decimal number please","Iba celé čísla (kladné alebo záporné)"
"The specified vehicle identification number (VIN) is invalid.","Zadané Identifikačné číslo vozidla (VIN) je neplatné."
"Please enter a correct date","Zadajte správny dátum"
"Please enter a valid time, between 00:00 and 23:59","Zadajte platný čas od 00:00 do 23:59"
"Please enter a valid time, between 00:00 am and 12:00 pm","Zadajte platný čas od 00:00 do 12:00 v noci"
"Please specify a valid phone number","Zadajte platné telefónne číslo"
"Please specify a valid mobile number","Zadajte platné číslo mobilného telefónu"
"Please enter at least {0} characters","Zadajte aspoň {0} znakov"
"Please remove invalid characters: {0}.","Please remove invalid characters: {0}."
"Please enter a valid credit card number.","Zadajte číslo platnej platobnej karty."
"Please enter a valid IP v4 address.","Zadajte platnú adresu IP v4."
"Please enter a valid IP v6 address.","Zadajte platnú adresu IP v6."
"Invalid format.","Neplatný formát."
"HTML tags are not allowed.","HTML tagy nie sú povolené."
"Please select an option.","Vyberte možnosť."
"Empty Value.","Prázdna hodnota."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","V tomto políčku používajte iba písmená (a-z alebo A-Z), čísla (0-9) alebo medzery."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","V tomto políčku používajte iba písmená (a-z alebo A-Z), čísla (0-9) alebo podčiarnik (_) a prvý znak by malo byť písmeno."
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","V tomto políčku používajte iba písmená (a-z alebo A-Z), čísla (0-9), medzery a znak ""#""."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Zadajte platné telefónne číslo. Napríklad (123) 456-7890 alebo 123-456-7890."
"Please enter a valid fax number (Ex: 123-456-7890).","Zadajte platné faxové číslo (napr: 123-456-7890)."
"Please enter a valid email address (Ex: johndoe@domain.com).","Prosím, zadajte platnú e-mailovú adresu (napr: johndoe@domain.com)."
"Please enter 6 or more characters. Leading and trailing spaces will be ignored.","Zadajte prosím 6 alebo viac znakov. Medzery na začiatku a konci reťazca sú ignorované."
"Please enter 7 or more characters, using both numeric and alphabetic.","Zadajte prosím 7 alebo viac znakov, použite písmená aj číslice."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","Minimálna dĺžka tohto poľa musí byť minimálne %1 symboly. Medzery na začiatku a na konci budú ignorované."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Minimum rôznych druhov znakov v hesle je %1. Druhy znakov: malé písmená, veľké písmená, čísla, špeciálne znaky."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","Zadajte platnú adresu URL aj s protokolom (http://, https:// alebo ftp://)."
"Please enter a valid URL. For example http://www.example.com or www.example.com.","Zadajte platnú adresu URL. Napríklad http://www.example.com alebo www.example.com."
"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","Zadajte platný identifikátor XML (napr: nieco_1, block5, id-4)."
"Please enter a valid social security number (Ex: 123-45-6789).","Zadajte platné číslo sociálneho poistenia (Napr: 123-45-6789)."
"Please enter a valid zip code (Ex: 90602 or 90602-1234).","Zadajte platné PSČ (Napr: 90602 alebo 90602-1234)."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Použite tento formát dátumu: dd/mm/rrrr. Napríklad 17/03/2006 pre 17tý marec 2006."
"Please enter a valid $ amount. For example $100.00.","Prosím, zadajte platnú € hodnotu. Napríklad €100.00."
"Please enter a number 0 or greater in this field.","Do tohto poľa zadajte číslo 0 alebo väčšie."
"Please enter a number greater than 0 in this field.","Do tohto políčka zadajte číslo väčšie ako 0."
