"Backup options","Varmuuskopioinnin asetukset"
"Warning","Varoitus"
"Cancel","Peruuta"
"Ok","Ok"
"Insert Widget...","Insert Widget..."
"No records found.","Tuloksia ei löytynyt."
"Recent items","Äskeiset tuotteet"
"Show all...","Näytä kaikki..."
"Please enter a number greater 0 in this field.","Syötä nollaa (0) suurempi numero tähän kenttään."
"Please select one of each ratings above.","Valitse yksi jokaisesta ylläolevasta luokitukseta."
"Please specify Url.","Määritä URL-osoite."
"Method %s does not exist on jQuery.decorate","Menetelmää %s ei ole jQuery.decorate:ssa"
"Close","Sulje"
"Next","Seuraava"
"Previous","Edellinen"
"Please wait...","Ole hyvä ja odota..."
"Loading...","Ladataan..."
"All ","All "
"more","lisää"
"Save","Save"
"Translate","Käännä"
"Submit","Lähetä"
"Please enter {0} words or less.","Kirjoita {0} sanaa tai vähemmän."
"Please enter at least {0} words.","Kirjoita vähintään {0} sanaa."
"Please enter between {0} and {1} words.","Kirjoita {0}:sta {1}:een sanaa."
"Letters or punctuation only please","Ainoastaan kirjaimia tai välimerkkejä"
"Letters, numbers, spaces or underscores only please","Vain kirjaimia, numeroita, välilyöntejä tai alaviivoja"
"Letters only please","Vain kirjaimia"
"No white space please","Ei välilyöntejä"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","Postinumerosi on oltava väillä 902xx-xxxx ja 905-xx-xxxx"
"A positive or negative non-decimal number please","Positiivinen tai negatiivinen kokonaisluku"
"The specified vehicle identification number (VIN) is invalid.","Määritetty Ajoneuvon valmistenumero (VIN) ei kelpaa."
"Please enter a correct date","Anna oikea päivämäärä"
"Please enter a valid time, between 00:00 and 23:59","Anna kelvollinen aika klo 00:00-23:59"
"Please enter a valid time, between 00:00 am and 12:00 pm","Anna kelvollinen aika välillä 00:00 am ja 12:00 pm"
"Please specify a valid phone number","Määritä kelvollinen puhelinnumero"
"Please specify a valid mobile number","Määritä oikea matkapuhelinnumero"
"Please enter at least {0} characters","Kirjoita vähintään {0} merkkiä"
"Please remove invalid characters: {0}.","Poista virheelliset merkit: {0}."
"Please enter a valid credit card number.","Kirjoita voimassa oleva luottokorttinumero."
"Please enter a valid IP v4 address.","Kirjoita kelvollinen IP-v4-osoite."
"Please enter a valid IP v6 address.","Kirjoita kelvollinen IPv6-osoite."
"Invalid format.","Virheellinen muoto."
"HTML tags are not allowed.","HTML-tunnisteet eivät ole sallittuja."
"Please select an option.","Valitse vaihtoehto."
"Empty Value.","Tyhjä arvo."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","Käytä vain kirjaimia (a – ö tai A-Z), numeroita (0-9) tai välilyöntejä tässä kentässä."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Ole hyvä ja käytä vain kirjaimia (a – ö tai A-Z), numeroita (0-9) tai alaviivaa (_), ensimmäisen merkin on oltava kirjain."
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","Käytä vain kirjaimia (a-z tai A-Z), numeroita (0-9), välilyöntejä tai ""#"" tässä kentässä."
