"Backup options","אפשרויות גיבוי"
"Warning","אזהרה"
"Cancel","ביטול"
"Ok","אישור"
"Insert Widget...","Insert Widget..."
"No records found.","לא נמצאו רשומות."
"Recent items","פריטים אחרונים"
"Show all...","הצג הכל..."
"Please enter a number greater 0 in this field.","Please enter a number greater 0 in this field."
"Please select one of each ratings above.","נא לבחור אחד מהדירוגים הנ""ל."
"Please specify Url.","נא לציין Url."
"Method %s does not exist on jQuery.decorate","לא קיימת השיטה %s jQuery.decorate"
"Close","סגור"
"Next","הבא"
"Previous","הקודם"
"Please wait...","אנא המתן..."
"Loading...","טוען..."
"All ","All "
"more","עוד"
"Save","Save"
"Translate","תרגם"
"Submit","שליחה"
"Please enter {0} words or less.","אנא הזן {0} מילים או פחות."
"Please enter at least {0} words.","הזינו לפחות {0} מילים."
"Please enter between {0} and {1} words.","הזינו בבקשה בין מילים {0} ו- {1}."
"Letters or punctuation only please","אותיות או פיסוק בלבד"
"Letters, numbers, spaces or underscores only please","אותיות, מספרים, רווחים או מקפים תחתונים בלבד"
"Letters only please","אותיות בלבד"
"No white space please","No white space please"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","המיקוד שלך חייב להימצא בטווח 902xx-xxxx עד 905-xx-xxxx"
"A positive or negative non-decimal number please","A positive or negative non-decimal number please"
"The specified vehicle identification number (VIN) is invalid.","The specified vehicle identification number (VIN) is invalid."
"Please enter a correct date","Please enter a correct date"
"Please enter a valid time, between 00:00 and 23:59","Please enter a valid time, between 00:00 and 23:59"
"Please enter a valid time, between 00:00 am and 12:00 pm","Please enter a valid time, between 00:00 am and 12:00 pm"
"Please specify a valid phone number","Please specify a valid phone number"
"Please specify a valid mobile number","נא לציין מספר טלפון חוקי"
"Please enter at least {0} characters","הזינו לפחות {0} תווים"
"Please remove invalid characters: {0}.","Please remove invalid characters: {0}."
"Please enter a valid credit card number.","נא הזן מספר כרטיס אשראי תקף."
"Please enter a valid IP v4 address.","נא להזין כתובת IP v4 תקינה."
"Please enter a valid IP v6 address.","נא להזין כתובת IP v6 תקינה."
"Invalid format.","Invalid format."
"HTML tags are not allowed.","תגי HTML לא מורשים."
"Please select an option.","נא לבחור באפשרות."
"Empty Value.","ערך ריק."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","נא להשתמש רק באותיות (a-z או A-Z), מספרים (0-9) או קו תחתון(_) בתחום זה, והתו הראשון צריך להיות אות."
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890."
"Please enter a valid fax number (Ex: 123-456-7890).","נא להזין מספר פקס תקין (לדוגמה: 123-456-7890)."
"Please enter a valid email address (Ex: johndoe@domain.com).","הקלד כתובת אימייל תקינה (לדוגמא: johndoe@domain.com)."
"Please enter 6 or more characters. Leading and trailing spaces will be ignored.","Please enter 6 or more characters. Leading and trailing spaces will be ignored."
"Please enter 7 or more characters, using both numeric and alphabetic.","נא להזין 7 תווים או יותר, יש לכלול אותיות ומספרים."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","אורך מינימלי של שדה זה חייב להיות שווה או גדול מ- %1 תווים. ללא רווחים."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","מספר סוגי תווים מינימילי המותרים בסיסמה הינו %1. סוגי תווים: אותיות קטנות, אותיות גדולות, ספרות, תווים מיוחדים."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","אנא הזן כתובת URL חוקית. פרוטוקול נדרש (http://, https:// או ftp: / /)."
"Please enter a valid URL. For example http://www.example.com or www.example.com.","Please enter a valid URL. For example http://www.example.com or www.example.com."
"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","Please enter a valid XML-identifier (Ex: something_1, block5, id-4)."
"Please enter a valid social security number (Ex: 123-45-6789).","Please enter a valid social security number (Ex: 123-45-6789)."
"Please enter a valid zip code (Ex: 90602 or 90602-1234).","Please enter a valid zip code (Ex: 90602 or 90602-1234)."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","השתמש בתבנית התאריך הזה: dd/mm/yyyy. לדוגמה 17/03/2006 ה-17 במרץ 2006."
"Please enter a valid $ amount. For example $100.00.","Please enter a valid $ amount. For example $100.00."
"Please enter a number 0 or greater in this field.","אנא הזן את המספר 0 או גדול יותר בשדה זה."
"Please enter a number greater than 0 in this field.","נא הזן מספר גדול מ 0 בשדה זה."
"Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%)."
"Please enter a valid number in this field.","נא הזן מספר חוקי בשדה זה."
"The value is not within the specified range.","הערך אינו נמצא בתוך הטווח שצוין."
"Please use letters only (a-z or A-Z) in this field.","אנא השתמש אותיות בלבד (a-z או A-Z) בתחום זה."
"Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter."
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.","נא להשתמש רק באותיות (a-z או A-Z) או מספרים (0-9) בשדה זה. ללא רווחים או תווים אחרים מותרים."
"Please enter a valid date.","הזינו בבקשה תאריך חוקי."
"Make sure the To Date is later than or the same as the From Date.","ודא כי 'עד תאריך' מאוחר יותר או זהה ל-'מתאריך'."
"Please make sure your passwords match.","נא ודא שהסיסמאות שלך תואמות."
"Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"")."
"Please enter a valid zip code.","נא להזין מיקוד תקין."
"Please select one of the options above.","Please select one of the options above."
"Please select State/Province.","נא בחר מדינה/מחוז."
"Please select a file.","Please select a file."
"The field isn't complete.","שדה זה איננו מלא."
"This is a required field.","שדה זה הוא חובה."
"Please select one of the options.","נא בחר אחת מאפשרויות אלה."
"Please enter a value less than or equal to %s.","הזן ערך קטן או שווה ל %s."
"Please enter a value greater than or equal to %s.","נא הזן ערך גדול או שווה ל- %s."
"Please enter valid email addresses, separated by commas. For example, johndoe@domain.com, johnsmith@domain.com.","הזינו כתובות דוא""ל חוקיות, מופרדות באמצעות פסיקים. לדוגמה, johndoe@domain.com, johnsmith@domain.com."
"Card type does not match credit card number.","סוג הכרטיס אינו תואם את מספר כרטיס האשראי."
"Credit card number does not match credit card type.","מספר כרטיס האשראי אינו תואם סוג כרטיס אשראי."
"Incorrect credit card expiration date.","תאריך תפוגת כרטיס אשראי שגוי."
"Please enter a valid credit card verification number.","נא הזן מספר אימות כרטיס אשראי תקין."
"Please enter issue number or start date for switch/solo card type.","נא הזן מספר או תאריך התחלה עבור סוג כרטיס החלפה/בודד."
"Please enter less or equal than %1 symbols.","Please enter less or equal than %1 symbols."
"Please enter more or equal than %1 symbols.","Please enter more or equal than %1 symbols."
"Please enter positive number in this field.","נא להזין מספר חיובי בשדה זה."
"Please enter a valid value, ex: 10,20,30","Please enter a valid value, ex: 10,20,30"
"Please enter a valid value from list","נא הזן ערך חוקי מהרשימה"
"Please enter valid SKU key.","Please enter valid SKU key."
"Please enter a valid number.","Please enter a valid number."
"This is required field","זהו שדה חובה"
"Admin is a required field in each row.","Admin is a required field in each row."
"Password cannot be the same as email address.","Password cannot be the same as email address."
"Please fix this field.","בבקשה לתקן שדה זה."
"Please enter a valid email address.","נא להזין כתובת אימייל תקינה."
"Please enter a valid URL.","Please enter a valid URL."
"Please enter a valid date (ISO).","Please enter a valid date (ISO)."
"Please enter only digits.","Please enter only digits."
"Please enter the same value again.","Please enter the same value again."
"Please enter no more than {0} characters.","Please enter no more than {0} characters."
"Please enter at least {0} characters.","Please enter at least {0} characters."
"Please enter a value between {0} and {1} characters long.","Please enter a value between {0} and {1} characters long."
"Please enter a value between {0} and {1}.","Please enter a value between {0} and {1}."
"Please enter a value less than or equal to {0}.","Please enter a value less than or equal to {0}."
"Please enter a value greater than or equal to {0}.","נא הזן ערך גדול או שווה ל- {0}."
"Please specify the quantity of product(s).","נא לציין את כמות המוצרים."
"Please enter a date between %min and %max.","הזינו בבקשה תאריך בין % min ו- % max."
"Please enter a valid full date.","נא להקליד תאריך מלא."
"Please enter a valid month (1-12).","הזינו בבקשה את חודש חוקי (1-12)."
"Please enter a valid year (1900-%1).","הזינו בבקשה את ערך חוקי לשנה (1900-%1)."
"Please enter a valid day (1-%1).","הזינו בבקשה ערך חוקי ליום(1-%1)."
"Please enter a date from the past.","הזינו בבקשה תאריך מן העבר."
"Maximum length of this field must be equal or less than %1 symbols.","Maximum length of this field must be equal or less than %1 symbols."
"Admin is a required field in the each row.","Admin is a required field in the each row."
"Please enter a quantity greater than 0.","Please enter a quantity greater than 0."
"The fewest you may purchase is %1.","The fewest you may purchase is %1."
"The maximum you may purchase is %1.","The maximum you may purchase is %1."
"You can buy this product only in quantities of %1 at a time.","You can buy this product only in quantities of %1 at a time."
"Forbidden extensions has been used. Avoid usage of ","Forbidden extensions has been used. Avoid usage of "
"No marginal white space please","No marginal white space please"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Please enter 6 or more characters. Leading or trailing spaces will be ignored."
"Enter valid SKU key","Enter valid SKU key"
"Swatch and Admin are the required fields in the each row.","Swatch and Admin are the required fields in the each row."
"Insert Variable","Insert Variable"
"Insert Widget","Insert Widget"
"The widget %1 is no longer available. Select a different widget.","The widget %1 is no longer available. Select a different widget."
"First character must be letter.","First character must be letter."
"The password can't be the same as the email address. Create a new password and try again.","The password can't be the same as the email address. Create a new password and try again."
