"Backup options","Pilihan cadangan"
"Warning","Peringatan"
"Cancel","Batal"
"Ok","Baik"
"Insert Widget...","Sisipkan Widget..."
"No records found.","Tidak ditemukan catatan."
"Recent items","Item terbaru"
"Show all...","Tunjukkan semua..."
"Please enter a number greater 0 in this field.","Masukkan angka 0 di bidang ini."
"Please select one of each ratings above.","Silakan pilih salah satu dari setiap penilaian di atas."
"Please specify Url.","Silakan tentukan Url."
"Method %s does not exist on jQuery.decorate","Metode %s tidak ada di jQuery.decorate"
"Close","Tutup"
"Next","Berikutnya"
"Previous","Sebelumnya"
"Please wait...","Mohon tunggu..."
"Loading...","Pemuatan..."
"All ","Semua "
"more","lebih"
"Save","Simpan"
"Translate","Menterjemahkan"
"Submit","Menyerahkan"
"Please enter {0} words or less.","Silakan masukkan {0} kata atau kurang."
"Please enter at least {0} words.","Silakan masukkan setidaknya {0} kata-kata."
"Please enter between {0} and {1} words.","Silakan masukkan antara {0} dan {1} kata-kata."
"Letters or punctuation only please","Surat atau tanda baca saja"
"Letters, numbers, spaces or underscores only please","Huruf, angka, spasi atau garis bawah saja"
"Letters only please","Surat saja silahkan"
"No white space please","Tidak ada tempat putih silahkan"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","Kode pos Anda harus berada di kisaran 902xx-xxxx sampai 905-xx-xxxx"
"A positive or negative non-decimal number please","Angka positif atau negatif non-desimal tolong"
"The specified vehicle identification number (VIN) is invalid.","Nomor identifikasi kendaraan tertentu (VIN) tidak valid."
"Please enter a correct date","Silakan masukkan tanggal yang benar"
"Please enter a valid time, between 00:00 and 23:59","Silakan masukkan waktu yang valid, antara pukul 00:00 dan 23:59"
"Please enter a valid time, between 00:00 am and 12:00 pm","Silakan masukkan waktu yang valid, antara pukul 00:00 dan 12:00 pm"
"Please specify a valid phone number","Silakan tentukan nomor telepon yang valid"
"Please specify a valid mobile number","Silakan tentukan nomor ponsel yang valid"
"Please enter at least {0} characters","Silakan masukkan setidaknya {0} karakter"
"Please remove invalid characters: {0}.","Mohon hapus karakter yang tidak valid: {0}."
"Please enter a valid credit card number.","Silakan masukkan nomor kartu kredit yang benar."
"Please enter a valid IP v4 address.","Silakan masukkan alamat IP v4 yang valid."
"Please enter a valid IP v6 address.","Silakan masukkan alamat IP v6 yang valid."
"Invalid format.","Format yang tidak valid."
"HTML tags are not allowed.","Tag HTML tidak diizinkan."
"Please select an option.","Silahkan pilih salah satu pilihan."
"Empty Value.","Nilai kosong."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","Silakan gunakan hanya huruf (a-z atau A-Z), angka (0-9) atau spasi hanya di bidang ini."
