"Backup options","ಬ್ಯಾಕಪ್ ಆಯ್ಕೆಗಳು"
"Warning","ಎಚ್ಚರಿಕೆ"
"Cancel","ರದ್ದುಪಡಿಸಿ"
"Ok","ಓಕೆ"
"Insert Widget...","Insert Widget..."
"No records found.","ಯಾವುದೇ ದಾಖಲೆಗಳು ಕಂಡುಬಂದಿಲ್ಲ."
"Recent items","ಇತ್ತೀಚಿನ ವಸ್ತುಗಳು"
"Show all...","ಎಲ್ಲವನ್ನೂ ಪ್ರದರ್ಶಿಸಿ..."
"Please enter a number greater 0 in this field.","ದಯವಿಟ್ಟು 0 ಗಿಂತ ಹೆಚ್ಚಿನ ಅಂಕೆಯನ್ನು ಈ ವಲಯದಲ್ಲಿ ನಮೂದಿಸಿ."
"Please select one of each ratings above.","ದಯವಿಟ್ಟು ಮೇಲಿನ ಪ್ರತಿಯೊಂದು ರೇಟಿಂಗಿನಲ್ಲಿ ಒಂದನ್ನು ಆರಿಸಿಕೊಳ್ಳಿ."
"Please specify Url.","ದಯವಿಟ್ಟು Url ಅನ್ನು ಸೂಚಿಸಿ."
"Method %s does not exist on jQuery.decorate","Jquery.decorate ಯಲ್ಲಿ %s ಮೆಥೆಡ್ ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ"
"Close","ಮುಚ್ಚಿರಿ"
"Next","ಮುಂದೆ"
"Previous","ಹಿಂದಿನ"
"Please wait...","ದಯವಿಟ್ಟು ಕಾಯಿರಿ..."
"Loading...","ಸಜ್ಜುಗೊಳಿಸಲಾಗುತ್ತಿದೆ..."
"All ","All "
"more","ಇನ್ನಷ್ಟು"
"Save","Save"
"Translate","ಅನುವಾದಿಸಿ"
"Submit","ಸಲ್ಲಿಸಿ"
"Please enter {0} words or less.","ದಯವಿಟ್ಟು {0} ಅಥವಾ ಕಡಿಮೆ ಪದಗಳನ್ನು ನಮೂದಿಸಿ."
"Please enter at least {0} words.","ದಯವಿಟ್ಟು ಕನಿಷ್ಟ {0} ಪದಗಳನ್ನು ನಮೂದಿಸಿ."
"Please enter between {0} and {1} words.","ದಯವಿಟ್ಟು {0} ಮತ್ತು {1} ರ ನಡುವಿನ ಪದಗಳನ್ನು ನಮೂದಿಸಿ."
"Letters or punctuation only please","ಗಮನಿಸಿ, ಅಕ್ಷರಗಳು ಅಥವಾ ವಿರಾಮ ಚಿಹ್ನೆಗಳು ಮಾತ್ರ"
"Letters, numbers, spaces or underscores only please","ಗಮನಿಸಿ, ಅಕ್ಷರಗಳು, ಅಂಕೆಗಳು, ಖಾಲಿಜಾಗಗಳು ಅಥವಾ ಅಡಿಗೆರೆಗಳು ಮಾತ್ರ"
"Letters only please","ಗಮನಿಸಿ, ಅಕ್ಷರಗಳು ಮಾತ್ರ"
"No white space please","No white space please"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","ನಿಮ್ಮ ಪಿನ್ ಕೋಡ್ 902xx-xxxx ರಿಂದ 905-xx-xxxx ವರೆಗಿನ ವ್ಯಾಪ್ತಿಯಲ್ಲಿರಬೇಕು"
"A positive or negative non-decimal number please","ದಯವಿಟ್ಟು ಧನಾತ್ಮಕ ಅಥವಾ ಋಣಾತ್ಮಕ ದಶಮಾನ ವಲ್ಲದ ಅಂಕೆಯನ್ನು ನಮೂದಿಸಿ"
"The specified vehicle identification number (VIN) is invalid.","ಸೂಚಿಸಿದ ವಾಹನ ಗುರುತಿನ ಸಂಖ್ಯೆ (VIN) ಅಸಿಂಧುವಾಗಿದೆ."
"Please enter a correct date","ದಯವಿಟ್ಟು ಸರಿಯಾದ ದಿನಾಂಕವನ್ನು ನಮೂದಿಸಿ"
"Please enter a valid time, between 00:00 and 23:59","ದಯವಿಟ್ಟು 00:00 ಮತ್ತು 23:59 ನಡುವಿನ ಸರಿಯಾದ ಸಮಯವನ್ನು ನಮೂದಿಸಿ"
"Please enter a valid time, between 00:00 am and 12:00 pm","ದಯವಿಟ್ಟು 00:00 am ಮತ್ತ್ತು 12:00 pm ನಡುವಿನ ಸರಿಯಾದ ಸಮಯವನ್ನು ನಮೂದಿಸಿ"
"Please specify a valid phone number","ದಯವಿಟ್ಟು ಸರಿಯಾದ ದೂರವಾಣಿ ಸಂಖ್ಯೆಯನ್ನು ನಮೂದಿಸಿ"
"Please specify a valid mobile number","ದಯವಿಟ್ಟು ಸರಿಯಾದ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಯನ್ನು ನಮೂದಿಸಿ"
"Please enter at least {0} characters","ದಯವಿಟ್ಟು ಕನಿಷ್ಟ {0} ಅಕ್ಷರಗಳನ್ನು ನಮೂದಿಸಿ"
"Please remove invalid characters: {0}.","ದಯವಿಟ್ಟು ಅಮಾನ್ಯವಾದ ಅಕ್ಷರಗಳನ್ನು ತೆಗದುಹಾಕಿ: {0}."
"Please enter a valid credit card number.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ಸಂಖ್ಯೆಯನ್ನು ನಮೂದಿಸಿ."
"Please enter a valid IP v4 address.","ದಯವಿಟ್ಟು ಸರಿಯಾದ IP v4 ವಿಳಾಸವನ್ನು ನಮೂದಿಸಿ."
"Please enter a valid IP v6 address.","ದಯವಿಟ್ಟು ಸರಿಯಾದ IP v6 ವಿಳಾಸವನ್ನು ನಮೂದಿಸಿ."
"Invalid format.","ಅಸಿಂಧುವಾದ ಮಾದರಿ."
"HTML tags are not allowed.","HTML ಟ್ಯಾಗ್ ಗಳಿಗೆ ಮಾನ್ಯತೆಯಿಲ್ಲ."
"Please select an option.","ದಯವಿಟ್ಟು ಒಂದು ಆಯ್ಕೆಯನ್ನು ಆರಿಸಿ."
"Empty Value.","ಶೂನ್ಯ ಬೆಲೆ."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","ದಯವಿಟ್ಟು ಅಕ್ಷರಗಳು(a-z or A-Z), ಅಂಕೆಗಳು(0-9) ಅಥವಾ ಖಾಲಿಜಾಗಗಳನ್ನು ಮಾತ್ರ ಈ ವಲಯದಲ್ಲಿ ಬಳಸಿ."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","ದಯವಿಟ್ಟು ಅಕ್ಷರಗಳು(a-z or A-Z), ಅಂಕೆಗಳು (0-9) ಅಥವಾ ಅಡಿಗೆರೆಗಳು(_) ಅನ್ನು ಮಾತ್ರ ಈ ವಲಯದಲ್ಲಿ ಬಳಸಿ ಮತ್ತು 
ಪದದ ಮೊದಲ ಅಕ್ಷರ ಅಕ್ಷರವಾಗಿರಬೇಕು."
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","ದಯವಿಟ್ಟು ಅಕ್ಷರಗಳು(a-z or A-Z), ಅಂಕೆಗಳು(0-9), ಖಾಲಿಜಾಗ ಮತ್ತು ""#"" ಗಳನ್ನು ಮಾತ್ರ ಈ ವಲಯದಲ್ಲಿ ಬಳಸಿ."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ದೂರವಾಣಿ ಸಂಖ್ಯೆಯನ್ನು ನಮೂದಿಸಿ. ಉದಾ (123) 456-7890 ಅಥವಾ 123-456-7890."
