"Backup options","Options de sauvegarde"
"Warning","Attention"
"Cancel","Annuler"
"Ok","OK"
"Insert Widget...","Insérer un widget..."
"No records found.","Aucun élément trouvé."
"Recent items","Articles récents"
"Show all...","Tout afficher..."
"Please enter a number greater 0 in this field.","Veuillez saisir un nombre supérieur à 0 dans ce champ."
"Please select one of each ratings above.","Sélectionnez une note pour chaque critère ci-dessus."
"Please specify Url.","Merci de spécifier l'url."
"Method %s does not exist on jQuery.decorate","La méthode %s n'est pas définie dans jQuery.decorate"
"Close","Fermer"
"Next","Suivant"
"Previous","Précédent"
"Please wait...","Veuillez patienter..."
"Loading...","En cours de chargement..."
"All ","Plus"
"more","plus"
"Save","Sauvegarder"
"Translate","Valider"
"Submit","Valider"
"Please enter {0} words or less.","Veuillez entrer {0} mots ou moins."
"Please enter at least {0} words.","Veuillez saisir au moins {0} mots."
"Please enter between {0} and {1} words.","Veuillez saisir entre {0} et {1} mots."
"Letters or punctuation only please","Lettres ou signes de ponctuation uniquement s’il vous plaît"
"Letters, numbers, spaces or underscores only please","Lettres, chiffres, espaces ou underscores (_) seulement"
"Letters only please","Lettres uniquement"
"No white space please","Pas d'espace"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","Votre code postal doit être dans la gamme 902xx-xxxx à 905-xx-xxxx"
"A positive or negative non-decimal number please","Nombre sans virgule, positif ou négatif"
"The specified vehicle identification number (VIN) is invalid.","Le numéro d’identification de véhicule (VIN) n’est pas valide."
"Please enter a correct date","Veuillez saisir une date valide"
"Please enter a valid time, between 00:00 and 23:59","Veuillez saisir une heure valide, entre 00:00 et 23:59."
"Please enter a valid time, between 00:00 am and 12:00 pm","Veuillez entrer une heure valide, entre 00:00 am et 12:00 pm"
"Please specify a valid phone number","Merci de saisir un numéro de téléphone valide"
"Please specify a valid mobile number","Merci de saisir un numéro de mobile valide"
"Please enter at least {0} characters","Veuillez saisir au moins {0} caractères"
"Please remove invalid characters: {0}.","Veuillez supprimer les caractères non valides : {0}."
"Please enter a valid credit card number.","Veuillez saisir un numéro de carte bancaire valide."
"Please enter a valid IP v4 address.","Entrez une adresse IP v4 valide."
"Please enter a valid IP v6 address.","Entrez une adresse IP v6 valide."
"Invalid format.","Format invalide."
"HTML tags are not allowed.","Les balises HTML ne sont pas autorisées."
"Please select an option.","Merci de choisir une option."
"Empty Value.","Valeur vide."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","Veuillez utiliser uniquement des lettres (a-z ou A-Z), des chiffres (0-9) ou des espaces dans ce champ."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Utilisez uniquement des lettres (a-z ou A-Z), des chiffres (0-9) ou des underscores (_) dans ce champ. Le premier caractère doit être une lettre."
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","Veuillez utiliser uniquement lettres (a-z ou A-Z), chiffres (0-9), espaces et ""#"" dans ce champ."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Veuillez saisir un numéro de téléphone valide."
"Please enter a valid fax number (Ex: 123-456-7890).","Veuillez entrer un numéro de fax valide (Ex : 0123456789)."
"Please enter a valid email address (Ex: johndoe@domain.com).","Veuillez entrer une adresse courriel valide (Ex : johndoe@domain.com)."
"Please enter 6 or more characters. Leading and trailing spaces will be ignored.","Veuillez saisir au moins 6 caractères. Les espaces en début ou en fin de chaîne seront ignorés."
"Please enter 7 or more characters, using both numeric and alphabetic.","S’il vous plaît entrer 7 caractères ou plus, à l’aide de numérique et alphabétique."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","La longueur minimale de ce champ doit être égale ou supérieure à %1 symboles. Des espaces de début et de fin seront ignorées."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Minimum de différentes classes de caractères de mot de passe est %1. Classes de caractères : minuscules, majuscules, chiffres, caractères spéciaux."
