"Backup options","Zaxira imkoniyatlari"
"Warning","Ogohlantirish"
"Cancel","Bekor qilish"
"Ok","Ok"
"Insert Widget...","Insert Widget..."
"No records found.","Hech qanday yozuv topilmadi."
"Recent items","Oxirgi mahsulotlar"
"Show all...","Barchasi..."
"Please enter a number greater 0 in this field.","Iltimos, ushbu qatorga 0dan katta raqamni kiriting."
"Please select one of each ratings above.","Yuqoridagi reytinglardan birini tanlang."
"Please specify Url.","Iltimos, Url manzilini ko'rsating."
"Method %s does not exist on jQuery.decorate","%s usuli jQuery.decorate da mavjud emas"
"Close","Yoping"
"Next","Keyingi"
"Previous","Avvalgi"
"Please wait...","Iltimos kuting..."
"Loading...","Yuklanmoqda..."
"All ","All "
"more","ko'proq"
"Save","Save"
"Translate","Tarjima qiling"
"Submit","Yuborish"
"Please enter {0} words or less.","Iltimos, {0} yoki undan kam so'zni kiriting."
"Please enter at least {0} words.","Iltimos, kamida {0} so'zni kiriting."
"Please enter between {0} and {1} words.","Iltimos, {0} va {1} so'zlarni kiriting."
"Letters or punctuation only please","Faqat harflar yoki tinish belgilaridan foydalaning"
"Letters, numbers, spaces or underscores only please","Iltimos, faqat harflar, raqamlar yoki pastki chiziqdan foydalaning"
"Letters only please","Faqat harflar, iltimos"
"No white space please","Iltimos, bo'sh joy qoldirman"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","Pochta kodingiz 902xx-xxxx va 905-xx-xxxx oralig'ida bo'lishi kerak"
"A positive or negative non-decimal number please","Iltimos ijobiy yoki salbiy bo'lmagan kasr sonlarini kiriting"
"The specified vehicle identification number (VIN) is invalid.","Belgilangan transport vositasining identifikatsiya raqami (VIN) yaroqsiz."
"Please enter a correct date","Iltimos sanani to'g'ri kiriting"
"Please enter a valid time, between 00:00 and 23:59","Iltimos 00:00 va 23:59 oralig'idagi vaqtni kiriting"
"Please enter a valid time, between 00:00 am and 12:00 pm","Iltimos 00:00 am va 12:00 pm oralig'idagi vaqtni kiriting"
"Please specify a valid phone number","Iltimos, telefon raqamini to'g'ri ko'rsating"
"Please specify a valid mobile number","Iltimos, telefon raqamini to'g'ri ko'rsating"
"Please enter at least {0} characters","Iltimos, kamida {0} belgini kiriting"
"Please remove invalid characters: {0}.","Noto'g'ri belgilarni o'chirib tashlang: {0}."
"Please enter a valid credit card number.","Iltimos, kredit karta raqamini to'g'ri kiriting."
"Please enter a valid IP v4 address.","Iltimos IP v4 manzilini kiriting."
"Please enter a valid IP v6 address.","Iltimos IP v6 manzilini kiriting."
"Invalid format.","Format yaroqsiz."
"HTML tags are not allowed.","HTML teglariga ruxsat berilmaydi."
"Please select an option.","Iltimos, biron-bir variantni tanlang."
"Empty Value.","Bo'sh qiymat."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","Iltimos ushbu maydonda faqat (a-z yoki A-Z) harflari yoki (0-9) sonlarni ishlating."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Iltimos, ushbu maydonda faqat harflar (a-z yoki A-Z), raqamlar (0-9) yoki pastki chiziq (_) dan foydalaning va birinchi belgi bir harf bo'lishi kerak."
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","Faqatgina harflar (a-z yoki A-Z), raqamlar (0-9), bo'shliqlar va ""#""dan foydalaning."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Telefon raqamini tog'ri kiriting. Masalan, +998 91 1234567 yoki 998971234567."
"Please enter a valid fax number (Ex: 123-456-7890).","Iltimos fax raqamini to'g'ri kiriting (masalan: 998711234567)."
"Please enter a valid email address (Ex: johndoe@domain.com).","Iltimos email manzilini to'g'ri kiriting (masalan: toshmat@mail.uz)."
"Please enter 6 or more characters. Leading and trailing spaces will be ignored.","6 yoki undan ortiq belgini kiriting. Bo'sh joylar (пробел) e'tiborga olinmaydi."
"Please enter 7 or more characters, using both numeric and alphabetic.","Raqamli va harflardan foydalanib, 7 yoki undan ortiq belgini kiriting."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","Ushbu maydonning minimal uzunligi %1 belgiga teng yoki undan katta bo'lishi kerak. Bo'sh joylar (пробел) e'tiborga olinmaydi."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Paroldagi eng kam belgilar soni - %1. Belgilar sinflari: kichik harflar, katta harflar, raqamlar, maxsus belgilar."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","Iltimos, manzilni to'g'ri kiriting. (http: //, https: // yoki ftp: //) protokollar talab qilinadi."
"Please enter a valid URL. For example http://www.example.com or www.example.com.","Iltimos, manzilni to'g'ri kiriting. Masalan, http://www.example.com yoki www.example.com."
"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","Iltimos XML identifikatorini to'g'ri kiriting (Misol: something_1, block5, id-4)."
"Please enter a valid social security number (Ex: 123-45-6789).","Iltimos, tegishli ijtimoiy xavfsizlik raqamini kiriting (masalan, 123-45-6789)."
"Please enter a valid zip code (Ex: 90602 or 90602-1234).","Iltimos, pochta indeksini kiriting (Misol: 10021 yoki 90602-1234)."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Iltimos, sanani ushbu formatini kiriting: kun / oy / yil. Masalan, 17/03/2006 yil, 2006 yil 17 mart."
"Please enter a valid $ amount. For example $100.00.","Yaroqli $ miqdorini kiriting. Masalan, $ 100.00."
"Please enter a number 0 or greater in this field.","Iltimos, ushbu sohada 0 yoki undan katta sonni kiriting."
"Please enter a number greater than 0 in this field.","Iltimos, ushbu sohada 0dan katta raqamni kiriting."
"Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","Iltimos, tegishli CSS uzunligini kiriting (Misol: 100px, 77pt, 20em, .5ex yoki 50%)."
"Please enter a valid number in this field.","Iltimos, ushbu sohada haqiqiy raqamni kiriting."
"The value is not within the specified range.","Qiymat belgilangan oraliqda emas."
"Please use letters only (a-z or A-Z) in this field.","Iltimos, ushbu sohada faqat harflardan foydalaning (a-z yoki A-Z)."
"Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter."
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.","Iltimos, ushbu maydonda faqat harflardan foydalaning (a-z yoki A-Z) yoki raqamlar (0-9). Bo'sh joylar yoki boshqa belgilarga ruxsat berilmaydi."
"Please enter a valid date.","Iltimos, joriy kunni kiriting."
"Make sure the To Date is later than or the same as the From Date.","Kiritish sanasi Sana yoki undan keyingi vaqtga to'g'ri kelishiga ishonch hosil qiling."
"Please make sure your passwords match.","Iltimos parollaringiz bilan mos kelishiga ishonch hosil qiling."
"Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","Iltimos, haqiqiy URL kalitini kiriting (Misol: ""example-page"", ""example-page.html"" yoki ""ikkinchi darajali /example-page"")."
"Please enter a valid zip code.","Iltimos, pochta indeksi to'g'ri kiriting."
"Please select one of the options above.","Iltimos, yuqoridagi variantlardan birini tanlang."
"Please select State/Province.","Iltimos, Davlat/Viloyatingizni tanlang."
"Please select a file.","Iltimos, faylni tanlang."
"The field isn't complete.","Maydon bo'sh."
"This is a required field.","Bu majburiy maydon."
"Please select one of the options.","Iltimos, variantlardan birini tanlang."
"Please enter a value less than or equal to %s.","Iltimos, %s dan kam yoki teng qiymatni kiriting."
"Please enter a value greater than or equal to %s.","Iltimos, %s dan katta yoki teng qiymatni kiriting."
"Please enter valid email addresses, separated by commas. For example, johndoe@domain.com, johnsmith@domain.com.","Iltimos, amaldagi email manzillarini kiriting va vergul bilan ajratib qo'ying. (Masalan: toshmat@mail.uz, akmaljon@mail.uz)."
"Card type does not match credit card number.","Karta turi kredit karta raqamiga mos kelmadi."
"Credit card number does not match credit card type.","Kredit karta raqami kredit kartasi turiga mos kelmadi."
"Incorrect credit card expiration date.","Kredit kartasining amal qilish muddati noto'g'ri."
"Please enter a valid credit card verification number.","Iltimos joriy kredit karta tasdiqlash raqamini kiriting."
"Please enter issue number or start date for switch/solo card type.","Iltimos, kartichkani tasdiqlash uchun uning amal qilish muddatini kiriting."
"Please enter less or equal than %1 symbols.","Iltimos, %1 yoki undan kam belgilarni kiriting."
"Please enter more or equal than %1 symbols.","Iltimos, %1 belgilaridan ko'proq yoki teng kiriting."
"Please enter positive number in this field.","Iltimos, ushbu maydonga ijobiy raqamni kiriting."
"Please enter a valid value, ex: 10,20,30","Iltimos tegishli qiymatni kiriting, masalan: 10,20,30"
"Please enter a valid value from list","Iltimos, ro'yxatdagi tegishli qiymatni kiriting"
"Please enter valid SKU key.","Iltimos, joriy SKU tugmachasini kiriting."
"Please enter a valid number.","Iltimos, to'g'ri raqamni kiriting."
"This is required field","To'ldirish shart emas"
"Admin is a required field in each row.","Admin is a required field in each row."
"Password cannot be the same as email address.","Password cannot be the same as email address."
"Please fix this field.","Iltimos, ushbu maydonni tuzating."
"Please enter a valid email address.","Iltimos amaldagi email manzilingizni kiriting."
"Please enter a valid URL.","Iltimos, URL ni to'g'ri kiriting."
"Please enter a valid date (ISO).","Sanani to'g'ri kiriting (ISO)."
"Please enter only digits.","Iltimos, faqat raqamlarni kiriting."
"Please enter the same value again.","Xuddi shu qiymatni takrorlang."
"Please enter no more than {0} characters.","Iltimos, {0} dan ortiq belgini kiriting."
"Please enter at least {0} characters.","Iltimos, kamida {0} belgini kiriting."
"Please enter a value between {0} and {1} characters long.","Iltimos, {0} va {1} belgilar uzunligi o'rtasida qiymat kiriting."
"Please enter a value between {0} and {1}.","Iltimos, {0} va {1} o'rtasida qiymat kiriting."
"Please enter a value less than or equal to {0}.","Iltimos, {0} dan kam yoki teng qiymatni kiriting."
"Please enter a value greater than or equal to {0}.","Iltimos, {0} dan katta yoki teng qiymatni kiriting."
"Please specify the quantity of product(s).","Iltimos, mahsulot (lar) ning miqdorini ko'rsating."
"Please enter a date between %min and %max.","%min va %max orasidagi sanani belgilang."
"Please enter a valid full date.","Amaldagi to'liq sana kiriting."
"Please enter a valid month (1-12).","Iltimos, joriy oyni kiriting (1-12)."
"Please enter a valid year (1900-%1).","Iltimos, joriy yil kiriting (1900-%1)."
"Please enter a valid day (1-%1).","Iltimos, joriy kunni kiriting (1-%1)."
"Please enter a date from the past.","Iltimos, o'tgan vaqtni kiriting."
"Maximum length of this field must be equal or less than %1 symbols.","Maximum length of this field must be equal or less than %1 symbols."
"Admin is a required field in the each row.","Admin is a required field in the each row."
"Please enter a quantity greater than 0.","Please enter a quantity greater than 0."
"The fewest you may purchase is %1.","The fewest you may purchase is %1."
"The maximum you may purchase is %1.","The maximum you may purchase is %1."
"You can buy this product only in quantities of %1 at a time.","You can buy this product only in quantities of %1 at a time."
"Forbidden extensions has been used. Avoid usage of ","Forbidden extensions has been used. Avoid usage of "
"No marginal white space please","No marginal white space please"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Please enter 6 or more characters. Leading or trailing spaces will be ignored."
"Enter valid SKU key","Enter valid SKU key"
"Swatch and Admin are the required fields in the each row.","Swatch and Admin are the required fields in the each row."
"Insert Variable","O'zgaruvchini qo'shish"
"Insert Widget","Insert Widget"
"The widget %1 is no longer available. Select a different widget.","The widget %1 is no longer available. Select a different widget."
"First character must be letter.","First character must be letter."
"The password can't be the same as the email address. Create a new password and try again.","Parol elektron pochta manzili bilan bir xil bo'lishi mumkin emas. Yangi parol yarating va qaytadan urinib ko'ring."
