"Invalid domain name: %1","잘못된 도메인 이름: %1"
"Invalid cookie lifetime: %1","잘못된 쿠키 활성시간: %1"
"Invalid cookie path","잘못된 쿠키 경로"
"We use cookies to make your experience better.","We use cookies to make your experience better."
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies."
"<a href=""%1"">Learn more</a>.","<a href=""%1"">
 더보기</a>
 ."
"Allow Cookies","쿠키 허용"
"Cookies are disabled in your browser.","Cookies are disabled in your browser."
"Default Cookie Settings","기본 쿠키 설정"
"Cookie Lifetime","쿠키 활성시간"
"Enter the Cookie Lifetime in seconds.","Enter the Cookie Lifetime in seconds."
"Cookie Path","쿠키 경로"
"Enter a valid cookie path. e.g. /","Enter a valid cookie path. e.g. /"
"Cookie Domain","쿠키 도메인"
"Enter a valid domain name. e.g. ""subdomain.yourdomain.com"", "".yourdomain.com""","Enter a valid domain name. e.g. ""subdomain.yourdomain.com"", "".yourdomain.com"""
"Use HTTP Only","HTTP만 사용"
"<strong class=""colorRed"">Warning</strong>:  Do not set to ""No"". User security could be compromised.","<strong class=""colorRed"">Warning</strong>:  Do not set to ""No"". User security could be compromised."
"Cookie Restriction Mode","쿠키 제한 모드"
"When Cookie Restriction Mode is enabled, visitors to your store are notified that cookies are required for full-featured operations.","When Cookie Restriction Mode is enabled, visitors to your store are notified that cookies are required for full-featured operations."
