"ALL GROUPS","همه‌ گروه‌ ها"
"Customer Group","گروه مشتری"
"Minimum Qty","حداقل تعداد"
"Add Minimum Qty","افزودن حداقل تعداد"
"We can't rebuild the index for an undefined product.","ما نمی توانیم شاخص را برای محصول نامشخص بازسازی کنیم."
"Could not rebuild index for empty products array","فهرست برای آرایه خالی محصولات بازسازی نمی شود"
"The stock item for Product is not valid.","The stock item for Product is not valid."
"This product is out of stock.","این محصول موجود نیست."
"Some of the products are out of stock.","برخی از محصولات موجود نیستند."
"The stock item for Product in option is not valid.","موجودی این گزینه محصول معتبر نیست."
"Undefined product type","نوع محصول تعریف نشده است"
"%1 is not a correct comparison method.","%1 یک روش مقایسه صحیح نیست."
"No Backorders","هیچ سفارش برگشت داده شده ای وجود ندارد"
"Allow Qty Below 0","تعداد زیر 0 مجاز است"
"Allow Qty Below 0 and Notify Customer","تعداد زیر 0 را مجاز کنید و به مشتری اطلاع دهید"
"In Stock","موجود"
"Out of Stock","این کالا در حال حاضر موجود نیست"
"Unable to save Stock Item","Unable to save Stock Item"
"Stock Item with id ""%1"" does not exist.","Stock Item with id ""%1"" does not exist."
"Unable to remove Stock Item with id ""%1""","Unable to remove Stock Item with id ""%1"""
"Unable to save Stock","Unable to save Stock"
"Stock with id ""%1"" does not exist.","Stock with id ""%1"" does not exist."
"Unable to remove Stock with id ""%1""","امکان حذف موجودی محصول با شناسه ""%1"" وجود ندارد"
"Unable to save Stock Status","Unable to save Stock Status"
"Unable to remove Stock Status for product %1","وضعیت موجودی برای محصول %1 حذف نشد"
"Invalid stock id: %1. Only default stock with id %2 allowed","Invalid stock id: %1. Only default stock with id %2 allowed"
"Invalid stock item id: %1. Should be null or numeric value greater than 0","Invalid stock item id: %1. Should be null or numeric value greater than 0"
"Invalid stock item id: %1. Assigned stock item id is %2","Invalid stock item id: %1. Assigned stock item id is %2"
"Not all of your products are available in the requested quantity.","Not all of your products are available in the requested quantity."
"Product with SKU ""%1"" does not exist","Product with SKU ""%1"" does not exist"
"The fewest you may purchase is %1.","حداقل سبد خرید %1 است."
"Please correct the quantity for some products.","لطفا تعداد برخی از محصولات را اصلاح کنید."
"The most you may purchase is %1.","The most you may purchase is %1."
"We don't have as many ""%1"" as you requested.","We don't have as many ""%1"" as you requested."
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","ما درخواست "" %1"" نداریم، اما ما %2 باقیمانده را سفارش خواهیم داد."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","ما ""%1"" را در مقدار درخواستی نداریم، بنابراین ما %2 باقیمانده را سفارش خواهیم داد."
"You can buy %1 only in quantities of %2 at a time.","شما می توانید %1 را هر بار فقط به تعداد %2 خریداری کنید."
"You can buy this product only in quantities of %1 at a time.","شما می توانید این محصول را هر بار تنها به تعداد %1 خریداری کنید."
"Decimal qty increments is not allowed.","Decimal qty increments is not allowed."
"Stock Status","وضعيت موجودی"
"Quantity","تعداد"
"Advanced Inventory","موجودی پیشرفته"
"%1 is available to buy in increments of %2","%1 برای خرید با تعدادد %2 موجود است"
"Only %1 left","فقط %1 عدد باقی مانده است"
"Product availability","موجودی محصول"
"Product Name","نام محصول"
"Qty","تعداد"
"Inventory Section","بخش موجودی"
"Inventory","موجودی"
"Stock Options","گزینه‌ های موجودی"
"Decrease Stock When Order is Placed","هنگامی که سفارش جدیدی ایجاد شد موجودی را کاهش بده"
"Set Items' Status to be In Stock When Order is Cancelled","هنگامی که سفارشی لغو شد، وضعیت موجودی را به موجود بودن تغییر بده"
"Display Out of Stock Products","نمايش محصولات ناموجود"
"Products will still be shown by direct product URLs.","محصولات همچنان توسط لینک مستقیم محصول قابل مشاهده هستند."
"Only X left Threshold","آستانه تنها X باقی مانده است"
"Display Products Availability in Stock on Storefront","نمایش محصولات موجود در نمای فروشگاه"
"Product Stock Options","گزینه‌ های موجودی کالا"
"Please note that these settings apply to individual items in the cart, not to the entire cart.","لطفا توجه داشته باشید که این تنظیمات برای اقلام جداگانه در سبد خرید اعمال می شود نه به کل سبد خرید."
"Manage Stock","مديريت موجودی"
"Backorders","سفارش های برگشت داده شده"
"Maximum Qty Allowed in Shopping Cart","حداکثر تعداد مجاز در سبد خرید"
"Out-of-Stock Threshold","آستانه خارج از موجودی"
"Minimum Qty Allowed in Shopping Cart","حداقل تعداد مجاز در سبد خريد"
