"ALL GROUPS","TODOS OS GRUPOS"
"Customer Group","Grupos de Clientes"
"Minimum Qty","Qtd mínima"
"Add Minimum Qty","Adicionar Qtd mínima"
"We can't rebuild the index for an undefined product.","Nós não podemos recriar o índice para um produto indefinido."
"Could not rebuild index for empty products array","Não é possível reconstruir o índice para uma lista de produtos vazia"
"The Product stock item is invalid. Verify the stock item and try again.","O stock do produto é inválido. Verifique o item de stock e tente novamente."
"This product is out of stock.","Este produto está esgotado."
"Some of the products are out of stock.","Alguns dos produtos estão esgotados."
"The stock item for Product in option is not valid.","O item de stock para a opção do produto não é válido."
"Undefined product type","Tipo de produto indefinido"
"%1 is not a correct comparison method.","%1 não é um método de comparação correto."
"No Backorders","Sem encomendas pendentes"
"Allow Qty Below 0","Permitir o Qtd abaixo de 0"
"Allow Qty Below 0 and Notify Customer","Permitir o Qtd abaixo de 0 e notificar o cliente"
"In Stock","Em Stock"
"Out of Stock","Sem Stock"
"The stock item was unable to be saved. Please try again.","O produto não pôde ser salvo. Por favor, tente novamente."
"The stock item with the ""%1"" ID wasn't found. Verify the ID and try again.","O grupo com o ID ""%1"" não existe. Verifique o ID e tente novamente."
"The stock was unable to be saved. Please try again.","O produto não pôde ser salvo. Por favor, tente novamente."
"The stock with the ""%1"" ID wasn't found. Verify the ID and try again.","O grupo com o ID ""%1"" não existe. Verifique o ID e tente novamente."
"Unable to remove Stock with id ""%1""","Não é possível remover o Stock com o id ""%1"""
"The stock status was unable to be saved. Please try again.","O produto não pôde ser salvo. Por favor, tente novamente."
"Unable to remove Stock Status for product %1","Não foi possível remover o Estado do Stock para o produto %1"
"The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again.","O valor%1"" é inválido para o ID de stock. Insira o estoque com um valor padrão de %2 para tentar novamente."
"The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again.","O valor ""%1"" é inválido para o ID do item de estoque. Digite zero ou outro número para tentar novamente."
"The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again.","O valor%1"" é inválido para ID do item de estoque. Use o ID do item de estoque atribuído ""%2"" e tente novamente."
"The Product with the ""%1"" SKU doesn't exist.","O produto com o SKU ""%1"" não existe."
"Please correct the quantity for some products.","Por favor, corrija a quantidade para alguns produtos."
"The fewest you may purchase is %1.","A quantidade mínima de compra é %1."
"The requested qty exceeds the maximum qty allowed in shopping cart","The requested qty exceeds the maximum qty allowed in shopping cart"
"You cannot use decimal quantity for this product.","You cannot use decimal quantity for this product."
"The requested qty is not available","A qtd solicitada não está disponível"
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","Não temos tantas unidades do produto ""%1"" que pediu, mas iremos encomendar as restantes %2."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","Não temos ""%1"" na quantidade solicitada, por isso vamos encomendar as restantes %2."
"You can buy %1 only in quantities of %2 at a time.","Pode comprar o artigo %1 apenas em múltiplos de %2."
"You can buy this product only in quantities of %1 at a time.","Pode comprar este produto apenas em quantidades de %1 de cada vez."
"Quantity increments can't use decimals. Enter a new increment and try again.","Os incrementos de quantidade não podem usar decimais. Digite um novo incremento e tente novamente."
"Something went wrong while updating the product(s) attributes.","Algo correu mal ao atualizar os atributos do(s) produto(s)."
"Stock Status","Estado do Stock"
"Quantity","Quantidade"
"Advanced Inventory","Inventário Avançado"
"%1 is available to buy in increments of %2","%1 está disponível para compra em incrementos de %2"
"Only %1 left","Apenas resta(m) %1"
"Product availability","Disponibilidade do produto"
"Product Name","Nome do Produto"
"Qty","Qtd"
"Inventory Section","Secção de Inventário"
"Inventory","Inventário"
"Stock Options","Opções de stock"
"Decrease Stock When Order is Placed","Diminuir Stock Quando é Confirmada uma Encomenda"
"Set Items' Status to be In Stock When Order is Cancelled","Definir Estado dos Itens para Disponível Quando é Cancelada uma Encomenda"
"Display Out of Stock Products","Mostrar Produtos Sem Stock"
"Products will still be shown by direct product URLs.","Os produtos serão mostrados através de URLs diretos para os mesmos."
"Only X left Threshold","Valor de Stock para Mostrar ""Só restam X"""
"Display Products Availability in Stock on Storefront","Mostrar Disponibilidade de Stock dos Produtos na Loja"
"Product Stock Options","Opções de Stock do Produto"
"Please note that these settings apply to individual items in the cart, not to the entire cart.","Note que estas definições aplicam-se a itens individuais no carrinho, não a todo o carrinho."
"Manage Stock","Gerir Stock"
"Changing can take some time due to processing whole catalog.","A mudança pode levar algum tempo devido ao processamento de todo o catálogo."
"Backorders","Encomendas pendentes"
"Maximum Qty Allowed in Shopping Cart","Qtd máxima permitida no carrinho de compras"
"Out-of-Stock Threshold","Limite mínimo de Stock"
"Minimum Qty Allowed in Shopping Cart","Qtd Mínima Permitida no Carrinho de Compras"
"Notify for Quantity Below","Notificar quando a quantidade for inferior a"
"Automatically Return Credit Memo Item to Stock","Repor Stock Automaticamente do Item da Nota de Crédito"
"Enable Qty Increments","Ativar Incrementos de Qtd"
"Qty Increments","Incrementos de Qtd"
"Stock","Stock"
"Index stock","Índice de stock"
"Done","Concluído"
"Use Config Settings","Usar Definições de Configuração"
"Qty Uses Decimals","Qtd É Décimal"
"Allow Multiple Boxes for Shipping","Permitir Várias Caixas para o Transporte"
