"ALL GROUPS","TOUS LES GROUPES"
"Customer Group","Groupe de clients"
"Minimum Qty","Quantité mini"
"Add Minimum Qty","Ajouter une quantité mini"
"We can't rebuild the index for an undefined product.","Votre commande est en cours de traitement et vous recevrez bientôt un mail avec les détails de la commande. Quand la commande sera expédiée, vous recevrez un autre mail avec un lien pour suivre l'avancement de la livraison."
"Could not rebuild index for empty products array","Impossible de charger le fichier : ""%s""."
"The stock item for Product is not valid.","The stock item for Product is not valid."
"This product is out of stock.","Ce produit est en rupture de stock."
"Some of the products are out of stock.","Certains produits sont actuellement en rupture de stock."
"The stock item for Product in option is not valid.","L'article en stock pour cette option du produit n'est pas valide."
"Undefined product type","Type de produit indéfini"
"%1 is not a correct comparison method.","%1 n'est pas une méthode de comparaison correcte."
"No Backorders","Pas de commandes au delà des stocks"
"Allow Qty Below 0","Autoriser les quantités négatives"
"Allow Qty Below 0 and Notify Customer","Autoriser les quantités négatives et prévenir le client"
"In Stock","En stock"
"Out of Stock","Épuisé"
"Unable to save Stock Item","Unable to save Stock Item"
"Stock Item with id ""%1"" does not exist.","Stock Item with id ""%1"" does not exist."
"Unable to remove Stock Item with id ""%1""","Unable to remove Stock Item with id ""%1"""
"Unable to save Stock","Unable to save Stock"
"Stock with id ""%1"" does not exist.","Stock with id ""%1"" does not exist."
"Unable to remove Stock with id ""%1""","Impossible d'enlever le Stock avec l'ID ""%1"""
"Unable to save Stock Status","Unable to save Stock Status"
"Unable to remove Stock Status for product %1","Impossible d'enlever le Statut de Stock pour le Produit %1"
"Invalid stock id: %1. Only default stock with id %2 allowed","Invalid stock id: %1. Only default stock with id %2 allowed"
"Invalid stock item id: %1. Should be null or numeric value greater than 0","Invalid stock item id: %1. Should be null or numeric value greater than 0"
"Invalid stock item id: %1. Assigned stock item id is %2","Invalid stock item id: %1. Assigned stock item id is %2"
"Not all of your products are available in the requested quantity.","Not all of your products are available in the requested quantity."
"Product with SKU ""%1"" does not exist","Product with SKU ""%1"" does not exist"
"The fewest you may purchase is %1.","Le moins que vous puissiez acheter est %1."
"Please correct the quantity for some products.","Merci de corriger la quantité de certains produits."
"The most you may purchase is %1.","The most you may purchase is %1."
"We don't have as many ""%1"" as you requested.","We don't have as many ""%1"" as you requested."
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","Nous n'avons pas autant de «%1» que vous l'avez demandé, mais nous commanderons les %2 restants."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","Nous n'avons pas «%1» dans la quantité demandée, donc nous commanderons le %2 restant."
"You can buy %1 only in quantities of %2 at a time.","Vous pouvez acheter %1 seulement en quantité de %2 à la fois."
"You can buy this product only in quantities of %1 at a time.","Vous pouvez acheter ce produit seulement en quantité de %1 à la fois."
"Decimal qty increments is not allowed.","Decimal qty increments is not allowed."
"Stock Status","État du stock"
"Quantity","Quantité"
"Advanced Inventory","Inventaire avancé"
"%1 is available to buy in increments of %2","%1 est disponible à la vente par incréments de %2"
"Only %1 left","Plus que %1 en stock"
"Product availability","Disponibilité du produit"
"Product Name","Nom de produit"
"Qty","Qté"
"Inventory Section","Section inventaire"
"Inventory","Inventaire"
"Stock Options","Options de stock"
"Decrease Stock When Order is Placed","Décrémenter le stock quand la commande est validée"
"Set Items' Status to be In Stock When Order is Cancelled","Passer le statut des articles à ""Disponible"" quand une commande est annulée"
"Display Out of Stock Products","Afficher les produits épuisés"
"Products will still be shown by direct product URLs.","Les produits seront quand même affichés par leurs URLs directes."
"Only X left Threshold","Seuil pour afficher 'Plus que X produits restant'"
"Display Products Availability in Stock on Storefront","Affichage de la Disponibilité des Produits en Stock sur Vitrine"
"Product Stock Options","Options de stock de produits"
"Please note that these settings apply to individual items in the cart, not to the entire cart.","Veuillez noter que ces paramètres s’appliquent à des éléments individuels dans le panier, pas au panier entier."
"Manage Stock","Gérer les stocks"
"Backorders","Commande en rupture de stock"
"Maximum Qty Allowed in Shopping Cart","Quantité maxi autorisée dans le panier"
"Out-of-Stock Threshold","Seuil de rupture de Stock"
"Minimum Qty Allowed in Shopping Cart","Quantité mini autorisée dans le panier"
"Notify for Quantity Below","Notifier quand la quantité passe en dessous de"
"Automatically Return Credit Memo Item to Stock","Remettre automatiquement en stock un article faisant l'objet d'un avoir"
"Enable Qty Increments","Activer les incréments de quantités"
"Qty Increments","Incréments de quantités"
"Stock","Stock"
"Index stock","Stock index"
"Use Config Settings","Utilisez les paramètres de configuration"
"Qty Uses Decimals","La quantité utilise des décimales"
"Allow Multiple Boxes for Shipping","Autoriser plusieurs colisages pour l'expédition"
"Display products availability in stock on Storefront.","Display products availability in stock on Storefront."
"Use Deferred Stock Update","Use Deferred Stock Update"
"Changing can take some time due to processing whole catalog.","La modification peut prendre un certain temps en raison du traitement du catalogue entier."
"The Product stock item is invalid. Verify the stock item and try again.","Le stock du produit n'est pas valide. Vérifiez le stock et réessayez."
"The stock item was unable to be saved. Please try again.","Le stock de l'article n'a pas pu être enregistré. Veuillez réessayer."
"The stock item with the ""%1"" ID wasn't found. Verify the ID and try again.","Le stock de l'article avec l'identifiant ""%1"" n'a pas été trouvé. Vérifiez l'identifiant et réessayez."
"The stock was unable to be saved. Please try again.","Le stock n'a pas pu être enregistré. Veuillez réessayer."
"The stock with the ""%1"" ID wasn't found. Verify the ID and try again.","Le stock avec l'identifiant ""%1"" n'a pas été trouvé. Vérifiez l'identifiant et réessayez."
"The stock status was unable to be saved. Please try again.","Le statut de stock n'a pas pu être enregistré. Veuillez réessayer."
"The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again.","La valeur ""%1"" n'est pas valide pour l'identifiant du stock. Entrez le stock avec une valeur par défaut de %2 pour réessayer."
"The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again.","La valeur ""%1"" n'est pas valide pour l'identifiant de l'article en stock. Entrez soit un zéro ou un nombre supérieur à zéro pour réessayer."
"The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again.","La valeur ""%1"" n'est pas valide pour l'identifiant du stock de l'article. Utilisez la valeur assignée à l'article en stock ""%2"" et réessayez."
"The Product with the ""%1"" SKU doesn't exist.","Le produit avec le SKU ""%1"" n'existe pas."
"The requested qty is not available","La quantité demandée n'est pas disponible"
"Quantity increments can't use decimals. Enter a new increment and try again.","Les incréments de quantité ne peuvent pas utiliser de décimales. Entrez un nouvel incrément et réessayez."
