"ALL GROUPS","TUTTI I GRUPPI"
"Customer Group","Gruppo Cliente"
"Minimum Qty","Qtà minima"
"Add Minimum Qty","Aggiungi qtà minima"
"We can't rebuild the index for an undefined product.","Impossibile ricostruire l'indice per un prodotto indefinito."
"Could not rebuild index for empty products array","Non è possibile ricostruire l'indice per array prodotti vuoto"
"The stock item for Product is not valid.","The stock item for Product is not valid."
"This product is out of stock.","Questo prodotto non è disponibile."
"Some of the products are out of stock.","Alcuni prodotti non sono disponibili."
"The stock item for Product in option is not valid.","L'elemento inventario dell'opzione prodotto non è valido."
"Undefined product type","Tipo di prodotto non definito"
"%1 is not a correct comparison method.","%1 non è un metodo di confronto corretto."
"No Backorders","No Backorders"
"Allow Qty Below 0","Consenti qtà inferiori a 0"
"Allow Qty Below 0 and Notify Customer","Consenti qtà inferiori a 0 e notifica al cliente"
"In Stock","Disponibile"
"Out of Stock","Non Disponibile"
"Unable to save Stock Item","Unable to save Stock Item"
"Stock Item with id ""%1"" does not exist.","Stock Item with id ""%1"" does not exist."
"Unable to remove Stock Item with id ""%1""","Unable to remove Stock Item with id ""%1"""
"Unable to save Stock","Unable to save Stock"
"Stock with id ""%1"" does not exist.","Stock with id ""%1"" does not exist."
"Unable to remove Stock with id ""%1""","Impossibile rimuovere lo Stock con id ""%1"""
"Unable to save Stock Status","Unable to save Stock Status"
"Unable to remove Stock Status for product %1","Impossibile rimuovere lo stato di Stock relativo al prodotto %1"
"Invalid stock id: %1. Only default stock with id %2 allowed","Invalid stock id: %1. Only default stock with id %2 allowed"
"Invalid stock item id: %1. Should be null or numeric value greater than 0","Invalid stock item id: %1. Should be null or numeric value greater than 0"
"Invalid stock item id: %1. Assigned stock item id is %2","Invalid stock item id: %1. Assigned stock item id is %2"
"Not all of your products are available in the requested quantity.","Not all of your products are available in the requested quantity."
"Product with SKU ""%1"" does not exist","Product with SKU ""%1"" does not exist"
"The fewest you may purchase is %1.","Il minor numero acquistabile è %1."
"Please correct the quantity for some products.","Correggere la quantità di alcuni prodotti."
"The most you may purchase is %1.","The most you may purchase is %1."
"We don't have as many ""%1"" as you requested.","We don't have as many ""%1"" as you requested."
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","Non disponiamo di tanti ""%1"" come da richiesta, ordineremo i restanti %2."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","""%1"" non è disponibile nella quantità richiesta, quindi ordineremo i restanti %2."
"You can buy %1 only in quantities of %2 at a time.","È possibile acquistare %1 solo in quantità di %2 per volta."
"You can buy this product only in quantities of %1 at a time.","È possibile acquistare questo prodotto solo in quantità di %1 per volta."
"Decimal qty increments is not allowed.","Decimal qty increments is not allowed."
"Stock Status","Status inventario"
"Quantity","Quantità"
"Advanced Inventory","Inventario Avanzato"
"%1 is available to buy in increments of %2","%1 è disponibile per l'acquisto in incrementi di %2"
"Only %1 left","Solo %1 rimasto/i"
"Product availability","Disponibilità prodotto"
"Product Name","Nome prodotto"
"Qty","Qtà"
"Inventory Section","Sezione magazzino"
"Inventory","Inventario"
"Stock Options","Opzioni inventario"
"Decrease Stock When Order is Placed","Diminuisci l'inventario quando l'ordine viene eseguito"
"Set Items' Status to be In Stock When Order is Cancelled","Imposta lo status degli elementi in disponibile quando l'ordine è cancellato"
"Display Out of Stock Products","Mostra i prodotti non disponibili"
"Products will still be shown by direct product URLs.","I prodotti verranno comunque mostrati da URL prodotto diretti."
"Only X left Threshold","Solo X rimasti alla soglia"
"Display Products Availability in Stock on Storefront","Visualizza la disponibilità dei prodotti a magazzino nel frontend"
"Product Stock Options","Opzioni inventario prodotto"
"Please note that these settings apply to individual items in the cart, not to the entire cart.","Notare che queste impostazioni si applicano ai singoli articoli nel carrello, non all'intero carrello."
"Manage Stock","Gestisci scorte"
"Backorders","Backorders"
"Maximum Qty Allowed in Shopping Cart","Qtà massima consentita nel carrello"
"Out-of-Stock Threshold","Soglia di non disponibilità"
"Minimum Qty Allowed in Shopping Cart","Qtà minima consentita nel carrello"
"Notify for Quantity Below","Notifica per quantità inferiore"
"Automatically Return Credit Memo Item to Stock","Restituisci automaticamente la nota di credito elemento all'inventario"
"Enable Qty Increments","Abilita incrementi qtà"
"Qty Increments","Incrementi qtà"
"Stock","Inventario"
"Index stock","Indice inventario"
"Use Config Settings","Utilizzare le impostazioni di configurazione"
"Qty Uses Decimals","Qtà utilizza decimali"
"Allow Multiple Boxes for Shipping","Consenti spedizioni con colli multipli"
"Display products availability in stock on Storefront.","Display products availability in stock on Storefront."
"Use Deferred Stock Update","Use Deferred Stock Update"
"Changing can take some time due to processing whole catalog.","Changing can take some time due to processing whole catalog."
"The Product stock item is invalid. Verify the stock item and try again.","The Product stock item is invalid. Verify the stock item and try again."
"The stock item was unable to be saved. Please try again.","The stock item was unable to be saved. Please try again."
"The stock item with the ""%1"" ID wasn't found. Verify the ID and try again.","The stock item with the ""%1"" ID wasn't found. Verify the ID and try again."
"The stock was unable to be saved. Please try again.","The stock was unable to be saved. Please try again."
"The stock with the ""%1"" ID wasn't found. Verify the ID and try again.","The stock with the ""%1"" ID wasn't found. Verify the ID and try again."
"The stock status was unable to be saved. Please try again.","The stock status was unable to be saved. Please try again."
"The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again.","The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again."
"The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again.","The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again."
"The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again.","The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again."
"The Product with the ""%1"" SKU doesn't exist.","The Product with the ""%1"" SKU doesn't exist."
"The requested qty is not available","The requested qty is not available"
"Quantity increments can't use decimals. Enter a new increment and try again.","Quantity increments can't use decimals. Enter a new increment and try again."
