"ALL GROUPS","כל הקבוצות"
"Customer Group","קבוצת לקוחות"
"Minimum Qty","כמות מינימלית"
"Add Minimum Qty","להוסיף כמות מינימלית"
"We can't rebuild the index for an undefined product.","אנחנו לא יכולים לאנדקס מחדש מוצר לא מוגדר."
"Could not rebuild index for empty products array","לא יכול לבנות מחדש אינדקס עבור מערך מוצרים ריק"
"The Product stock item is invalid. Verify the stock item and try again.","The Product stock item is invalid. Verify the stock item and try again."
"This product is out of stock.","המוצר(ים) לא במלאי."
"Some of the products are out of stock.","חלק מהמוצרים אזלו מהמלאי."
"The stock item for Product in option is not valid.","פריט המנייה עבור מוצר באפשרות אינה חוקית."
"Undefined product type","סוג המוצר לא מוגדר"
"%1 is not a correct comparison method.","%1 היא לא שיטת השוואה נכונה."
"No Backorders","אין הזמנות חזרות"
"Allow Qty Below 0","לאפשר כמות של מתחת ל-0"
"Allow Qty Below 0 and Notify Customer","לאפשר כמות של מתחת ל-0 והודע ללקוח"
"In Stock","במלאי"
"Out of Stock","אזל מהמלאי"
"The stock item was unable to be saved. Please try again.","The stock item was unable to be saved. Please try again."
"The stock item with the ""%1"" ID wasn't found. Verify the ID and try again.","The stock item with the ""%1"" ID wasn't found. Verify the ID and try again."
"The stock was unable to be saved. Please try again.","The stock was unable to be saved. Please try again."
"The stock with the ""%1"" ID wasn't found. Verify the ID and try again.","The stock with the ""%1"" ID wasn't found. Verify the ID and try again."
"Unable to remove Stock with id ""%1""","אין אפשרות להסיר את המלאי עם מזהה ""%1"""
"The stock status was unable to be saved. Please try again.","The stock status was unable to be saved. Please try again."
"Unable to remove Stock Status for product %1","אין אפשרות להסיר את סטטוס המלאי עבור מוצר %1"
"The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again.","The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again."
"The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again.","The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again."
"The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again.","The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again."
"The Product with the ""%1"" SKU doesn't exist.","The Product with the ""%1"" SKU doesn't exist."
"Please correct the quantity for some products.","נא תקן את הכמות עבור מוצרים מסוימים."
"The fewest you may purchase is %1.","המספר הנמוך ביותר שניתן לרכוש הוא %1."
"The requested qty exceeds the maximum qty allowed in shopping cart","The requested qty exceeds the maximum qty allowed in shopping cart"
"You cannot use decimal quantity for this product.","You cannot use decimal quantity for this product."
"The requested qty is not available","The requested qty is not available"
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.",". אין לנו כמה ""%1"" כפי שביקשת, אבל להמוצר יחזור להיות זמין %2."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","אין לנו ""%1"" ב- הכמות המבוקשת, אז המלאי יתחדש ב %2."
"You can buy %1 only in quantities of %2 at a time.","אתה יכול לקנות %1 רק בכמויות של %2 בכל פעם."
"You can buy this product only in quantities of %1 at a time.","אתה יכול לקנות את המוצר הזה רק בכמויות של %1 בכל פעם."
"Quantity increments can't use decimals. Enter a new increment and try again.","Quantity increments can't use decimals. Enter a new increment and try again."
"Something went wrong while updating the product(s) attributes.","Something went wrong while updating the product(s) attributes."
"Stock Status","סטטוס מלאי"
"Quantity","כמות"
"Advanced Inventory","מלאי מתקדם"
"%1 is available to buy in increments of %2","%1 זמין לקנייה, במרווחים של %2"
"Only %1 left","רק %1 נשאר"
"Product availability","זמינות המוצר"
"Product Name","שם מוצר"
"Qty","כמות"
"Inventory Section","אגף המלאי"
"Inventory","מלאי"
"Stock Options","אופציות"
"Decrease Stock When Order is Placed","ירידה במלאי בעת ההזמנה התקבלה"
"Set Items' Status to be In Stock When Order is Cancelled","הגדר את סטטוס הפריטים להיות במלאי בעת ביטול"
"Display Out of Stock Products","הצג מוצרים שאזלו מהמלאי"
"Products will still be shown by direct product URLs.","המוצרים עדיין ייוצגו באמצעות כתובות Url עבור כל מוצר."
"Only X left Threshold","רק X נשאר במינימום"
"Display Products Availability in Stock on Storefront","הצגת מלאי המוצרים הזמינים החנות"
"Product Stock Options","אופציות מלאי עבור מוצר"
"Please note that these settings apply to individual items in the cart, not to the entire cart.","אנא שימו לב כי הגדרות אלה חלות על פריטים בודדים לעגלה ולא לעגלה כולה."
"Manage Stock","ניהול מלאי"
"Changing can take some time due to processing whole catalog.","Changing can take some time due to processing whole catalog."
"Backorders","ממתינים"
"Maximum Qty Allowed in Shopping Cart","כמות מרבית המותרת בעגלת הקניות"
"Out-of-Stock Threshold","מספר מינימילי של אזל מהמלאי"
"Minimum Qty Allowed in Shopping Cart","כמות מינימלית המותרת בעגלת הקניות"
"Notify for Quantity Below","הודעה עבור כמות מתחת"
"Automatically Return Credit Memo Item to Stock","להחזיר באופן אוטומטי אשראי תזכיר עבור פריט במלאי"
"Enable Qty Increments","לאפשר כמות בהפרשים קבועים"
"Qty Increments","כמות בהפרשים קבועים"
"Stock","מלאי"
"Index stock","אינדקס מלאי"
"Done","Done"
"Use Config Settings","השתמש בהגדרות הראשיות"
"Qty Uses Decimals","כמות משתמשת בנקודה עשרונית"
"Allow Multiple Boxes for Shipping","אפשר משלוח במספר חבילות"
