"ALL GROUPS","සියලුම කණ්ඩායම්"
"Customer Group","පාරිභෝගික කණ්ඩායම"
"Minimum Qty","අවම Qty"
"Add Minimum Qty","අවම Qty එකතු කරන්න"
"We can't rebuild the index for an undefined product.","නිර්වචනය නොකළ නිෂ්පාදනයක් සඳහා අපට දර්ශකය නැවත ගොඩනැගිය නොහැක."
"Could not rebuild index for empty products array","හිස් නිෂ්පාදන අරාව සඳහා දර්ශකය නැවත ගොඩනැගිය නොහැකි විය"
"The stock item for Product is not valid.","The stock item for Product is not valid."
"This product is out of stock.","මෙම නිෂ්පාදනය තොග අවසන් වී ඇත."
"Some of the products are out of stock.","සමහර නිෂ්පාදන තොග ඉවරයි."
"The stock item for Product in option is not valid.","විකල්පය තුළ නිෂ්පාදන සඳහා කොටස් අයිතමය වලංගු නොවේ."
"Undefined product type","නිර්වචනය නොකළ නිෂ්පාදන වර්ගය"
"%1 is not a correct comparison method.","%1 යනු නිවැරදි සංසන්දන ක්‍රමයක් නොවේ."
"No Backorders","පිටුබලය නැත"
"Allow Qty Below 0","0 ට අඩු Qty ඉඩ දෙන්න"
"Allow Qty Below 0 and Notify Customer","0 ට අඩු Qty ඉඩ දී පාරිභෝගිකයාට දැනුම් දෙන්න"
"In Stock","ගබඩාවේ ඇත"
"Out of Stock","තොග අවසන්"
"Unable to save Stock Item","Unable to save Stock Item"
"Stock Item with id ""%1"" does not exist.","Stock Item with id ""%1"" does not exist."
"Unable to remove Stock Item with id ""%1""","Unable to remove Stock Item with id ""%1"""
"Unable to save Stock","Unable to save Stock"
"Stock with id ""%1"" does not exist.","Stock with id ""%1"" does not exist."
"Unable to remove Stock with id ""%1""","""%1"" හැඳුනුම්පත සහිත කොටස් ඉවත් කළ නොහැක"
"Unable to save Stock Status","Unable to save Stock Status"
"Unable to remove Stock Status for product %1","නිෂ්පාදන %1සඳහා කොටස් තත්ත්වය ඉවත් කළ නොහැක"
"Invalid stock id: %1. Only default stock with id %2 allowed","Invalid stock id: %1. Only default stock with id %2 allowed"
"Invalid stock item id: %1. Should be null or numeric value greater than 0","Invalid stock item id: %1. Should be null or numeric value greater than 0"
"Invalid stock item id: %1. Assigned stock item id is %2","Invalid stock item id: %1. Assigned stock item id is %2"
"Not all of your products are available in the requested quantity.","Not all of your products are available in the requested quantity."
"Product with SKU ""%1"" does not exist","Product with SKU ""%1"" does not exist"
"The fewest you may purchase is %1.","ඔබට මිලදී ගත හැකි අඩුම අගය %1වේ."
"Please correct the quantity for some products.","කරුණාකර සමහර නිෂ්පාදන සඳහා ප්‍රමාණය නිවැරදි කරන්න."
"The most you may purchase is %1.","The most you may purchase is %1."
"We don't have as many ""%1"" as you requested.","We don't have as many ""%1"" as you requested."
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","ඔබ ඉල්ලූ තරම් ""%1"" අප සතුව නැත, නමුත් අපි ඉතිරි %2නැවත ඇණවුම් කරන්නෙමු."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","අප සතුව ඉල්ලූ ප්‍රමාණයේ ""%1"" නැත, එබැවින් අපි ඉතිරි %2නැවත ඇණවුම් කරන්නෙමු."
"You can buy %1 only in quantities of %2 at a time.","ඔබට %1 මිලදී ගත හැක්කේ වරකට %2 ප්‍රමාණවලින් පමණි."
"You can buy this product only in quantities of %1 at a time.","ඔබට මෙම නිෂ්පාදනය මිලදී ගත හැක්කේ වරකට %1 ප්‍රමාණවලින් පමණි."
"Decimal qty increments is not allowed.","Decimal qty increments is not allowed."
"Stock Status","කොටස් තත්ත්වය"
"Quantity","ප්රමාණය"
"Advanced Inventory","උසස් ඉන්වෙන්ටරි"
"%1 is available to buy in increments of %2","%2වර්ධක වලින් මිලදී ගැනීමට %1 ලබා ගත හැකිය"
"Only %1 left","ඉතිරිව ඇත්තේ %1 ක් පමණි"
"Product availability","නිෂ්පාදන ලබා ගැනීමේ හැකියාව"
"Product Name","නිෂ්පාදන නාමය"
"Qty","Qty"
"Inventory Section","ඉන්වෙන්ටරි අංශය"
"Inventory","ඉන්වෙන්ටරි"
"Stock Options","කොටස් විකල්ප"
"Decrease Stock When Order is Placed","ඇණවුම ලබා දුන් විට තොග අඩු කරන්න"
"Set Items' Status to be In Stock When Order is Cancelled","ඇණවුම අවලංගු කළ විට අයිතමවල තත්ත්වය තොගයේ තිබෙන ලෙස සකසන්න"
"Display Out of Stock Products","තොගයෙන් බැහැර නිෂ්පාදන ප්‍රදර්ශනය කරන්න"
"Products will still be shown by direct product URLs.","නිෂ්පාදන තවමත් සෘජු නිෂ්පාදන URL මගින් පෙන්වනු ඇත."
"Only X left Threshold","X පමණක් Threshold හැර ඇත"
