"ALL GROUPS","ALLE GRUPPER"
"Customer Group","Kundegruppe"
"Minimum Qty","Minimum antall"
"Add Minimum Qty","Legg til minimum antall"
"We can't rebuild the index for an undefined product.","Vi kan ikke bygge indeksen for en udefinert produkt."
"Could not rebuild index for empty products array","Kunne ikke bygge indeksen for tom produkter matrise"
"The Product stock item is invalid. Verify the stock item and try again.","The Product stock item is invalid. Verify the stock item and try again."
"This product is out of stock.","Dette produktet er ikke på lager."
"Some of the products are out of stock.","Noen av produktene er utsolgt."
"The stock item for Product in option is not valid.","Lagervare for produktet i alternativet er ikke gyldig."
"Undefined product type","Udefinert produkttype"
"%1 is not a correct comparison method.","%1 er ikke en riktig sammenligningsmetode."
"No Backorders","Ingen restordrer"
"Allow Qty Below 0","Tillate antall under 0"
"Allow Qty Below 0 and Notify Customer","Tillate antall under 0 og gi kunde beskjed"
"In Stock","På lager"
"Out of Stock","Ikke på lager"
"The stock item was unable to be saved. Please try again.","The stock item was unable to be saved. Please try again."
"The stock item with the ""%1"" ID wasn't found. Verify the ID and try again.","The stock item with the ""%1"" ID wasn't found. Verify the ID and try again."
"The stock was unable to be saved. Please try again.","The stock was unable to be saved. Please try again."
"The stock with the ""%1"" ID wasn't found. Verify the ID and try again.","The stock with the ""%1"" ID wasn't found. Verify the ID and try again."
"Unable to remove Stock with id ""%1""","Unable to remove Stock with id ""%1"""
"The stock status was unable to be saved. Please try again.","The stock status was unable to be saved. Please try again."
"Unable to remove Stock Status for product %1","Unable to remove Stock Status for product %1"
"The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again.","The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again."
"The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again.","The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again."
"The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again.","The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again."
"The Product with the ""%1"" SKU doesn't exist.","The Product with the ""%1"" SKU doesn't exist."
"Please correct the quantity for some products.","Korriger antallet for noen produkter."
"The fewest you may purchase is %1.","Det minste du kan kjøpe er %1."
"The requested qty exceeds the maximum qty allowed in shopping cart","The requested qty exceeds the maximum qty allowed in shopping cart"
"You cannot use decimal quantity for this product.","You cannot use decimal quantity for this product."
"The requested qty is not available","The requested qty is not available"
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","We don't have as many ""%1"" as you requested, but we'll back order the remaining %2."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2."
"You can buy %1 only in quantities of %2 at a time.","You can buy %1 only in quantities of %2 at a time."
"You can buy this product only in quantities of %1 at a time.","You can buy this product only in quantities of %1 at a time."
"Quantity increments can't use decimals. Enter a new increment and try again.","Quantity increments can't use decimals. Enter a new increment and try again."
"Something went wrong while updating the product(s) attributes.","Something went wrong while updating the product(s) attributes."
"Stock Status","Lagerstatus"
"Quantity","Antall"
"Advanced Inventory","Avansert lager"
"%1 is available to buy in increments of %2","%1 is available to buy in increments of %2"
"Only %1 left","Only %1 left"
"Product availability","Produkt tilgjengelighet"
"Product Name","Produktnavn"
"Qty","Antall"
"Inventory Section","Inventory Section"
"Inventory","Lager"
"Stock Options","Lager alternativer"
"Decrease Stock When Order is Placed","Decrease Stock When Order is Placed"
"Set Items' Status to be In Stock When Order is Cancelled","Set Items' Status to be In Stock When Order is Cancelled"
"Display Out of Stock Products","Vis varer som ikke er på lager"
"Products will still be shown by direct product URLs.","Produkter vil fremdeles være vist ved direkte produkt url."
"Only X left Threshold","Only X left Threshold"
"Display Products Availability in Stock on Storefront","Display Products Availability in Stock on Storefront"
"Product Stock Options","Product Stock Options"
"Please note that these settings apply to individual items in the cart, not to the entire cart.","Please note that these settings apply to individual items in the cart, not to the entire cart."
"Manage Stock","Administrer lager"
"Changing can take some time due to processing whole catalog.","Changing can take some time due to processing whole catalog."
"Backorders","Restordre"
"Maximum Qty Allowed in Shopping Cart","Maksimum antall tillatt i handlekurv"
"Out-of-Stock Threshold","Ut-av-lager terskel"
"Minimum Qty Allowed in Shopping Cart","Minimum antall tillatt i handlekurv"
"Notify for Quantity Below","Varsle om antall nedenfor"
"Automatically Return Credit Memo Item to Stock","Automatically Return Credit Memo Item to Stock"
"Enable Qty Increments","Aktiver antall intervaller"
"Qty Increments","Antall intervaller"
"Stock","Tilgjengelighet"
"Index stock","Index stock"
"Done","Done"
"Use Config Settings","Bruk konfigurasjonsinnstillinger"
"Qty Uses Decimals","Antall bruker desimaler"
"Allow Multiple Boxes for Shipping","Tillat flere esker for levering"
