"ALL GROUPS","TODOS LOS GRUPOS"
"Customer Group","Grupo del cliente"
"Minimum Qty","Cantidad Mínima"
"Add Minimum Qty","Añadir cantidad mínima"
"We can't rebuild the index for an undefined product.","No se puede reconstruir el índice para un artículo no definido."
"Could not rebuild index for empty products array","No se pudo reconstruir el índice de una matriz de productos vacía"
"The stock item for Product is not valid.","El artículo de inventario para el producto no es válido."
"This product is out of stock.","Este producto está agotado."
"Some of the products are out of stock.","Algunos de los productos están agotados."
"The stock item for Product in option is not valid.","El artículo de inventario para el producto en la opción no es válido."
"Undefined product type","Tipo de artículo no definido"
"%1 is not a correct comparison method.","%1 no es un método de comparación correcto."
"No Backorders","No hay pedidos pendientes"
"Allow Qty Below 0","Permitir cantidad menor que 0"
"Allow Qty Below 0 and Notify Customer","Permitir cantidad menor que 0 y notificar al cliente"
"In Stock","En existencias"
"Out of Stock","Agotado"
"Unable to save Stock Item","Unable to save Stock Item"
"Stock Item with id ""%1"" does not exist.","El artículo de inventario con id ""%1"" no existe."
"Unable to remove Stock Item with id ""%1""","Unable to remove Stock Item with id ""%1"""
"Unable to save Stock","Unable to save Stock"
"Stock with id ""%1"" does not exist.","El inventario con id ""%1"" no existe."
"Unable to remove Stock with id ""%1""","No se puede quitar Stock con el id ""%1"""
"Unable to save Stock Status","Unable to save Stock Status"
"Unable to remove Stock Status for product %1","No se puede eliminar el estado de existencias del producto %1"
"Invalid stock id: %1. Only default stock with id %2 allowed","Invalid stock id: %1. Only default stock with id %2 allowed"
"Invalid stock item id: %1. Should be null or numeric value greater than 0","Invalid stock item id: %1. Should be null or numeric value greater than 0"
"Invalid stock item id: %1. Assigned stock item id is %2","Invalid stock item id: %1. Assigned stock item id is %2"
"Not all of your products are available in the requested quantity.","No todos tus productos están disponibles en la cantidad solicitada."
"Product with SKU ""%1"" does not exist","El producto con SKU ""%1"" no existe"
"The fewest you may purchase is %1.","La compra mínima es %1."
"Please correct the quantity for some products.","Por favor corrige la cantidad de algunos productos."
"The most you may purchase is %1.","Lo máximo que puedes comprar es %1."
"We don't have as many ""%1"" as you requested.","No tenemos tantos ""%1"" como has solicitado."
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","No tenemos tantos ""%1"" como pediste, pero reservaremos los/las %2 restantes."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","No tenemos ""%1"" en la cantidad solicitada, reservaremos los/las %2 restantes."
"You can buy %1 only in quantities of %2 at a time.","Solo puedes comprar %1 en cantidades de %2 a la vez."
"You can buy this product only in quantities of %1 at a time.","Solo puedes comprar este producto en cantidades de %1 a la vez."
"Decimal qty increments is not allowed.","No se permiten incrementos de cantidad decimal."
"Stock Status","Estado de existencias"
"Quantity","Cantidad"
"Advanced Inventory","Inventario avanzado"
"%1 is available to buy in increments of %2","%1 está disponible para comprar en incrementos de %2"
"Only %1 left","Sólo queda %1"
"Product availability","Disponibilidad del producto"
"Product Name","Nombre del producto"
"Qty","Cantidad"
"Inventory Section","Sección de inventario"
"Inventory","Inventario"
"Stock Options","Opciones de existencias"
"Decrease Stock When Order is Placed","Disminuir las existencias cuando se realiza un pedido"
"Set Items' Status to be In Stock When Order is Cancelled","Restablecer las existencias cuando el pedido se cancele"
"Display Out of Stock Products","Visualizar los artículos agotados"
"Products will still be shown by direct product URLs.","Los artículos se seguirán mostrando por URL de artículo directa."
"Only X left Threshold","Umbral de Solo quedan X"
"Display Products Availability in Stock on Storefront","Ver la disponibilidad de productos en stock en la tienda"
"Product Stock Options","Opciones de existencias de artículo"
"Please note that these settings apply to individual items in the cart, not to the entire cart.","Ten en cuenta que esta configuración se aplica a los artículos individuales en el carrito de compra, no a todo el carrito de compra."
"Manage Stock","Gestionar existencias"
"Backorders","Pedidos pendientes"
"Maximum Qty Allowed in Shopping Cart","Cantidad Máxima Permitida en la Cesta del Carrito"
"Out-of-Stock Threshold","Umbral de existencias agotadas"
"Minimum Qty Allowed in Shopping Cart","Cantidad Mínima Permitida en la Cesta de Compra"
"Notify for Quantity Below","Notificar cuando la cantidad sea inferior a"
"Automatically Return Credit Memo Item to Stock","Devolver automáticamente artículo de factura rectificativa a existencias"
"Enable Qty Increments","Habilitar incrementos de cantidad"
"Qty Increments","Incrementos de cantidad"
"Stock","Disponibilidad"
"Index stock","Indexar existencias"
"Use Config Settings","Usar opciones de configuración"
"Qty Uses Decimals","La Cantidad Usa Decimales"
"Allow Multiple Boxes for Shipping","Permitir varios paquetes para envío"
"Display products availability in stock on Storefront.","Ver disponibilidad de productos en existencias en tienda."
"Use Deferred Stock Update","Use Deferred Stock Update"
"Changing can take some time due to processing whole catalog.","Changing can take some time due to processing whole catalog."
"The Product stock item is invalid. Verify the stock item and try again.","The Product stock item is invalid. Verify the stock item and try again."
"The stock item was unable to be saved. Please try again.","The stock item was unable to be saved. Please try again."
"The stock item with the ""%1"" ID wasn't found. Verify the ID and try again.","The stock item with the ""%1"" ID wasn't found. Verify the ID and try again."
"The stock was unable to be saved. Please try again.","The stock was unable to be saved. Please try again."
"The stock with the ""%1"" ID wasn't found. Verify the ID and try again.","The stock with the ""%1"" ID wasn't found. Verify the ID and try again."
"The stock status was unable to be saved. Please try again.","The stock status was unable to be saved. Please try again."
"The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again.","The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again."
"The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again.","The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again."
"The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again.","The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again."
"The Product with the ""%1"" SKU doesn't exist.","The Product with the ""%1"" SKU doesn't exist."
"The requested qty is not available","La cantidad solicitada no está disponible"
"Quantity increments can't use decimals. Enter a new increment and try again.","Quantity increments can't use decimals. Enter a new increment and try again."
