"Default Config","기본 설정"
"Save Config","설정 저장"
"[GLOBAL]","[글로벌]"
"[WEBSITE]","[웹사이트]"
"[STORE VIEW]","[스토어뷰]"
"Use system value","시스템 설정값 사용"
"Use Default","기본값 사용"
"Use Website","웹사이트 사용"
"Add","추가"
"Delete File","파일 삭제"
"Search String","문자열 검색"
"Design Theme","테마 디자인"
"Add \Exception","예외 추가"
"-- No Theme --","-- 테마 없음 --"
"Enable","활성"
"Disable","비활성"
"Configuration","환경설정"
"Class for type ""%1"" was not declared","Class for type ""%1"" was not declared"
"%1 should implement %2","%1 should implement %2"
"The value you set has already been locked. To change the value, use the --%1 option.","The value you set has already been locked. To change the value, use the --%1 option."
"%1","%1"
"Configuration for path: ""%1"" doesn't exist","Configuration for path: ""%1"" doesn't exist"
"System","시스템"
"You saved the configuration.","설정을 저장하였습니다."
"Something went wrong while saving this configuration:","설정 저장중 문제가 발생했습니다:"
"Page not found.","페이지를 찾을 수 없습니다."
"Please specify the admin custom URL.","관리자의 커스텀 URL을 선택해 주십시오."
"Invalid %1. %2","Invalid %1. %2"
"Value must be a URL or one of placeholders: %1","Value must be a URL or one of placeholders: %1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","Specify a URL or path that starts with placeholder(s): %1, and ends with ""/""."
"%1 An empty value is allowed as well.","%1 빈 값이 허용됩니다."
"Specify a fully qualified URL.","완전한 URL을 지정하십시오."
"Selected allowed currency ""%1"" is not available in installed currencies.","선택한 허용 통화 ""%1""은(는) 설치된 통화가 아닙니다."
"Default display currency ""%1"" is not available in allowed currencies.","기본 표시 통화 ""%1""은(는) 허용된 통화가 아닙니다."
"Sorry, we haven't installed the base currency you selected.","Sorry, we haven't installed the base currency you selected."
"We can't save the Cron expression.","We can't save the Cron expression."
"Sorry, we haven't installed the default display currency you selected.","Sorry, we haven't installed the default display currency you selected."
"Sorry, the default display currency you selected is not available in allowed currencies.","죄송합니다. 선택한 기본 표시 통화는 허용된 통화가 아닙니다."
"Please correct the email address: ""%1"".","Please correct the email address: ""%1""."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","보내는 사람 이름 ""%1""이 잘못되었습니다. 문자와 공백만 사용할 수 있습니다."
"Maximum sender name length is 255. Please correct your settings.","보내는 사람 이름은 최대 255자 입니다."
"The file you're uploading exceeds the server size limit of %1 kilobytes.","The file you're uploading exceeds the server size limit of %1 kilobytes."
"The base directory to upload file is not specified.","파일을 업로드 하기 위한 기본 디렉토리가 지정되지 않았습니다."
"The specified image adapter cannot be used because of: %1","The specified image adapter cannot be used because of: %1"
"Default scope","기본 적용범위"
"Base currency","기본 통화"
"Display default currency","기본 표시 통화"
"website(%1) scope","웹사이트(%1) 적용범위"
"store(%1) scope","스토어(%1) 적용범위"
