"Default Config","පෙරනිමි වින්‍යාසය"
"Save Config","වින්‍යාසය සුරකින්න"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[ගබඩා දසුන]"
"Use system value","පද්ධති අගය භාවිතා කරන්න"
"Use Default","පෙරනිමි භාවිතාකරන්න"
"Use Website","වෙබ් අඩවිය භාවිතා කරන්න"
"Add","එකතු කරන්න"
"Delete File","ගොනුව මකා"
"Search String","සෙවුම් පෙළ"
"Design Theme","නිර්මාණ තේමාව"
"Add \Exception","එකතු කරන්න \Exception"
"-- No Theme --","-- තේමාවක් නැත --"
"Enable","සබල කරන්න"
"Disable","අක්රිය කරන්න"
"Configuration","මානකරනය"
"Class for type ""%1"" was not declared","Class for type ""%1"" was not declared"
"%1 should implement %2","%1 %2ක්‍රියාත්මක කළ යුතුය"
"The value you set has already been locked. To change the value, use the --%1 option.","ඔබ සැකසූ අගය දැනටමත් අගුලු දමා ඇත. අගය වෙනස් කිරීමට, --%1 විකල්පය භාවිතා කරන්න."
"%1","%1"
"Configuration for path: ""%1"" doesn't exist","Configuration for path: ""%1"" doesn't exist"
"System","පද්ධතිය"
"You saved the configuration.","ඔබ වින්‍යාසය සුරකින ලදී."
"Something went wrong while saving this configuration:","මෙම වින්‍යාසය සුරැකීමේදී යම් දෙයක් වැරදී ඇත:"
"Page not found.","පිටුව හමු නොවීය."
"Please specify the admin custom URL.","කරුණාකර පරිපාලක අභිරුචි URL එක සඳහන් කරන්න."
"Invalid %1. %2","වලංගු නොවන %1. %2"
"Value must be a URL or one of placeholders: %1","අගය URL එකක් හෝ ස්ථාන දරන්නන්ගෙන් එකක් විය යුතුය: %1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","ස්ථාන දරණ(s): %1, සහ ""/"" වලින් අවසන් වන URL එකක් හෝ මාර්ගයක් සඳහන් කරන්න."
"%1 An empty value is allowed as well.","%1 හිස් අගයක් ද ඉඩ දෙනු ලැබේ."
"Specify a fully qualified URL.","සම්පූර්ණ සුදුසුකම් ලත් URL එකක් සඳහන් කරන්න."
"Selected allowed currency ""%1"" is not available in installed currencies.","තෝරන ලද අනුමත මුදල් ""%1"" ස්ථාපිත මුදල්වල නොමැත."
"Default display currency ""%1"" is not available in allowed currencies.","අවසර ලත් මුදල් වර්ගවල පෙරනිමි සංදර්ශක මුදල් ""%1"" නොමැත."
"Sorry, we haven't installed the base currency you selected.","සමාවන්න, ඔබ තෝරාගත් මූලික මුදල් අපි ස්ථාපනය කර නැත."
"We can't save the Cron expression.","අපට Cron ප්‍රකාශනය සුරැකිය නොහැක."
"Sorry, we haven't installed the default display currency you selected.","සමාවන්න, අපි ඔබ තෝරාගත් පෙරනිමි සංදර්ශක මුදල් ස්ථාපනය කර නැත."
"Sorry, the default display currency you selected is not available in allowed currencies.","සමාවන්න, ඔබ තෝරාගත් පෙරනිමි සංදර්ශක මුදල් අනුමත මුදල්වල නොමැත."
"Please correct the email address: ""%1"".","Please correct the email address: ""%1""."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","යවන්නාගේ නම ""%1"" වලංගු නැත. කරුණාකර දෘශ්‍ය අක්ෂර සහ හිස්තැන් පමණක් භාවිතා කරන්න."
"Maximum sender name length is 255. Please correct your settings.","උපරිම යවන්නාගේ නම දිග 255. කරුණාකර ඔබගේ සැකසීම් නිවැරදි කරන්න."
"The file you're uploading exceeds the server size limit of %1 kilobytes.","ඔබ උඩුගත කරන ගොනුව සේවාදායක ප්‍රමාණය කිලෝබයිට් %1 ඉක්මවයි."
"The base directory to upload file is not specified.","ගොනුව උඩුගත කිරීමට මූලික නාමාවලිය සඳහන් කර නොමැත."
"The specified image adapter cannot be used because of: %1","නිශ්චිත රූප ඇඩැප්ටරය භාවිතා කළ නොහැක: %1"
"Default scope","පෙරනිමි විෂය පථය"
"Base currency","මූලික මුදල්"
"Display default currency","පෙරනිමි මුදල් ප්‍රදර්ශනය කරන්න"
"website(%1) scope","වෙබ් අඩවිය (%1) විෂය පථය"
"store(%1) scope","ගබඩා (%1) විෂය පථය"
"Currency ""%1"" is used as %2 in %3.","""%1"" මුදල් %3න් %2 ලෙස භාවිතා වේ."
"Please correct the timezone.","Please correct the timezone."
"The file ""%1"" does not exist","The file ""%1"" does not exist"
"The ""%1"" path does not exist","The ""%1"" path does not exist"
"Always (during development)","සෑම විටම (සංවර්ධනය අතරතුර)"
"Only Once (version upgrade)","එක් වරක් පමණි (අනුවාදය උත්ශ්‍රේණි කිරීම)"
"Never (production)","කවදාවත් (නිෂ්පාදනය)"
"Bcc","Bcc"
"Separate Email","වෙනම ඊමේල්"
"%1 (Default)","%1 (පෙරනිමි)"
"title","ශීර්ෂය"
"No","නැත"
"Optional","විකල්ප"
"Required","අවශ්යයි"
"Website","වෙබ් අඩවිය"
"Store","ගබඩා කරන්න"
"Store View","ගබඩා දර්ශනය"
"HTTP (unsecure)","HTTP (අනාරක්ෂිත)"
"HTTPS (SSL)","HTTPS (SSL)"
"Yes (302 Found)","ඔව් (302 හමු විය)"
"Yes (301 Moved Permanently)","ඔව් (301 ස්ථිරව ගෙන ගියා)"
"Yes","ඔව්"
"Specified","නිශ්චිතව දක්වා ඇත"
"Visible section not found.","දෘශ්‍ය කොටස හමු නොවීය."
"Config form fieldset clone model required to be able to clone fields","ක්ෂේත්‍ර ක්ලෝන කිරීමට හැකි වීමට අවශ්‍ය වින්‍යාස පෝරමය ක්ෂේත්‍ර කට්ටල ක්ලෝන ආකෘතිය"
"%1: Instance of %2 is expected, got %3 instead","%1: %2 හි උදාහරණය අපේක්ෂා කෙරේ, ඒ වෙනුවට %3 ලැබුණි"
"Invalid XML in file %1:\n%2","Invalid XML in file %1:\n%2"
".","."
"'There is no defined type ' .","'නිශ්චිත වර්ගයක් නොමැත' ."
"'Object is not instance of ' .","'වස්තුව යනු නිදසුන නොවේ' ."
"Filesystem is not writable.","ගොනු පද්ධතිය ලිවිය නොහැක."
"Some error","යම් දෝෂයක්"
"Some message","යම් පණිවිඩයක්"
"You cannot run this command because the Magento application is not installed.","Magento යෙදුම ස්ථාපනය කර නොමැති නිසා ඔබට මෙම විධානය ක්‍රියාත්මක කළ නොහැක."
"This command is unavailable right now.","මෙම විධානය දැන් නොමැත."
"The ""test/test/test"" path does not exists","""පරීක්ෂණ/පරීක්ෂණ/පරීක්ෂණ"" මාර්ගය නොපවතී"
"error message","දෝෂ පණිවිඩය"
"some_label","සමහර_ලේබලය"
"some_comment","සමහර_අදහස්"
"some prefix","සමහර උපසර්ගය"
"element label","මූලද්රව්ය ලේබලය"
"element hint","මූලද්රව්ය ඉඟිය"
"element comment","මූලද්රව්ය විවරණ"
"element tooltip","මූලද්රව්ය මෙවලම් ඉඟිය"
"test","පරීක්ෂණය"
