"Default Config","ડિફaultલ્ટ રૂપરેખા"
"Save Config","સેફ રૂપરેખા"
"[GLOBAL]","[વૈશ્વિક]"
"[WEBSITE]","[વેબસાઈટ]"
"[STORE VIEW]","[સ્ટોર જુઓ]"
"Use system value","સિસ્ટમ મૂલ્યનો ઉપયોગ કરો"
"Use Default","ડિફaultલ્ટનો ઉપયોગ કરો"
"Use Website","વેબસાઇટનો ઉપયોગ કરો"
"Add","ઉમેરો"
"Delete File","ફાઇલ કાઢી નાખો"
"Search String","શોધ શબ્દમાળા"
"Design Theme","થીમ ડિઝાઇન"
"Add \Exception","અપવાદ ઉમેરો"
"-- No Theme --","કોઈ થીમ -"
"Enable","સક્ષમ કરો"
"Disable","અક્ષમ કરો"
"Configuration","રૂપરેખાંકન"
"Class for type ""%1"" was not declared","પ્રકાર ""%1"" માટેનો વર્ગ જાહેર કરાયો ન હતો"
"%1 should implement %2","%1 એ %2 નો અમલ કરવો જોઈએ"
"The value you set has already been locked. To change the value, use the --%1 option.","તમે સેટ કરેલ મૂલ્ય પહેલાથી જ લ lockedક થઈ ગયું છે. મૂલ્ય બદલવા માટે, -%1 વિકલ્પ વાપરો."
"%1","%1"
"Configuration for path: ""%1"" doesn't exist","પાથ માટે ગોઠવણી: ""%1"" અસ્તિત્વમાં નથી"
"System","સિસ્ટમ"
"You saved the configuration.","તમે ગોઠવણી સાચવી."
"Something went wrong while saving this configuration:","આ ગોઠવણીને સાચવતી વખતે કંઈક ખોટું થયું:"
"Page not found.","પેજ નથી મળ્યું."
"Please specify the admin custom URL.","કૃપા કરીને એડમિન કસ્ટમ URL નો ઉલ્લેખ કરો."
"Invalid %1. %2","અમાન્ય %1. %2"
"Value must be a URL or one of placeholders: %1","મૂલ્ય એક URL અથવા પ્લેસહોલ્ડરોમાંનું એક હોવું આવશ્યક છે:%1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","URL અથવા પાથનો ઉલ્લેખ કરો કે જે પ્લેસહોલ્ડર (ઓ) થી શરૂ થાય છે:%1, અને ""/"" સાથે સમાપ્ત થાય છે."
"%1 An empty value is allowed as well.","%1 ખાલી મૂલ્ય પણ માન્ય છે."
"Specify a fully qualified URL.","સંપૂર્ણ ક્વોલિફાઇડ URL નો ઉલ્લેખ કરો."
"Selected allowed currency ""%1"" is not available in installed currencies.","પસંદ કરેલી મંજૂરીવાળી ચલણ ""%1"" ઇન્સ્ટોલ કરન્સીમાં ઉપલબ્ધ નથી."
"Default display currency ""%1"" is not available in allowed currencies.","ડિફaultલ્ટ ડિસ્પ્લે ચલણ ""%1"" માન્ય કરન્સીમાં ઉપલબ્ધ નથી."
"Sorry, we haven't installed the base currency you selected.","માફ કરશો, અમે તમે પસંદ કરેલ આધાર ચલણ ઇન્સ્ટોલ કર્યું નથી."
"We can't save the Cron expression.","અમે ક્રોન અભિવ્યક્તિને સાચવી શકતા નથી."
"Sorry, we haven't installed the default display currency you selected.","માફ કરશો, અમે તમે પસંદ કરેલું ડિફોલ્ટ ચલણ ઇન્સ્ટોલ કર્યું નથી."
"Sorry, the default display currency you selected is not available in allowed currencies.","માફ કરશો, તમે પસંદ કરેલું ડિફોલ્ટ ચલણ મંજૂરી કરન્સીમાં ઉપલબ્ધ નથી."
"Please correct the email address: ""%1"".","કૃપા કરીને ઇમેઇલ સરનામું સુધારો: ""%1""."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","મોકલનારનું નામ ""%1"" માન્ય નથી. કૃપા કરીને ફક્ત દૃશ્યમાન અક્ષરો અને જગ્યાઓનો ઉપયોગ કરો."
"Maximum sender name length is 255. Please correct your settings.","મહત્તમ પ્રેષકની નામ લંબાઈ 255 છે. કૃપા કરીને તમારી સેટિંગ્સને ઠીક કરો."
"The file you're uploading exceeds the server size limit of %1 kilobytes.","તમે અપલોડ કરી રહ્યાં છો તે ફાઇલ, સર્વર કદની મર્યાદા %1 કિલોબાઇટથી વધુ છે."
"The base directory to upload file is not specified.","ફાઇલ અપલોડ કરવા માટેની બેઝ ડિરેક્ટરી ઉલ્લેખિત નથી."
"The specified image adapter cannot be used because of: %1","ઉલ્લેખિત ઇમેજ એડેપ્ટરનો ઉપયોગ આના કારણે કરી શકાતો નથી:%1"
"Default scope","ડિફોલ્ટ અવકાશ"
"Base currency","આધાર ચલણ"
