"Default Config","डिफ़ॉल्ट कॉन्फ़िगरेशन"
"Save Config","कॉन्फ़िगरेशन सहेजें"
"[GLOBAL]","[वैश्विक]"
"[WEBSITE]","[वेबसाइट]"
"[STORE VIEW]","[स्टोर देखें]"
"Use system value","सिस्टम मान का उपयोग करें"
"Use Default","पूर्व निर्धारित उपयोग करें"
"Use Website","वेबसाइट का उपयोग करें"
"Add","जोड़ना"
"Delete File","फ़ाइल को हटाएं"
"Search String","खोज स्ट्रिंग"
"Design Theme","डिज़ाइन थीम"
"Add \Exception","अपवाद जोड़ना"
"-- No Theme --","- कोई विवरण नहीं -"
"Enable","सक्षम करें"
"Disable","अक्षम"
"Configuration","विन्यास"
"Class for type ""%1"" was not declared","टाइप ""%1"" के लिए वर्ग घोषित नहीं किया गया था"
"%1 should implement %2","%1 को %2 लागू करना चाहिए"
"The value you set has already been locked. To change the value, use the --%1 option.","आपके द्वारा निर्धारित मूल्य पहले ही लॉक हो चुका है। मान बदलने के लिए, --%1 विकल्प का उपयोग करें।"
"%1","%1"
"Configuration for path: ""%1"" doesn't exist","पथ के लिए कॉन्फ़िगरेशन: ""%1"" मौजूद नहीं है"
"System","प्रणाली"
"You saved the configuration.","आपने कॉन्फ़िगरेशन सहेज लिया है।"
"Something went wrong while saving this configuration:","इस कॉन्फ़िगरेशन को सहेजते समय कुछ गड़बड़ हुई:"
"Page not found.","पृष्ठ नहीं मिला।"
"Please specify the admin custom URL.","कृपया व्यवस्थापक कस्टम URL निर्दिष्ट करें।"
"Invalid %1. %2","अमान्य %1 %2"
"Value must be a URL or one of placeholders: %1","मान URL या प्लेसहोल्डर में से एक होना चाहिए:%1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","URL या पथ निर्दिष्ट करें जो प्लेसहोल्डर (ओं) से शुरू होता है:%1, और ""/"" के साथ समाप्त होता है।"
"%1 An empty value is allowed as well.","%1 खाली मान को भी अनुमति है।"
"Specify a fully qualified URL.","पूरी तरह से योग्य URL निर्दिष्ट करें।"
"Selected allowed currency ""%1"" is not available in installed currencies.","चयनित अनुमत मुद्रा ""%1"" स्थापित मुद्राओं में उपलब्ध नहीं है।"
"Default display currency ""%1"" is not available in allowed currencies.","डिफ़ॉल्ट प्रदर्शन मुद्रा ""%1"" अनुमत मुद्राओं में उपलब्ध नहीं है।"
"Sorry, we haven't installed the base currency you selected.","क्षमा करें, हमने आपके द्वारा चयनित आधार मुद्रा स्थापित नहीं की है।"
"We can't save the Cron expression.","हम क्रोन अभिव्यक्ति को नहीं बचा सकते।"
"Sorry, we haven't installed the default display currency you selected.","क्षमा करें, हमने आपके द्वारा चयनित डिफ़ॉल्ट प्रदर्शन मुद्रा स्थापित नहीं की है।"
"Sorry, the default display currency you selected is not available in allowed currencies.","क्षमा करें, आपके द्वारा चयनित डिफ़ॉल्ट प्रदर्शन मुद्रा अनुमत मुद्राओं में उपलब्ध नहीं है।"
"Please correct the email address: ""%1"".","कृपया ईमेल पता सही करें: ""%1""।"
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","प्रेषक का नाम ""%1"" मान्य नहीं है। कृपया केवल दृश्यमान वर्ण और स्थान का उपयोग करें।"
"Maximum sender name length is 255. Please correct your settings.","अधिकतम प्रेषक का नाम लंबाई 255 है। कृपया अपनी सेटिंग्स ठीक करें।"
"The file you're uploading exceeds the server size limit of %1 kilobytes.","आपके द्वारा अपलोड की जा रही फ़ाइल %1 किलोबाइट के सर्वर आकार की सीमा से अधिक है।"
"The base directory to upload file is not specified.","फ़ाइल अपलोड करने के लिए आधार निर्देशिका निर्दिष्ट नहीं है।"
"The specified image adapter cannot be used because of: %1","निर्दिष्ट छवि एडाप्टर का उपयोग %1 के कारण नहीं किया जा सकता है"
"Default scope","डिफ़ॉल्ट गुंजाइश"
"Base currency","आधार मुद्रा"
"Display default currency","डिफ़ॉल्ट मुद्रा प्रदर्शित करें"
"website(%1) scope","वेबसाइट (%1) गुंजाइश"
"store(%1) scope","स्टोर (%1) गुंजाइश"
"Currency ""%1"" is used as %2 in %3.","मुद्रा ""%1"" का उपयोग %3 में%2 के रूप में किया जाता है।"
"Please correct the timezone.","कृपया समयक्षेत्र सही करें।"
"The file ""%1"" does not exist","फ़ाइल ""%1"" मौजूद नहीं है"
"The ""%1"" path does not exist","""%1"" पथ मौजूद नहीं है"
"Always (during development)","हमेशा (विकास के दौरान)"
"Only Once (version upgrade)","केवल एक बार (संस्करण उन्नयन)"
"Never (production)","कभी नहीं (उत्पादन)"
"Bcc","गुप्त प्रतिलिपि"
"Separate Email","अलग ईमेल"
"%1 (Default)","%1 (डिफ़ॉल्ट)"
"title","शीर्षक"
"No","नहीं"
"Optional","ऐच्छिक"
"Required","अपेक्षित"
"Website","वेबसाइट"
"Store","दुकान"
"Store View","स्टोर देखें"
"HTTP (unsecure)","HTTP (असुरक्षित)"
"HTTPS (SSL)","HTTPS (SSL)"
"Yes (302 Found)","हां (302 मिला)"
"Yes (301 Moved Permanently)","हां (301 स्थानांतरित स्थायी रूप से)"
"Yes","हाँ"
"Specified","निर्दिष्ट"
"Visible section not found.","दृश्यमान अनुभाग नहीं मिला।"
"Config form fieldset clone model required to be able to clone fields","फ़ील्ड को क्लोन करने में सक्षम होने के लिए आवश्यक फ़ील्ड फॉर्मेट क्लोन मॉडल को कॉन्फ़िगर करें"
"%1: Instance of %2 is expected, got %3 instead","%1:%2 का उदाहरण अपेक्षित है, इसके बजाय%3 मिला है"
"Invalid XML in file %1:\n%2","Invalid XML in file %1:\n%2"
".","।"
"'There is no defined type ' .","'कोई परिभाषित प्रकार नहीं है'।"
"'Object is not instance of ' .","'वस्तु उदाहरण नहीं है'।"
"Filesystem is not writable.","फाइलसिस्टम लेखन योग्य नहीं है।"
"Some error","कुछ त्रुटि"
"Some message","कुछ संदेश"
"You cannot run this command because the Magento application is not installed.","आप इस आदेश को नहीं चला सकते क्योंकि Magento एप्लिकेशन इंस्टॉल नहीं है।"
"This command is unavailable right now.","यह कमांड अभी उपलब्ध नहीं है।"
"The ""test/test/test"" path does not exists","""परीक्षण / परीक्षण / परीक्षण"" पथ मौजूद नहीं है"
"error message","त्रुटि संदेश"
"some_label","some_label"
"some_comment","some_comment"
"some prefix","कुछ उपसर्ग"
"element label","तत्व लेबल"
"element hint","तत्व संकेत"
"element comment","तत्व टिप्पणी"
"element tooltip","तत्व टूलटिप"
"test","परीक्षा"
"test2","test2"
"Add after","के बाद जोड़ें"
"Delete","हटाना"
"Current Configuration Scope:","वर्तमान कॉन्फ़िगरेशन स्कोप:"
"Stores","स्टोर"
"Group Label","समूह लेबल"
"Some Label","कुछ लेबल"
"Tab Label","टैब लेबल"
"Allow everything","सब कुछ अनुमति दें"
"Magento Admin","Magento के व्यवस्थापक"
"Dashboard","डैशबोर्ड"
"Manage Stores","स्टोर प्रबंधित करें"
"Field 2","क्षेत्र 2"
"Field 3","फ़ील्ड 3"
"Field 3.1","क्षेत्र 3.1"
"Field 3.1.1","क्षेत्र 3.1.1"
"Field 4","क्षेत्र 4"
"Advanced Section","उन्नत अनुभाग"
"Advanced Admin Section","उन्नत व्यवस्थापक अनुभाग"
"Design Section","डिजाइन अनुभाग"
"General Section","सामान्य अनुभाग"
"System Section","सिस्टम अनुभाग"
"Currency Setup Section","मुद्रा सेटअप अनुभाग"
"Developer Section","डेवलपर अनुभाग"
"Web Section","वेब सेक्शन"
"Store Email Addresses Section","ईमेल पता अनुभाग स्टोर करें"
"Email to a Friend","दोस्त को ईमेल करो"
"Action","कार्य"
"'The specified image adapter cannot be used because of: ' .","'निर्दिष्ट छवि एडेप्टर का उपयोग नहीं किया जा सकता है:'।"
"The file ""' . . '"" does not exist","फ़ाइल मौजूद नहीं है"
