"Default Config","Configurazione predefinita"
"Save Config","Salva configurazione"
"[GLOBAL]","[GLOBALE]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[VISTA NEGOZIO]"
"Use system value","Utilizzare il valore di sistema"
"Use Default","Usa predefinito"
"Use Website","Usa website"
"Add","Aggiungi"
"Delete File","Elimina File"
"Search String","Stringa di ricerca"
"Design Theme","Tema"
"Add \Exception","Aggiungere \Exception"
"-- No Theme --","-- Nessun tema --"
"Enable","Attiva"
"Disable","Disattiva"
"Configuration","Configurazione"
"Class for type ""%1"" was not declared","Class for type ""%1"" was not declared"
"%1 should implement %2","%1 deve implementare %2"
"The value you set has already been locked. To change the value, use the --%1 option.","Il valore impostato è già stato bloccato. Per modificare il valore, utilizzare l'opzione --%1."
"%1","%1"
"Configuration for path: ""%1"" doesn't exist","Configuration for path: ""%1"" doesn't exist"
"System","Sistema"
"You saved the configuration.","Hai salvato la configurazione."
"Something went wrong while saving this configuration:","Qualcosa è andato storto durante il salvataggio di questa configurazione:"
"Page not found.","Pagina non trovata."
"Please specify the admin custom URL.","Specificare l'admin URL personalizzato."
"Invalid %1. %2","%1 non valido. %2"
"Value must be a URL or one of placeholders: %1","Il valore deve essere un URL o uno dei segnaposto: %1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","Specificare un URL o un percorso che inizia con segnaposto/i: %1 e termina con ""/""."
"%1 An empty value is allowed as well.","%1 è consentito anche un valore vuoto."
"Specify a fully qualified URL.","Specificare un URL completo."
"Selected allowed currency ""%1"" is not available in installed currencies.","La valuta consentita selezionata ""%1"" non è disponibile tra le valute installate."
"Default display currency ""%1"" is not available in allowed currencies.","La valuta visualizzata come predefinita ""%1"" non è disponibile tra le valute consentite."
"Sorry, we haven't installed the base currency you selected.","La valuta di base selezionata non è installata."
"We can't save the Cron expression.","Non possiamo salvare l'espressione Cron."
"Sorry, we haven't installed the default display currency you selected.","La valuta da mostrare come predefinita che hai scelto non è installata."
"Sorry, the default display currency you selected is not available in allowed currencies.","La valuta da mostrare come predefinita selezionata non è disponibile tra le valute consentite."
"Please correct the email address: ""%1"".","Please correct the email address: ""%1""."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","Il nome del mittente ""%1"" non è valido. Utilizza solo caratteri visibili e spazi."
"Maximum sender name length is 255. Please correct your settings.","La lunghezza massima del nome del mittente è 255. Correggi le tue impostazioni."
"The file you're uploading exceeds the server size limit of %1 kilobytes.","Il file che stai caricando supera il limite di %1 kilobytes del server."
"The base directory to upload file is not specified.","La directory di base per caricare file non è specificata."
"The specified image adapter cannot be used because of: %1","L'immagine adatta specificata non può essere usata a causa di: %1"
"Default scope","Ambito di applicazione predefinito"
"Base currency","Valuta di base"
"Display default currency","Visualizzare la valuta predefinita"
"website(%1) scope","website(%1) ambito di applicazione"
"store(%1) scope","negozio(%1) ambito di applicazione"
"Currency ""%1"" is used as %2 in %3.","Valuta ""%1"" è utilizzata come %2 in %3."
"Please correct the timezone.","Please correct the timezone."
"The file ""%1"" does not exist","The file ""%1"" does not exist"
"The ""%1"" path does not exist","The ""%1"" path does not exist"
"Always (during development)","Sempre (durante lo sviluppo)"
"Only Once (version upgrade)","Solo una volta (aggiornamento versione)"
"Never (production)","Mai (produzione)"
"Bcc","Bcc"
"Separate Email","Separare le Email"
"%1 (Default)","%1 (Predefinito)"
"title","titolo"
"No","No"
"Optional","Opzionale"
"Required","Obbligatorio"
"Website","Sito Web"
"Store","Negozio"
"Store View","Vista Negozio"
"HTTP (unsecure)","HTTP (non sicura)"
"HTTPS (SSL)","HTTPS (SSL)"
"Yes (302 Found)","Sì (302 trovati)"
"Yes (301 Moved Permanently)","Sì (301 Redirect Permanente)"
"Yes","Sì"
"Specified","Specificato"
"Visible section not found.","Visible section not found."
"Config form fieldset clone model required to be able to clone fields","Model clone fieldset form config richiede l'abilitazione della clonazione dei campi"
"%1: Instance of %2 is expected, got %3 instead","%1: è prevista un'istanza di %2, invece è stato trovato %3"
"Invalid XML in file %1:\n%2","Invalid XML in file %1:\n%2"
".","."
"'There is no defined type ' .","'Non c'è nessun tipo definito'."
"'Object is not instance of ' .","'Oggetto non è istanza di'."
"Filesystem is not writable.","Il filesystem non è scrivibile."
"Some error","Qualche errore"
"Some message","Alcuni messaggi"
"You cannot run this command because the Magento application is not installed.","You cannot run this command because the Magento application is not installed."
"This command is unavailable right now.","Questo comando non è al momento disponibile."
"The ""test/test/test"" path does not exists","Il percorso ""test/test/test"" non esiste"
"error message","messaggio di errore"
"some_label","some_label"
"some_comment","some_comment"
"some prefix","alcuni prefissi"
"element label","etichetta elemento"
"element hint","suggerimento elemento"
"element comment","commento elemento"
"element tooltip","elemento tooltip"
"test","test"
"test2","test2"
"Add after","Aggiungi dopo"
"Delete","Elimina"
"Current Configuration Scope:","Ambito di configurazione corrente:"
"Stores","Negozi"
"Group Label","Etichetta gruppo"
"Some Label","Alcune etichette"
"Tab Label","Etichetta scheda"
"Allow everything","Consenti tutto"
"Magento Admin","Magento Admin"
"Dashboard","Cruscotto"
"Manage Stores","Gestisci Negozi"
"Field 2","Campo 2"
"Field 3","Campo 3"
"Field 3.1","Campo 3.1"
"Field 3.1.1","Campo 3.1.1"
"Field 4","Campo 4"
"Advanced Section","Sezione avanzata"
"Advanced Admin Section","Sezione Admin avanzata"
"Design Section","Sezione Design"
"General Section","Sezione Generale"
"System Section","Sezione sistema"
"Currency Setup Section","Sezione Setup valuta"
"Developer Section","Sezione sviluppatori"
"Web Section","Sezione Web"
"Store Email Addresses Section","Sezione indirizzi Email del negozio"
"Email to a Friend","Segnala ad un amico"
"Action","Action"
"'The specified image adapter cannot be used because of: ' .","'The specified image adapter cannot be used because of: ' ."
"The file ""' . . '"" does not exist","The file ""' . . '"" does not exist"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","The class for ""%1"" type wasn't declared. Enter the class and try again."
"The ""%1"" email address is incorrect. Verify the email address and try again.","The ""%1"" email address is incorrect. Verify the email address and try again."
"The time zone is incorrect. Verify the time zone and try again.","The time zone is incorrect. Verify the time zone and try again."
"The ""%1"" file doesn't exist.","The ""%1"" file doesn't exist."
"The ""%1"" path doesn't exist. Verify and try again.","The ""%1"" path doesn't exist. Verify and try again."
"'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again.""","'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again."""
