"Default Config","Configuração Pré-definida"
"Save Config","Gravar Configuração"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[VISTA DE LOJA]"
"Use system value","Utilizar o valor de sistema"
"Use Default","Utilizar Predefinição"
"Use Website","Usar Site"
"Add","Adicionar"
"Delete File","Apagar Ficheiro"
"Search String","Procurar Texto"
"Design Theme","Desenhar Tema"
"Add \Exception","Adicionar \Exceção"
"-- No Theme --","-- Nenhum Tema --"
"Enable","Ativar"
"Disable","Desativar"
"Configuration","Configuração"
"Class for type ""%1"" was not declared","Class for type ""%1"" was not declared"
"%1 should implement %2","%1 deve implementar %2"
"The value you set has already been locked. To change the value, use the --%1 option.","O valor escolhido já está bloqueado. Para alterar o valor, utilize a opção --%1."
"%1","%1"
"Configuration for path: ""%1"" doesn't exist","Configuration for path: ""%1"" doesn't exist"
"System","Sistema"
"You saved the configuration.","Gravou a configuração."
"Something went wrong while saving this configuration:","Algo correu mal ao gravar esta configuração:"
"Page not found.","Página não encontrada."
"Please specify the admin custom URL.","Por favor especifique o URL de admin personalizado."
"Invalid %1. %2","%1 inválido. %2"
"Value must be a URL or one of placeholders: %1","O valor deve ser um URL ou um dos placeholders: %1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","Especifique um URL ou caminho que comece com o(s) placeholder(s): %1, e acabe com ""/""."
"%1 An empty value is allowed as well.","%1 Um valor vazio também é permitido."
"Specify a fully qualified URL.","Especifique um URL totalmente qualificado."
"Selected allowed currency ""%1"" is not available in installed currencies.","A moeda permitida selecionada ""%1"" não está disponível nas moedas instaladas."
"Default display currency ""%1"" is not available in allowed currencies.","A moeda de exibição pré-definida ""%1"" não está disponível nas moedas permitidas."
"Sorry, we haven't installed the base currency you selected.","Desculpe, não foi instalada a moeda base que selecionou."
"We can't save the Cron expression.","Não conseguimos gravar a expressão Cron."
"Sorry, we haven't installed the default display currency you selected.","Desculpe, não instalámos a moeda de exibição pré-definida que selecionou."
"Sorry, the default display currency you selected is not available in allowed currencies.","Desculpe, a moeda de exibição pré-definida que selecionou não está disponível na lista de moedas permitidas."
"Please correct the email address: ""%1"".","Please correct the email address: ""%1""."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","O nome de remetente ""%1"" não é válido. Por favor use apenas caracteres visíveis e espaços."
"Maximum sender name length is 255. Please correct your settings.","O comprimento máximo do nome do remetente é de 255 caracteres. Por favor corrija este campo."
"The file you're uploading exceeds the server size limit of %1 kilobytes.","O ficheiro que está a carregar excede o limite do servidor de %1 kilobytes."
"The base directory to upload file is not specified.","A pasta base para carregar o ficheiro não está especificada."
"The specified image adapter cannot be used because of: %1","O adaptador de imagem especificado não pode ser usado por causa de: %1"
"Default scope","Escopo pré-definido"
"Base currency","Moeda base"
"Display default currency","Mostrar moeda pré-definida"
"website(%1) scope","escopo de website(%1)"
"store(%1) scope","escopo de loja(%1)"
"Currency ""%1"" is used as %2 in %3.","A moeda ""%1"" é usada como %2 em %3."
"Please correct the timezone.","Please correct the timezone."
"The file ""%1"" does not exist","The file ""%1"" does not exist"
"The ""%1"" path does not exist","The ""%1"" path does not exist"
"Always (during development)","Sempre (durante o desenvolvimento)"
"Only Once (version upgrade)","Apenas Uma Vez (atualização de versão)"
"Never (production)","Nunca (produção)"
"Bcc","Bcc"
"Separate Email","Email Separado"
"%1 (Default)","%1 (Pré-definido)"
"title","título"
"No","Não"
"Optional","Opcional"
"Required","Obrigatório"
"Website","Site"
"Store","Loja"
"Store View","Vista da Loja"
"HTTP (unsecure)","HTTP (não seguro)"
"HTTPS (SSL)","HTTPS (SSL)"
"Yes (302 Found)","Sim (302 Found)"
"Yes (301 Moved Permanently)","Sim (301 Moved Permanently)"
"Yes","Sim"
"Specified","Especificado"
"Visible section not found.","Visible section not found."
"Config form fieldset clone model required to be able to clone fields","É necessário um modelo de clone dos campos do formulário para poder clonar os campos"
"%1: Instance of %2 is expected, got %3 instead","%1: Era esperado uma instância do tipo %2, foi injetado %3"
"Invalid XML in file %1:\n%2","Invalid XML in file %1:\n%2"
".","."
"'There is no defined type ' .","'Não há nenhum tipo definido ' ."
"'Object is not instance of ' .","'O objecto não é de instância tipo '."
"Filesystem is not writable.","O sistema de ficheiros não permite escrita."
"Some error","Algum erro"
"Some message","Alguma mensagem"
"You cannot run this command because the Magento application is not installed.","You cannot run this command because the Magento application is not installed."
"This command is unavailable right now.","Este comando não se encontra disponível no momento."
"The ""test/test/test"" path does not exists","O caminho ""test/test/test"" não existe"
"error message","mensagem de erro"
"some_label","some_label"
"some_comment","some_comment"
"some prefix","um prefixo"
"element label","etiqueta do elemento"
"element hint","dica do elemento"
"element comment","comentário do elemento"
"element tooltip","dica de ferramenta do elemento"
"test","teste"
"test2","teste2"
"Add after","Adicionar depois de"
"Delete","Eliminar"
"Current Configuration Scope:","Configuração de Escopo Atual:"
"Stores","Lojas"
"Group Label","Etiqueta de Grupo"
"Some Label","Uma Etiqueta"
"Tab Label","Etiqueta do Separador"
"Allow everything","Permitir tudo"
"Magento Admin","Administração do Magento"
"Dashboard","Painel de Administração"
"Manage Stores","Gerir Lojas"
"Field 2","Campo 2"
"Field 3","Campo 3"
"Field 3.1","Campo 3.1"
"Field 3.1.1","Campo 3.1.1"
"Field 4","Campo 4"
"Advanced Section","Secção Avançada"
"Advanced Admin Section","Secção de Administração Avançada"
"Design Section","Secção de Design"
"General Section","Secção Geral"
"System Section","Secção de Sistema"
"Currency Setup Section","Secção de Configuração de Moeda"
"Developer Section","Secção de Programador"
"Web Section","Secção Web"
"Store Email Addresses Section","Secção de Emails da Loja"
"Email to a Friend","Enviar por Email a um Amigo"
"Action","Action"
"'The specified image adapter cannot be used because of: ' .","'The specified image adapter cannot be used because of: ' ."
"The file ""' . . '"" does not exist","The file ""' . . '"" does not exist"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","A classe para ""%1"" tipo não foi declarada. Digite a classe e tente novamente."
"The ""%1"" email address is incorrect. Verify the email address and try again.","O endereço de e-mail%1"" está incorreto. Verifique o endereço de e-mail e tente novamente."
"The time zone is incorrect. Verify the time zone and try again.","O fuso horário está incorreto. Verifique o fuso horário e tente novamente."
"The ""%1"" file doesn't exist.","O arquivo ""%1"" não existe."
"The ""%1"" path doesn't exist. Verify and try again.","The ""%1"" path doesn't exist. Verify and try again."
"'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again.""","'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again."""
