"Default Config","Domyślna konfiguracja"
"Save Config","Zapisz konfigurację"
"[GLOBAL]","[GLOBALNY]"
"[WEBSITE]","[WITRYNA]"
"[STORE VIEW]","[WIDOK SKLEPU]"
"Use system value","Użyj wartości systemu"
"Use Default","Użyj domyślnych"
"Use Website","Użyj witryny"
"Add","Dodaj"
"Delete File","Usuń plik"
"Search String","Szukany tekst"
"Design Theme","Design tematu"
"Add \Exception","Dodaj wyjątek"
"-- No Theme --","--Nie ma templatki--"
"Enable","Włącz"
"Disable","Wyłącz"
"Configuration","Konfiguracja"
"Class for type ""%1"" was not declared","Class for type ""%1"" was not declared"
"%1 should implement %2","%1 should implement %2"
"The value you set has already been locked. To change the value, use the --%1 option.","The value you set has already been locked. To change the value, use the --%1 option."
"%1","%1"
"Configuration for path: ""%1"" doesn't exist","Configuration for path: ""%1"" doesn't exist"
"System","System"
"You saved the configuration.","Konfiguracja zapisana."
"Something went wrong while saving this configuration:","Podczas zapisywania tej konfiguracji coś poszło nie tak:"
"Page not found.","Nie znaleziono strony."
"Please specify the admin custom URL.","Prosimy podać indywidualny URL admina."
"Invalid %1. %2","Nieprawidłowy %1. %2"
"Value must be a URL or one of placeholders: %1","Wartość musi być adresem URL lub jednym z symboli zastępczych: %1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","Określ adres URL lub ścieżkę, która zaczyna się od znaków zastępczych: %1, a kończy się na ""/""."
"%1 An empty value is allowed as well.","%1 wartość pusta jest również dozwolona."
"Specify a fully qualified URL.","Określ pełny kwalifikowany adres URL."
"Selected allowed currency ""%1"" is not available in installed currencies.","Wybrana dozwolona waluta ""%1"" nie jest dostępna wśród zainstalowanych walut."
"Default display currency ""%1"" is not available in allowed currencies.","Domyślnie wyświetlana waluta ""%1"" nie jest na liście dozwolonych walut."
"Sorry, we haven't installed the base currency you selected.","Niestety, nie mamy zainstalowanej wybranej waluty bazowej."
"We can't save the Cron expression.","Nie możemy zapisać wyrażenia Cron."
"Sorry, we haven't installed the default display currency you selected.","Przepraszamy, nie została zainstalowana domyślna waluta, która została wybrana."
"Sorry, the default display currency you selected is not available in allowed currencies.","Przepraszamy, domyślna waluta, którą wybrałeś nie jest dostępna w dozwolonych walutach."
"Please correct the email address: ""%1"".","Please correct the email address: ""%1""."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","Nazwa nadawcy ""%1"" nie jest prawidłowy. Proszę używać tylko widocznych znaków i spacji."
"Maximum sender name length is 255. Please correct your settings.","Maksymalna długość nazwy nadawcy to 255. Prosimy poprawić ustawienia."
"The file you're uploading exceeds the server size limit of %1 kilobytes.","Plik, który został wgrany przekracza dozwolony na serwerze limit wielkości pliku %1 kilobajtów."
"The base directory to upload file is not specified.","Bazowy katalog do przesłania pliku nie został podany."
"The specified image adapter cannot be used because of: %1","Adapter określonego obrazu nie może być użyty z powodu: %1"
"Default scope","Domyślny zakres"
"Base currency","Waluta podstawowa"
"Display default currency","Wyświetlaj domyślną walutę"
"website(%1) scope","zakres witryny (%1)"
"store(%1) scope","zakres sklepu (%1)"
"Currency ""%1"" is used as %2 in %3.","Waluta ""%1"" jest użyta jako %2 w %3."
"Please correct the timezone.","Please correct the timezone."
"The file ""%1"" does not exist","The file ""%1"" does not exist"
"The ""%1"" path does not exist","The ""%1"" path does not exist"
"Always (during development)","Zawsze (podczas developmentu)"
"Only Once (version upgrade)","Tylko raz (aktualizacja wersji)"
"Never (production)","Nigdy (produkcja)"
"Bcc","Ukryta kopia"
"Separate Email","Oddzielny e-mail"
"%1 (Default)","%1 (domyślne)"
"title","tytuł"
"No","Nie"
"Optional","Opcjonalnie"
"Required","Wymagane"
"Website","Witryna"
"Store","Sklep"
"Store View","Widok sklepu"
"HTTP (unsecure)","HTTP (nieszyfrowany)"
"HTTPS (SSL)","HTTPS (SSL)"
"Yes (302 Found)","Tak (302 Znaleziono)"
"Yes (301 Moved Permanently)","Tak (301 Stałe przekierowanie)"
"Yes","Tak"
"Specified","Wybrane"
"Visible section not found.","Visible section not found."
"Config form fieldset clone model required to be able to clone fields","Klon zestawu pól formularza konfiguracyjnego jest wymagany do klonowania pól"
"%1: Instance of %2 is expected, got %3 instead","%1: Instance of %2 is expected, got %3 instead"
"Invalid XML in file %1:\n%2","Invalid XML in file %1:\n%2"
".","."
"'There is no defined type ' .","'There is no defined type ' ."
"'Object is not instance of ' .","'Obiekt nie jest instancją klasy ' ."
"Filesystem is not writable.","Pliki nie mają prawa zapisu."
"Some error","Błąd"
"Some message","Niektóre wiadomości"
"You cannot run this command because the Magento application is not installed.","You cannot run this command because the Magento application is not installed."
"This command is unavailable right now.","Wybrana komenda nie istnieje."
"The ""test/test/test"" path does not exists","The ""test/test/test"" path does not exists"
"error message","komunikat błędu"
"some_label","some_label"
"some_comment","some_comment"
"some prefix","niektóre prefiksy"
"element label","element etykieta"
"element hint","element podpowiedź"
"element comment","element komentarz"
"element tooltip","elementu tooltip"
"test","test"
"test2","test2"
"Add after","Dodaj za"
"Delete","Usuń"
"Current Configuration Scope:","Zasięg obecnej konfiguracji:"
"Stores","Sklepy"
"Group Label","Etykieta Grupy"
"Some Label","Niektóre etykiety"
"Tab Label","Etykieta karty"
"Allow everything","Zezwól na wszystko"
"Magento Admin","Administrator Magento"
"Dashboard","Panel"
"Manage Stores","Zarządzaj sklepami"
"Field 2","Pole 2"
"Field 3","Pole 3"
"Field 3.1","Pole 3.1"
"Field 3.1.1","Pole 3.1.1"
"Field 4","Pole 4"
"Advanced Section","Sekcja Zaawansowana"
"Advanced Admin Section","Sekcja Zaawansowanych Ustawień Administracyjnych"
"Design Section","Sekcja wyglądu"
"General Section","Sekcja ogólna"
"System Section","Sekcja system"
"Currency Setup Section","Sekcja ustawień waluty"
"Developer Section","Sekcja programisty"
"Web Section","Sekcja internetowa"
"Store Email Addresses Section","Sekcja sklepowych adresów e-mail"
"Email to a Friend","Wyślij znajomemu"
"Action","Action"
"'The specified image adapter cannot be used because of: ' .","'The specified image adapter cannot be used because of: ' ."
"The file ""' . . '"" does not exist","The file ""' . . '"" does not exist"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","The class for ""%1"" type wasn't declared. Enter the class and try again."
"The ""%1"" email address is incorrect. Verify the email address and try again.","The ""%1"" email address is incorrect. Verify the email address and try again."
"The time zone is incorrect. Verify the time zone and try again.","The time zone is incorrect. Verify the time zone and try again."
"The ""%1"" file doesn't exist.","The ""%1"" file doesn't exist."
"The ""%1"" path doesn't exist. Verify and try again.","The ""%1"" path doesn't exist. Verify and try again."
"'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again.""","'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again."""
