"Default Config","默认配置"
"Save Config","保存配置"
"[GLOBAL]","[全局]"
"[WEBSITE]","[网站]"
"[STORE VIEW]","[店铺视图]"
"Use system value","使用系统值"
"Use Default","使用默认"
"Use Website","使用网站"
"Add","添加"
"Delete File","删除文件"
"Search String","搜索字符串"
"Design Theme","设计网站模板"
"Add \Exception","添加 \例外"
"-- No Theme --","— — 无主题 — —"
"Enable","启用"
"Disable","禁用"
"Configuration","设置"
"Class for type ""%1"" was not declared","Class for type ""%1"" was not declared"
"%1 should implement %2","%1 必须实现 %2"
"The value you set has already been locked. To change the value, use the --%1 option.","你设置的值已被锁定。若要更改值，请使用--%1 选项。"
"%1","1%"
"Configuration for path: ""%1"" doesn't exist","Configuration for path: ""%1"" doesn't exist"
"System","系统"
"You saved the configuration.","您已保存配置。"
"Something went wrong while saving this configuration:","保存此配置时，出现了错误:"
"Page not found.","找不到网页。"
"Please specify the admin custom URL.","请指定管理员自定义 URL。"
"Invalid %1. %2","无效的 %1。%2"
"Value must be a URL or one of placeholders: %1","值必须是一个 URL 或占位符之一: %1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","指定 URL 或路径开头预留: %1，并以""/""。"
"%1 An empty value is allowed as well.","%1 空值也被允许。"
"Specify a fully qualified URL.","指定一个完全合格的 URL。"
"Selected allowed currency ""%1"" is not available in installed currencies.","所选允许的货币""%1""在已安装货币中不可用。"
"Default display currency ""%1"" is not available in allowed currencies.","默认显示货币""%1""在允许货币中不可用。"
"Sorry, we haven't installed the base currency you selected.","对不起，我们还没有安装您选择的基础货币。"
"We can't save the Cron expression.","我们不能保存货币表达式"
"Sorry, we haven't installed the default display currency you selected.","对不起，我们还没有安装您选择的默认显示货币。"
"Sorry, the default display currency you selected is not available in allowed currencies.","很抱歉，您所选的默认显示货币不可允许货币。"
"Please correct the email address: ""%1"".","Please correct the email address: ""%1""."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","发送方名称“%1”是无效的。请只使用可见的字符和空格。"
"Maximum sender name length is 255. Please correct your settings.","最大发件人名称长度是 255。请更正您的设置。"
"The file you're uploading exceeds the server size limit of %1 kilobytes.","您所上传的文件超过服务器 %1 千字节的大小限制。"
"The base directory to upload file is not specified.","未指定要上载文件的基目录。"
"The specified image adapter cannot be used because of: %1","指定的图像适配器不能使用，因为:%1"
"Default scope","默认范围"
"Base currency","基础货币"
"Display default currency","显示默认货币"
"website(%1) scope","网站(% 1)范围"
"store(%1) scope","商店(%1) 范围"
"Currency ""%1"" is used as %2 in %3.","作为 %2 在 %3 中使用货币""%1""。"
"Please correct the timezone.","Please correct the timezone."
"The file ""%1"" does not exist","The file ""%1"" does not exist"
"The ""%1"" path does not exist","The ""%1"" path does not exist"
"Always (during development)","总是 (发育)"
"Only Once (version upgrade)","只有一次 (版本升级)"
"Never (production)","从来没有 (生产)"
"Bcc","抄送"
"Separate Email","单独的电子邮件"
"%1 (Default)","%1 (默认值)"
"title","标题"
"No","否"
"Optional","可选"
"Required","必填"
"Website","网站"
"Store","商店"
"Store View","商店界面"
"HTTP (unsecure)","HTTP (不安全)"
