"Default Config","Προεπιλεγμένη Ρύθμιση"
"Save Config","Αποθήκευση Ρυθμίσεων"
"[GLOBAL]","[ΚΑΘΟΛΙΚΟ]"
"[WEBSITE]","[ΙΣΤΟΤΟΠΟΣ]"
"[STORE VIEW]","[ΠΡΟΒΟΛΗ ΚΑΤΑΣΤΗΜΑΤΟΣ]"
"Use system value","Χρήση τιμής συστήματος"
"Use Default","Χρήση Προεπιλογής"
"Use Website","Χρήση Ιστοσελίδας"
"Add","Προσθήκη"
"Delete File","Διαγραφή Αρχείου"
"Search String","Συμβολοσειρά αναζήτησης"
"Design Theme","Σχεδίαση Θέματος"
"Add \Exception","Προσθήκη \Εξαίρεσης"
"-- No Theme --","--Χωρίς Θέμα--"
"Enable","Ενεργοποίηση"
"Disable","Απενεργοποίηση"
"Configuration","Ρύθμιση παραμέτρων"
"Class for type ""%1"" was not declared","Η κλάση για τον τύπο ""%1"" δεν δηλώθηκε"
"%1 should implement %2","%1 πρέπει να εφαρμόζει %2"
"The value you set has already been locked. To change the value, use the --%1 option.","Η τιμή που έχετε ορίσει έχει ήδη κλειδωθεί. Για να αλλάξετε την τιμή, χρησιμοποιήστε την επιλογή --%1."
"%1","%1"
"Configuration for path: ""%1"" doesn't exist","Διαμόρφωση για διαδρομή: ""%1"" δεν υπάρχει"
"System","Σύστημα"
"You saved the configuration.","Έχετε αποθηκεύσει τις ρυθμίσεις παραμέτρων."
"Something went wrong while saving this configuration:","Κάτι πήγε στραβά κατά την αποθήκευση αυτής της ρύθμισης παραμέτρων:"
"Page not found.","Η σελίδα δεν βρέθηκε."
"Please specify the admin custom URL.","Παρακαλούμε να προσδιορίσετε την προσαρμοσμένη διεύθυνση URL διαχείρισης."
"Invalid %1. %2","%1 δεν είναι έγκυρη. %2"
"Value must be a URL or one of placeholders: %1","Η Τιμή πρέπει να είναι μια διεύθυνση URL ή ένα από τα σύμβολα κράτησης θέσης: %1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","Καθορίστε μια διεύθυνση URL ή το μονοπάτι που ξεκινά με πλαίσια κράτησης θέσης: %1, και τελειώνει με ""/""."
"%1 An empty value is allowed as well.","%1 επιτρέπεται επίσης μια κενή τιμή."
"Specify a fully qualified URL.","Καθορίστε ένα έγκυρο URL."
"Selected allowed currency ""%1"" is not available in installed currencies.","Το επιτρεπόμενο επιλεγμένο νόμισμα ""%1"" δεν είναι διαθέσιμο στα εγκατεστημένα νομίσματα."
"Default display currency ""%1"" is not available in allowed currencies.","Η προεπιλεγμένη προβολή νομίσματος ""%1"" δεν είναι διαθέσιμη στα επιτρεπόμενα νομίσματα."
"Sorry, we haven't installed the base currency you selected.","Λυπούμαστε, δεν εγκαταστήθηκε το βασικό νόμισμα που επιλέξατε."
"We can't save the Cron expression.","Δεν μπορεί να αποθηκεύθει η έκφραση Cron."
"Sorry, we haven't installed the default display currency you selected.","Λυπούμαστε, δεν εγκαταστήθηκε το προεπιλεγμένο νόμισμα που επιλέξατε."
"Sorry, the default display currency you selected is not available in allowed currencies.","Λυπούμαστε, το προεπιλεγμένο νόμισμα οθόνης που επιλέξατε δεν είναι διαθέσιμο σε επιτρεπόμενα νομίσματα."
"Please correct the email address: ""%1"".","Παρακαλώ διορθώστε τη διεύθυνση email: ""%1""."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","Το όνομα αποστολέα ""%1"" δεν είναι έγκυρo. Παρακαλούμε χρησιμοποιήστε μόνο ορατούς χαρακτήρες και κενά διαστήματα."
"Maximum sender name length is 255. Please correct your settings.","Το μέγιστο μήκος Ονόματος αποστολέα είναι 255. Παρακαλώ διορθώστε τις ρυθμίσεις σας."
"The file you're uploading exceeds the server size limit of %1 kilobytes.","Το αρχείο που προσπαθείτε να φορτώσετε υπερβαίνει το όριο μεγέθους του διακομιστή των %1 kilobyte."
"The base directory to upload file is not specified.","Ο Φάκελος βάσης για να ανεβάσετε το αρχείο δεν έχει καθοριστεί."
"The specified image adapter cannot be used because of: %1","Ο καθορισμένος προσαρμογέας εικόνας δεν μπορεί να χρησιμοποιηθεί λόγω της: %1"
"Default scope","Προεπιλεγμένο εύρος"
"Base currency","Βασικό νόμισμα"
"Display default currency","Προβολή προεπιλεγμένου νομίσματος"
"website(%1) scope","ιστοσελίδα(%1) πεδίο εφαρμογής"
"store(%1) scope","Κατάστημα (%1) πεδίο εφαρμογής"
"Currency ""%1"" is used as %2 in %3.","Νόμισμα ""%1"" χρησιμοποιείται ως %2 σε %3."
"Please correct the timezone.","Παρακαλώ διορθώστε τη ζώνη ώρας."
"The file ""%1"" does not exist","Δεν υπάρχει το αρχείο ""%1"""
"The ""%1"" path does not exist","Δεν υπάρχει η διαδρομή ""%1"""
"Always (during development)","Πάντα (κατά τη διάρκεια της ανάπτυξης)"
"Only Once (version upgrade)","Μόνο μια φορά (έκδοση αναβάθμισης)"
"Never (production)","Ποτέ (παραγωγή)"
