"Default Config","標準の設定"
"Save Config","設定を保存"
"[GLOBAL]","[グローバル]"
"[WEBSITE]","[ウェブサイト]"
"[STORE VIEW]","[ストアビュー]"
"Use system value","システム設定値を使用"
"Use Default","標準の値を使用"
"Use Website","ウェブサイトの設定を使用する"
"Add","追加"
"Delete File","ファイルを削除"
"Search String","検索文字列"
"Design Theme","デザインテーマ"
"Add \Exception","\Exception 追加"
"-- No Theme --","-- テーマなし --"
"Enable","有効"
"Disable","無効"
"Configuration","設定"
"Class for type ""%1"" was not declared","Class for type ""%1"" was not declared"
"%1 should implement %2","%1 は、%2 を実装する必要があります"
"The value you set has already been locked. To change the value, use the --%1 option.","指定された値はロックされています。変更する場合は、 --%1 オプションを使用してください。"
"%1","%1"
"Configuration for path: ""%1"" doesn't exist","Configuration for path: ""%1"" doesn't exist"
"System","システム"
"You saved the configuration.","設定を保存しました"
"Something went wrong while saving this configuration:","この設定を保存中に問題が発生しました:"
"Page not found.","ページが見つかりません。"
"Please specify the admin custom URL.","管理画面のURLを指定してください。"
"Invalid %1. %2","無効 %1. %2"
"Value must be a URL or one of placeholders: %1","値はURLかプレースホルダーの1つでなければなりません: %1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","URLかプレースホルダーで始まるパスを指定して下さい: %1, そして""/""で終了してください。"
"%1 An empty value is allowed as well.","%1 空の値も使うことが出来ます。"
"Specify a fully qualified URL.","完全に用件を満たしたURLを指定してください"
"Selected allowed currency ""%1"" is not available in installed currencies.","選択された通貨""%1""はインストールされた通貨内で有効ではありません。"
"Default display currency ""%1"" is not available in allowed currencies.","デフォルト表示通貨 ""%1"" 許可された通貨内で有効ではありません。"
"Sorry, we haven't installed the base currency you selected.","申し訳ありません、あなたが選択したベース通貨はインストールされておりません。"
"We can't save the Cron expression.","Cron設定を保存できません。"
"Sorry, we haven't installed the default display currency you selected.","申し訳ありません、あなたが選択したディフォルト表示通貨はインストールされておりません。"
"Sorry, the default display currency you selected is not available in allowed currencies.","申し訳ありません、許可された貨幣の中で選択されたデフォルト表示通貨は存在しません。"
"Please correct the email address: ""%1"".","Please correct the email address: ""%1""."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","送信者名 ""%1"" は無効です。キャラクターとスペースのみ使用してください。"
"Maximum sender name length is 255. Please correct your settings.","送信者名の長さは最大255文字です。設定を見なおしてください。"
"The file you're uploading exceeds the server size limit of %1 kilobytes.","アップロードしているファイルはサーバーのサイズ制限 %1 キロバイトを超えています。"
"The base directory to upload file is not specified.","ファイルをアップロードするディレクトリが未指定です。"
"The specified image adapter cannot be used because of: %1","指定されたイメージアダプタは以下の理由で使用できません： %1"
"Default scope","標準のスコープ"
"Base currency","基本通貨"
"Display default currency","標準通貨の表示"
"website(%1) scope","ウェブサイト(%1) スコープ"
"store(%1) scope","ストア(%1) スコープ"
"Currency ""%1"" is used as %2 in %3.","通貨 ""%1"" %2として%3で使われています。"
"Please correct the timezone.","Please correct the timezone."
"The file ""%1"" does not exist","The file ""%1"" does not exist"
"The ""%1"" path does not exist","The ""%1"" path does not exist"
"Always (during development)","常時 (開発中)"
"Only Once (version upgrade)","一度だけ (バージョンアップ)"
"Never (production)","停止 (稼働中)"
"Bcc","BCC"
"Separate Email","分割メール"
"%1 (Default)","%1 (デフォルト)"
"title","タイトル"
"No","No"
"Optional","オプション"
"Required","必須"
"Website","ウェブサイト"
"Store","店舗"
"Store View","ストアビュー"
"HTTP (unsecure)","HTTP (非セキュア)"
"HTTPS (SSL)","HTTPS (SSL)"
"Yes (302 Found)","Yes (302 Found)"
"Yes (301 Moved Permanently)","Yes (301 Moved Permanently)"
"Yes","Yes"
"Specified","特定の"
"Visible section not found.","表示セクションが見つかりません。"
"Config form fieldset clone model required to be able to clone fields","フィールドセットからの複製モデルはフィールドの複製ができることが必要です。"
"%1: Instance of %2 is expected, got %3 instead","%1: %2 のインスタンスが想定されていますが、 %3 が与えられました"
"Invalid XML in file %1:\n%2","Invalid XML in file %1:\n%2"
".","。"
"'There is no defined type ' .","'定義された型はありません' ."
"'Object is not instance of ' .","'オブジェクトはインスタンスではありません ' ."
"Filesystem is not writable.","ファイルシステムが書き込み不可です。"
"Some error","何らかのエラー"
"Some message","何かのメッセージ"
