"Default Config","پیکربندی پیش فرض"
"Save Config","ذخیره‌ پیکربندی"
"[GLOBAL]","[سراسری]"
"[WEBSITE]","[وب‌سایت]"
"[STORE VIEW]","[مشاهده فروشگاه]"
"Use system value","استفاده از مقدار سیستم"
"Use Default","استفاده از پيش فرض"
"Use Website","استفاده از وب سايت"
"Add","اضافه کردن"
"Delete File","حذف فایل"
"Search String","رشته جستجو"
"Design Theme","تم طراحی"
"Add \Exception","افزودن / استثنا"
"-- No Theme --","- بدون تم -"
"Enable","فعال"
"Disable","غیرفعال کردن"
"Configuration","پیکربندی"
"Class for type ""%1"" was not declared","Class for type ""%1"" was not declared"
"%1 should implement %2","%1 باید %2 را اجرا کند"
"The value you set has already been locked. To change the value, use the --%1 option.","مقداری که تعیین کرده اید، در حال حاضر قفل شده است. برای تغییر مقدار از گزینه --%1 استفاده کنید."
"%1","%1"
"Configuration for path: ""%1"" doesn't exist","Configuration for path: ""%1"" doesn't exist"
"System","سيستم"
"You saved the configuration.","پیکربندی را ذخیره کردید."
"Something went wrong while saving this configuration:","هنگام ذخیره این پیکربندی مشکلی پیش آمد:"
"Page not found.","صفحه یافت نشد."
"Please specify the admin custom URL.","لطفا URL سفارشی مدیر را مشخص نمایید."
"Invalid %1. %2","نامعتبر است %2.%1"
"Value must be a URL or one of placeholders: %1","مقدار باید یک URL یا یکی از نگهدارنده های مکان باشد: %1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","یک URL یا مسیر که با نگهدارنده (های) مکان %1 شروع شده و با ""/"" پایان یابد، مشخص کنید."
"%1 An empty value is allowed as well.","%1 مقدار خالی نیز مجاز است."
"Specify a fully qualified URL.","یک URL واجد شرایط مشخص کنید."
"Selected allowed currency ""%1"" is not available in installed currencies.","ارز انتخاب شده ""%1"" در ارزهای نصب شده موجود نیست."
"Default display currency ""%1"" is not available in allowed currencies.","ارز پیش فرض نمایش داده شده ""%1"" در ارزهای مجاز موجود نیست."
"Sorry, we haven't installed the base currency you selected.","با عرض پوزش، ما ارز پایه را که انتخاب کرده اید نصب نشده است."
"We can't save the Cron expression.","ما نمی توانیم عبارت Cron را ذخیره کنیم."
"Sorry, we haven't installed the default display currency you selected.","با عرض پوزش، ما ارز پیش فرض نمایش داده شده ای که انتخاب کرده اید نصب نکرده ایم."
"Sorry, the default display currency you selected is not available in allowed currencies.","با عرض پوزش، ارز نمایش داده شده پیش فرضی که انتخاب کردید جزء ارزهای مجاز نیست."
"Please correct the email address: ""%1"".","Please correct the email address: ""%1""."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","نام فرستنده ""%1"" معتبر نیست. لطفا فقط از کاراکترهای قابل مشاهده و فاصله استفاده کنید."
"Maximum sender name length is 255. Please correct your settings.","حداکثر طول نام فرستنده 255 کاراکتر است. لطفا تنظیمات خود را تصحیح نمایید."
"The file you're uploading exceeds the server size limit of %1 kilobytes.","فایل آپلود شده از حد مجاز%1 کیلابایت بیشتر است."
"The base directory to upload file is not specified.","دایرکتوری مبنا برای آپلود فایل مشخص نشده است."
"The specified image adapter cannot be used because of: %1","آداپتور تصویر مشخص شده نمی تواند به دلیل:%1 استفاده شود"
"Default scope","محدوده پیش فرض"
"Base currency","ارز مرجع"
"Display default currency","نمایش ارز پیش فرض"
"website(%1) scope","محدوده وب سایت (%1)"
"store(%1) scope","محدوده فروشگاه (%1)"
"Currency ""%1"" is used as %2 in %3.","ارز%1 به عنوان%2 در%3 استفاده می شود."
"Please correct the timezone.","Please correct the timezone."
"The file ""%1"" does not exist","The file ""%1"" does not exist"
"The ""%1"" path does not exist","The ""%1"" path does not exist"
"Always (during development)","همیشه (در طول توسعه)"
"Only Once (version upgrade)","تنها یک بار (ارتقاء ورژن)"
"Never (production)","هرگز (تولید)"
"Bcc","Bcc"
"Separate Email","ایمیل مجزا"
"%1 (Default)","%1 (پیش فرض)"
"title","عنوان"
"No","خیر"
"Optional","اختیاری"
"Required","الزامی"
"Website","وب سایت"
"Store","فروشگاه"
"Store View","نمای فروشگاه"
