"Default Config","Конфигурация по подразбиране"
"Save Config","Запази конфигурацията"
"[GLOBAL]","[Глобален]"
"[WEBSITE]","[Уебсайт]"
"[STORE VIEW]","[Изглед Магазин]"
"Use system value","Използвайте стойност на системата"
"Use Default","Използвай по подразбиране"
"Use Website","Използвай уебсайт"
"Add","Добави"
"Delete File","Изтрий файла"
"Search String","Заявка за търсене"
"Design Theme","Тема дизайн"
"Add \Exception","Добави \Exception"
"-- No Theme --","--Няма тема--"
"Enable","Разреши"
"Disable","Деактивиране"
"Configuration","Конфигурация"
"Class for type ""%1"" was not declared","Class for type ""%1"" was not declared"
"%1 should implement %2","%1 трябва да прилагат %2"
"The value you set has already been locked. To change the value, use the --%1 option.","Стойността, която задавате вече е заключена. За да промените стойността, използвайте опцията--%1."
"%1","%1"
"Configuration for path: ""%1"" doesn't exist","Configuration for path: ""%1"" doesn't exist"
"System","Система"
"You saved the configuration.","Записахте конфигурацията."
"Something went wrong while saving this configuration:","Нещо се обърка при запазването на тази конфигурация:"
"Page not found.","Страницата не е намерена."
"Please specify the admin custom URL.","Моля, посочете администратор потребителски URL."
"Invalid %1. %2","Невалиден %1. %2"
"Value must be a URL or one of placeholders: %1","Стойността трябва да е URL адрес или на един от контейнерите: %1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","Указване на URL адрес или път, който започва с placeholder(s): %1 и завършва с ""/""."
"%1 An empty value is allowed as well.","%1 празна стойност е разрешено, както добре."
"Specify a fully qualified URL.","Укажете пълното име на URL адреса."
"Selected allowed currency ""%1"" is not available in installed currencies.","Избраната позволена валута ""%1"" не е налична в инсталирани валути."
"Default display currency ""%1"" is not available in allowed currencies.","Показваната валута по подразбиране ""%1""не е позволена за всички валути."
"Sorry, we haven't installed the base currency you selected.","За съжаление, не сте инсталирали база избраната от вас валута."
"We can't save the Cron expression.","Не може да запише Cron израз."
"Sorry, we haven't installed the default display currency you selected.","За съжаление, не сте инсталирали избраната от вас валута на дисплея по подразбиране."
"Sorry, the default display currency you selected is not available in allowed currencies.","За съжаление избраната за показване валута по подразбиране не е позволена за всички валути."
"Please correct the email address: ""%1"".","Please correct the email address: ""%1""."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","Подателя име ""%1"" не е валиден. Моля, използвайте само видими знаци и интервали."
"Maximum sender name length is 255. Please correct your settings.","Максимална подател име дължина е 255. Коригирайте настройките си."
