"Default Config","Configuration par défaut"
"Save Config","Sauvegarder la configuration"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[SITE WEB]"
"[STORE VIEW]","[VUE MAGASIN]"
"Use system value","Utiliser les valeurs système"
"Use Default","Utiliser la valeur par défaut"
"Use Website","Valeur du site web"
"Add","Ajouter"
"Delete File","Supprimer le fichier"
"Search String","Chaîne de recherche"
"Design Theme","Theme de design"
"Add \Exception","Ajouter une \Exception"
"-- No Theme --","--Aucun thème--"
"Enable","Activer"
"Disable","Désactiver"
"Configuration","Configuration"
"Class for type ""%1"" was not declared","La classe pour le type ""%1"" n'a pas été déclarée"
"%1 should implement %2","%1 devrait mettre en place %2"
"The value you set has already been locked. To change the value, use the --%1 option.","La valeur que vous avez mise est bloquée. Pour changer la valeur, utilisez l'option --%1."
"%1","%1"
"Configuration for path: ""%1"" doesn't exist","La configuration pour le chemin ""%1"" n'existe pas"
"System","Système"
"You saved the configuration.","Vous avez enregistré la configuration."
"Something went wrong while saving this configuration:","Une erreur s'est produite lors de l'enregistrement de cette configuration :"
"Page not found.","Page introuvable."
"Please specify the admin custom URL.","Spécifiez l'URL d'admin personnalisée"
"Invalid %1. %2","non valide %1. %2"
"Value must be a URL or one of placeholders: %1","La valeur doit être une URL ou l'un des emplacements : %1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","Veuillez spécifier une URL ou un chemin qui commence par le(s) emplacement(s): %1 et se termine par ""/""."
"%1 An empty value is allowed as well.","%1 Une valeur vide est aussi autorisée."
"Specify a fully qualified URL.","Veuillez spécifier une URL complète."
"Selected allowed currency ""%1"" is not available in installed currencies.","La devise autorisée choisie ""%1"" n'est pas disponible dans les devises installées."
"Default display currency ""%1"" is not available in allowed currencies.","La devise d'affichage par défaut ""%1"" n'est pas disponible dans les devises autorisées."
"Sorry, we haven't installed the base currency you selected.","Désolé, nous n'avons pas installé la devise de base que vous avez sélectionné."
"We can't save the Cron expression.","Impossible de sauvegarder l'expression de la tâche programmée"
