"Default Config","תצורת ברירת מחדל"
"Save Config","לשמור את ההגדרות"
"[GLOBAL]","[גלובלי]"
"[WEBSITE]","[אתר]"
"[STORE VIEW]","[תצוגת חנות]"
"Use system value","השתמש בערך מערכת"
"Use Default","השתמש בברירת מחדל"
"Use Website","השתמש באתר"
"Add","הוספה"
"Delete File","מחק קובץ"
"Search String","מחרוזת החיפוש"
"Design Theme","נושא התבנית"
"Add \Exception","הוספת \Exception"
"-- No Theme --","--לא תבנית--"
"Enable","אפשר"
"Disable","השבת"
"Configuration","הגדרות תצורה"
"Class for type ""%1"" was not declared","Class for type ""%1"" was not declared"
"%1 should implement %2","%1 should implement %2"
"The value you set has already been locked. To change the value, use the --%1 option.","The value you set has already been locked. To change the value, use the --%1 option."
"%1","%1"
"Configuration for path: ""%1"" doesn't exist","Configuration for path: ""%1"" doesn't exist"
"System","מערכת"
"You saved the configuration.","שמרת את ההגדרות."
"Something went wrong while saving this configuration:","משהו השתבש בעת קופיגורציה זאת:"
"Page not found.","העמוד לא נמצא."
"Please specify the admin custom URL.","נא ציין כתובת URL מותאמת אישית בממשק הניהול."
"Invalid %1. %2","%1 לא חוקית. %2"
"Value must be a URL or one of placeholders: %1","הערך חייב להיות כתובת URL או אחד placeholder: %1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","ציין כתובת URL או הנתיב שמתחיל placeholder(s): %1, ומסתיים עם ""/""."
"%1 An empty value is allowed as well.","%1 ערך ריק מותר גם כן."
"Specify a fully qualified URL.","ציין כתובת URL מלאה."
"Selected allowed currency ""%1"" is not available in installed currencies.","המטבע המורשה שנבחר ""%1"" אינו זמין במטבעות המותקנים."
"Default display currency ""%1"" is not available in allowed currencies.","מטבע תצוגת ברירת מחדל ""%1"" אינו זמין במטבעות המותרים."
"Sorry, we haven't installed the base currency you selected.",". מצטערים, אנחנו לא יכולים להתקין את מטבע הבסיס שבחרת."
"We can't save the Cron expression.","איננו יכולים לשמור את הCron."
"Sorry, we haven't installed the default display currency you selected.",". מצטערים, אנחנו לא יכולים להתקין את המטבע מתוך תצוגת ברירת המחדל שבחרת."
"Sorry, the default display currency you selected is not available in allowed currencies.","מצטערים, מטבע תצוגת ברירת המחדל שבחרת אינו זמין במטבעות המותרים."
"Please correct the email address: ""%1"".","Please correct the email address: ""%1""."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","שם השולח ""%1"" אינה חוקית. אנא השתמשו רק בתווים גלויים ורווחים."
"Maximum sender name length is 255. Please correct your settings.","אורך שם השולח המרבי הוא 255. נא תקן את ההגדרות."
"The file you're uploading exceeds the server size limit of %1 kilobytes.","הקובץ שאתם טוענים חורג ממגבלת הגודל של שרת של %1 קילו-בתים."
"The base directory to upload file is not specified.","ספריית הבסיס כדי להעלות קובץ לא צוינה."
"The specified image adapter cannot be used because of: %1","התמונה הספציפית שצוינה אינה טובה לשימוש בגלל: %1"
"Default scope","טווח ברירת מחדל"
"Base currency","מטבע הבסיס"
"Display default currency","הצגת מטבע ברירת מחדל"
"website(%1) scope","טווח אתר (1%)"
"store(%1) scope","טווח חנות(%1)"
"Currency ""%1"" is used as %2 in %3.","מטבע ""%1"" משמש %2 ב %3."
"Please correct the timezone.","Please correct the timezone."
"The file ""%1"" does not exist","The file ""%1"" does not exist"
