"Default Config","Vaikeseaded"
"Save Config","Salvesta seaded"
"[GLOBAL]","[GLOBAALNE]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[POEVAADE]"
"Use system value","Kasuta süsteemiväärtust"
"Use Default","Kasuta vaikeväärtust"
"Use Website","Kasuta veebisaiti"
"Add","Lisa"
"Delete File","Kustuta fail"
"Search String","Otsisõna"
"Design Theme","Kujunduse teema"
"Add \Exception","Add \Exception"
"-- No Theme --","-- Teema puudub --"
"Enable","Luba"
"Disable","Keela"
"Configuration","Seaded"
"Class for type ""%1"" was not declared","Class for type ""%1"" was not declared"
"%1 should implement %2","%1 should implement %2"
"The value you set has already been locked. To change the value, use the --%1 option.","The value you set has already been locked. To change the value, use the --%1 option."
"%1","%1"
"Configuration for path: ""%1"" doesn't exist","Configuration for path: ""%1"" doesn't exist"
"System","Süsteem"
"You saved the configuration.","Seadistus salvestatud."
"Something went wrong while saving this configuration:","Something went wrong while saving this configuration:"
"Page not found.","Lehte ei leitud."
"Please specify the admin custom URL.","Please specify the admin custom URL."
"Invalid %1. %2","Invalid %1. %2"
"Value must be a URL or one of placeholders: %1","Value must be a URL or one of placeholders: %1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","Specify a URL or path that starts with placeholder(s): %1, and ends with ""/""."
"%1 An empty value is allowed as well.","%1 An empty value is allowed as well."
"Specify a fully qualified URL.","Specify a fully qualified URL."
"Selected allowed currency ""%1"" is not available in installed currencies.","Selected allowed currency ""%1"" is not available in installed currencies."
"Default display currency ""%1"" is not available in allowed currencies.","Default display currency ""%1"" is not available in allowed currencies."
"Sorry, we haven't installed the base currency you selected.","Sorry, we haven't installed the base currency you selected."
"We can't save the Cron expression.","We can't save the Cron expression."
"Sorry, we haven't installed the default display currency you selected.","Sorry, we haven't installed the default display currency you selected."
"Sorry, the default display currency you selected is not available in allowed currencies.","Sorry, the default display currency you selected is not available in allowed currencies."
"Please correct the email address: ""%1"".","Please correct the email address: ""%1""."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","The sender name ""%1"" is not valid. Please use only visible characters and spaces."
"Maximum sender name length is 255. Please correct your settings.","Maximum sender name length is 255. Please correct your settings."
"The file you're uploading exceeds the server size limit of %1 kilobytes.","The file you're uploading exceeds the server size limit of %1 kilobytes."
"The base directory to upload file is not specified.","The base directory to upload file is not specified."
"The specified image adapter cannot be used because of: %1","The specified image adapter cannot be used because of: %1"
"Default scope","Vaikeulatus"
"Base currency","Baasvaluuta"
"Display default currency","Kuva vaikimisi valuuta"
"website(%1) scope","website(%1) scope"
"store(%1) scope","store(%1) scope"
"Currency ""%1"" is used as %2 in %3.","Currency ""%1"" is used as %2 in %3."
"Please correct the timezone.","Please correct the timezone."
"The file ""%1"" does not exist","The file ""%1"" does not exist"
"The ""%1"" path does not exist","The ""%1"" path does not exist"
"Always (during development)","Always (during development)"
"Only Once (version upgrade)","Only Once (version upgrade)"
"Never (production)","Never (production)"
"Bcc","Pimekoopia"
"Separate Email","Eraldi e-post"
"%1 (Default)","%1 (Default)"
"title","pealkiri"
"No","Ei"
"Optional","Valikuline"
"Required","Nõutud"
"Website","Koduleht"
"Store","Pood"
"Store View","Poevaade"
"HTTP (unsecure)","HTTP (mitteturvaline)"
"HTTPS (SSL)","HTTPS (SSL)"
"Yes (302 Found)","Jah (302 leitud)"
"Yes (301 Moved Permanently)","Yes (301 Moved Permanently)"
"Yes","Jah"
"Specified","Spetsiifiline"
"Visible section not found.","Visible section not found."
