"Default Config","Výchozí nastavení"
"Save Config","Uložit nastavení"
"[GLOBAL]","[GLOBÁLNÍ]"
"[WEBSITE]","[WEB]"
"[STORE VIEW]","[ZOBRAZENÍ]"
"Use system value","Použít systémovou hodnotu"
"Use Default","Použít výchozí"
"Use Website","Použít web"
"Add","Přidat"
"Delete File","Smazat soubor"
"Search String","Hledaný výraz"
"Design Theme","Téma vzhledu"
"Add \Exception","Přidat \Exception"
"-- No Theme --","-- Žádné téma --"
"Enable","Povolit"
"Disable","Zakázat"
"Configuration","Nastavení"
"Class for type ""%1"" was not declared","Class for type ""%1"" was not declared"
"%1 should implement %2","%1 should implement %2"
"The value you set has already been locked. To change the value, use the --%1 option.","The value you set has already been locked. To change the value, use the --%1 option."
"%1","%1"
"Configuration for path: ""%1"" doesn't exist","Configuration for path: ""%1"" doesn't exist"
"System","Systém"
"You saved the configuration.","Nastavení bylo uloženo."
"Something went wrong while saving this configuration:","Při ukládání tohoto nastavení nastala chyba:"
"Page not found.","Stránka nebyla nalezena."
"Please specify the admin custom URL.","Zadejte vlastní URL adresu správy."
"Invalid %1. %2","Neplatný %1. %2"
"Value must be a URL or one of placeholders: %1","Hodnota musí být URL nebo jeden ze zástupců: %1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","Zadejte URL adresu nebo cestu, která začíná zástupcem: %1 a končí lomítkem ""/""."
"%1 An empty value is allowed as well.","%1 prázdná hodnota je povolena."
"Specify a fully qualified URL.","Zadejte úplnou adresu URL."
"Selected allowed currency ""%1"" is not available in installed currencies.","Zvolená povolená měna ""%1"" není v seznamu instalovaných měn."
"Default display currency ""%1"" is not available in allowed currencies.","Výchozí zobrazovaná měna ""%1"" není v seznamu povolených měn."
"Sorry, we haven't installed the base currency you selected.","Zvolená základní měna není nainstalována."
"We can't save the Cron expression.","Cron výraz nelze uložit."
"Sorry, we haven't installed the default display currency you selected.","Zvolená výchozí zobrazovaná měna není nainstalována."
"Sorry, the default display currency you selected is not available in allowed currencies.","Výchozí zobrazovaná měna není v seznamu povolených měn."
"Please correct the email address: ""%1"".","Please correct the email address: ""%1""."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","Jméno odesílatele ""%1"" není platné. Používejte pouze viditelné znaky a mezery."
"Maximum sender name length is 255. Please correct your settings.","Maximální délka jména odesílatele je 255. Opravte jej prosím."
"The file you're uploading exceeds the server size limit of %1 kilobytes.","Nahrávaný soubor přesahuje limit velikosti serveru %1 kilobajtů."
"The base directory to upload file is not specified.","Není zvolen výchozí adresář pro nahrávané soubory."
"The specified image adapter cannot be used because of: %1","Zvolený adaptér obrázků nelze použít z důvodu: %1"
"Default scope","Výchozí rozsah"
"Base currency","Základní měna"
"Display default currency","Zobrazit výchozí měnu"
"website(%1) scope","web(%1) rozsah"
"store(%1) scope","obchod(%1) rozsah"
"Currency ""%1"" is used as %2 in %3.","Měna ""%1"" je použita jako %2 v %3."
"Please correct the timezone.","Please correct the timezone."
"The file ""%1"" does not exist","The file ""%1"" does not exist"
"The ""%1"" path does not exist","The ""%1"" path does not exist"
"Always (during development)","Vždy (během vývoje)"
"Only Once (version upgrade)","Pouze jednou (aktualizace verze)"
"Never (production)","Nikdy (ostrý provoz)"
"Bcc","Skrytá kopie"
"Separate Email","Samostatný e-mail"
"%1 (Default)","%1 (Výchozí)"
"title","název"
"No","Ne"
"Optional","Volitelné"
"Required","Povinný"
"Website","Webová stránka"
"Store","Obchod"
"Store View","Zobrazení obchodu"
"HTTP (unsecure)","HTTP (nezabezpečené)"
"HTTPS (SSL)","HTTPS (SSL)"
"Yes (302 Found)","Ano (302 nalezeno)"
"Yes (301 Moved Permanently)","Ano (301 trvale přesunuto)"
"Yes","Ano"
"Specified","Zadáno"
"Visible section not found.","Visible section not found."
"Config form fieldset clone model required to be able to clone fields","Klonovací model sady údajů formuláře musí být schopen vytvořit kopii údajů"
"%1: Instance of %2 is expected, got %3 instead","%1: Instance of %2 is expected, got %3 instead"
"Invalid XML in file %1:\n%2","Invalid XML in file %1:\n%2"
".","."
"'There is no defined type ' .","'There is no defined type ' ."
"'Object is not instance of ' .","'Object is not instance of ' ."
"Filesystem is not writable.","Systém souborů není zapisovatelný."
"Some error","Nějaká chyba"
"Some message","Nějaká zpráva"
"You cannot run this command because the Magento application is not installed.","You cannot run this command because the Magento application is not installed."
"This command is unavailable right now.","Tento příkaz není právě teď k dispozici."
"The ""test/test/test"" path does not exists","""Test/test/test"" cesta neexistuje."
"error message","chybová zpráva"
"some_label","some_label"
"some_comment","some_comment"
"some prefix","nějaká předpona"
"element label","označení elementu"
"element hint","tip elementu"
"element comment","komentář elementu"
"element tooltip","tooltip elementu"
"test","test"
"test2","test2"
"Add after","Přidat za"
"Delete","Smazat"
"Current Configuration Scope:","Současný rozsah nastavení:"
"Stores","Obchody"
"Group Label","Označení skupiny"
"Some Label","Nějaké označení"
"Tab Label","Označení záložky"
"Allow everything","Povolit vše"
"Magento Admin","Magento správce"
"Dashboard","Přehled"
"Manage Stores","Správa obchodů"
"Field 2","Údaj 2"
"Field 3","Údaj 3"
"Field 3.1","Údaj 3.1"
"Field 3.1.1","Údaj 3.1.1"
"Field 4","Údaj 4"
"Advanced Section","Sekce rozšířené"
"Advanced Admin Section","Sekce rozšířená správa"
"Design Section","Sekce vzhled"
"General Section","Sekce obecné"
"System Section","Sekce systém"
"Currency Setup Section","Sekce nastavení měny"
"Developer Section","Sekce vývojář"
"Web Section","Sekce web"
"Store Email Addresses Section","Sekce e-mailové adresy obchodu"
"Email to a Friend","Odkaz e-mailem"
"Action","Action"
"'The specified image adapter cannot be used because of: ' .","'The specified image adapter cannot be used because of: ' ."
"The file ""' . . '"" does not exist","The file ""' . . '"" does not exist"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","The class for ""%1"" type wasn't declared. Enter the class and try again."
"The ""%1"" email address is incorrect. Verify the email address and try again.","The ""%1"" email address is incorrect. Verify the email address and try again."
"The time zone is incorrect. Verify the time zone and try again.","The time zone is incorrect. Verify the time zone and try again."
"The ""%1"" file doesn't exist.","The ""%1"" file doesn't exist."
"The ""%1"" path doesn't exist. Verify and try again.","The ""%1"" path doesn't exist. Verify and try again."
"'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again.""","'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again."""
