"Default Config","Standardinställningar"
"Save Config","Spara Config"
"[GLOBAL]","[GLOBALT]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[BUTIKSVY]"
"Use system value","Använda systemets värde"
"Use Default","Använd standard"
"Use Website","Använd webbplats"
"Add","Lägg till"
"Delete File","Radera fil"
"Search String","Strängsök"
"Design Theme","Designtema"
"Add \Exception","Lägg till undantag"
"-- No Theme --","-- Inget tema --"
"Enable","Aktivera"
"Disable","Inaktivera"
"Configuration","Konfiguration"
"Class for type ""%1"" was not declared","Class for type ""%1"" was not declared"
"%1 should implement %2","%1 bör genomföra %2"
"The value you set has already been locked. To change the value, use the --%1 option.","Det värde du anger har redan låsts. För att ändra värdet, Använd flaggan--%1."
"%1","%1"
"Configuration for path: ""%1"" doesn't exist","Configuration for path: ""%1"" doesn't exist"
"System","System"
"You saved the configuration.","Du sparade konfigurationen."
"Something went wrong while saving this configuration:","Något gick fel när den här konfigurationen sparades:"
"Page not found.","Sidan kunde inte hittas."
"Please specify the admin custom URL.","Please specify the admin custom URL."
"Invalid %1. %2","Invalid %1. %2"
"Value must be a URL or one of placeholders: %1","Value must be a URL or one of placeholders: %1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","Specify a URL or path that starts with placeholder(s): %1, and ends with ""/""."
"%1 An empty value is allowed as well.","%1 An empty value is allowed as well."
"Specify a fully qualified URL.","Specify a fully qualified URL."
"Selected allowed currency ""%1"" is not available in installed currencies.","Selected allowed currency ""%1"" is not available in installed currencies."
"Default display currency ""%1"" is not available in allowed currencies.","Default display currency ""%1"" is not available in allowed currencies."
"Sorry, we haven't installed the base currency you selected.","Sorry, we haven't installed the base currency you selected."
"We can't save the Cron expression.","We can't save the Cron expression."
"Sorry, we haven't installed the default display currency you selected.","Sorry, we haven't installed the default display currency you selected."
"Sorry, the default display currency you selected is not available in allowed currencies.","Sorry, the default display currency you selected is not available in allowed currencies."
"Please correct the email address: ""%1"".","Please correct the email address: ""%1""."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","The sender name ""%1"" is not valid. Please use only visible characters and spaces."
"Maximum sender name length is 255. Please correct your settings.","Maximum sender name length is 255. Please correct your settings."
"The file you're uploading exceeds the server size limit of %1 kilobytes.","The file you're uploading exceeds the server size limit of %1 kilobytes."
"The base directory to upload file is not specified.","The base directory to upload file is not specified."
"The specified image adapter cannot be used because of: %1","The specified image adapter cannot be used because of: %1"
"Default scope","Default scope"
"Base currency","Base currency"
"Display default currency","Display default currency"
"website(%1) scope","website(%1) scope"
"store(%1) scope","store(%1) scope"
"Currency ""%1"" is used as %2 in %3.","Currency ""%1"" is used as %2 in %3."
"Please correct the timezone.","Please correct the timezone."
"The file ""%1"" does not exist","The file ""%1"" does not exist"
"The ""%1"" path does not exist","The ""%1"" path does not exist"
"Always (during development)","Always (during development)"
"Only Once (version upgrade)","Only Once (version upgrade)"
"Never (production)","Never (production)"
"Bcc","Bcc"
"Separate Email","Separate Email"
"%1 (Default)","%1 (Default)"
"title","titel"
"No","Nej"
"Optional","Optional"
"Required","Obligatorisk"
"Website","Webbplats"
"Store","Butik"
"Store View","Butiksvy"
"HTTP (unsecure)","HTTP (unsecure)"
"HTTPS (SSL)","HTTPS (SSL)"
"Yes (302 Found)","Yes (302 Found)"
"Yes (301 Moved Permanently)","Yes (301 Moved Permanently)"
"Yes","Ja"
"Specified","Angivna"
"Visible section not found.","Visible section not found."
"Config form fieldset clone model required to be able to clone fields","Config form fieldset clone model required to be able to clone fields"
"%1: Instance of %2 is expected, got %3 instead","%1: Instance of %2 is expected, got %3 instead"
"Invalid XML in file %1:\n%2","Invalid XML in file %1:\n%2"
".","."
"'There is no defined type ' .","'There is no defined type ' ."
"'Object is not instance of ' .","'Object is not instance of ' ."
"Filesystem is not writable.","Filesystem is not writable."
"Some error","Något gick fel"
"Some message","Some message"
"You cannot run this command because the Magento application is not installed.","You cannot run this command because the Magento application is not installed."
"This command is unavailable right now.","This command is unavailable right now."
"The ""test/test/test"" path does not exists","The ""test/test/test"" path does not exists"
"error message","error message"
"some_label","some_label"
"some_comment","some_comment"
"some prefix","some prefix"
"element label","element label"
"element hint","element hint"
"element comment","element comment"
"element tooltip","element tooltip"
"test","test"
"test2","test2"
"Add after","Lägg till efter"
"Delete","Ta bort"
"Current Configuration Scope:","Current Configuration Scope:"
"Stores","Butiker"
"Group Label","Group Label"
"Some Label","Some Label"
"Tab Label","Tab Label"
"Allow everything","Tillåt allt"
"Magento Admin","Magento Admin"
"Dashboard","Översikt"
"Manage Stores","Hantera butiker"
"Field 2","Fält 2"
"Field 3","Fält 3"
"Field 3.1","Fält 3.1"
"Field 3.1.1","Fält 3.1.1"
"Field 4","Fält 4"
"Advanced Section","Advanced Section"
"Advanced Admin Section","Advanced Admin Section"
"Design Section","Design Section"
"General Section","General Section"
"System Section","System Section"
"Currency Setup Section","Currency Setup Section"
"Developer Section","Developer Section"
"Web Section","Web Section"
"Store Email Addresses Section","Store Email Addresses Section"
"Email to a Friend","E-posta till en vän"
"Action","Action"
"'The specified image adapter cannot be used because of: ' .","'The specified image adapter cannot be used because of: ' ."
"The file ""' . . '"" does not exist","The file ""' . . '"" does not exist"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","The class for ""%1"" type wasn't declared. Enter the class and try again."
"The ""%1"" email address is incorrect. Verify the email address and try again.","The ""%1"" email address is incorrect. Verify the email address and try again."
"The time zone is incorrect. Verify the time zone and try again.","The time zone is incorrect. Verify the time zone and try again."
"The ""%1"" file doesn't exist.","The ""%1"" file doesn't exist."
"The ""%1"" path doesn't exist. Verify and try again.","The ""%1"" path doesn't exist. Verify and try again."
"'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again.""","'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again."""
