"Default Config","اعداد افتراضي"
"Save Config","حفظ التشكيل"
"[GLOBAL]","[عام]"
"[WEBSITE]","[الموقع]"
"[STORE VIEW]","[عرض المتجر]"
"Use system value","استخدام قيم مخصصة"
"Use Default","استخدام افتراضي"
"Use Website","استخدام موقع"
"Add","إضافة"
"Delete File","حذف ملف"
"Search String","البحث النصي"
"Design Theme","تصميم ثيم"
"Add \Exception","إضافة \استثناء"
"-- No Theme --","-لايوجد تصميم شكلي-"
"Enable","تفعيل"
"Disable","إبطال"
"Configuration","الضبط"
"Class for type ""%1"" was not declared","Class for type ""%1"" was not declared"
"%1 should implement %2","%1 should implement %2"
"The value you set has already been locked. To change the value, use the --%1 option.","The value you set has already been locked. To change the value, use the --%1 option."
"%1","%1"
"Configuration for path: ""%1"" doesn't exist","Configuration for path: ""%1"" doesn't exist"
"System","النظام"
"You saved the configuration.","قمت بحفظ الضبط."
"Something went wrong while saving this configuration:","حدث خطأ أثناء حفظ هذا التكوين:"
"Page not found.","لم يتم العثور على الصفحة."
"Please specify the admin custom URL.","الرجاء تحديد عنوان URL المخصص للمشرف."
"Invalid %1. %2","%1 غير صالح. %2"
"Value must be a URL or one of placeholders: %1","يجب أن تكون قيمة URL أو واحد من العناصر النائبة: %1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","تحديد URL أو المسار الذي يبدأ ب placeholder(s): %1، وينتهي مع ""/""."
"%1 An empty value is allowed as well.","%1 كذلك يسمح بقيمة فارغة."
"Specify a fully qualified URL.","حدد عنوان URL مؤهل بشكل كامل."
"Selected allowed currency ""%1"" is not available in installed currencies.","العملة المحددة المسموح بها ""%1"" غير متوفر في العملات المثبتة."
"Default display currency ""%1"" is not available in allowed currencies.","عرض العملة الافتراضية ""%1"" غير متوفر في العملات المسموح بها."
"Sorry, we haven't installed the base currency you selected.","عذراً، لم تقم بتثبيت العملة الأساسية التي قمت بتحديدها."
"We can't save the Cron expression.","لم نتمكن من حفظ تعبير Cron."
"Sorry, we haven't installed the default display currency you selected.","عذراً،لم تقم بتثبيت عملة العرض الافتراضية التي حددتها."
"Sorry, the default display currency you selected is not available in allowed currencies.","عفواً، العمله الافتراضية التي حددتها غير متوفرة في العملات المسموح بها."
"Please correct the email address: ""%1"".","Please correct the email address: ""%1""."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","اسم المرسل ""%1"" غير صحيح. الرجاء استخدام أحرف مرئية فقط ومسافات."
"Maximum sender name length is 255. Please correct your settings.","طول الحد الأقصى للمرسل هو 255 حرفاً. الرجاء تصحيح الإعدادات الخاصة بك."
"The file you're uploading exceeds the server size limit of %1 kilobytes.","الملف الذي تقوم برفعه يتجاوز حد حجم الملقم %1 كيلو بايت."
"The base directory to upload file is not specified.","لم يتم تحديد الدليل الأساسي لتحميل الملف."
"The specified image adapter cannot be used because of: %1","لا يمكن استخدام محول الصورة المحدد بسبب: %1"
"Default scope","نطاق افتراضي"
"Base currency","العملية الاساسية"
"Display default currency","عرض العملة الافتراضية"
"website(%1) scope","الموقع(%1) مدى"
"store(%1) scope","تخزين(%1) مدى"
"Currency ""%1"" is used as %2 in %3.","العملة ""%1""تستخدم كـ %2 في %3."
"Please correct the timezone.","Please correct the timezone."
"The file ""%1"" does not exist","The file ""%1"" does not exist"
"The ""%1"" path does not exist","The ""%1"" path does not exist"
"Always (during development)","دائماً (أثناء التطوير)"
"Only Once (version upgrade)","مرة واحدة فقط (ترقية الإصدار)"
"Never (production)","ابداً (الإنتاج)"
"Bcc","نسخة مخفية"
"Separate Email","بريد إلكتروني مفصول"
"%1 (Default)","%1 (افتراضي)"
"title","العنوان"
"No","لا"
"Optional","اختياري"
"Required","مطلوب"
"Website","الموقع"
"Store","متجر"
"Store View","عرض المتجر"
"HTTP (unsecure)","HTTP (غير امن)"
"HTTPS (SSL)","HTTPS (SSL)"
"Yes (302 Found)","نعم (302 وجدت)"
"Yes (301 Moved Permanently)","نعم (301 انتقلت بشكل دائم)"
"Yes","نعم"
"Specified","محدد"
"Visible section not found.","Visible section not found."
"Config form fieldset clone model required to be able to clone fields","Config form fieldset clone model required to be able to clone fields"
"%1: Instance of %2 is expected, got %3 instead","%1: Instance of %2 is expected, got %3 instead"
"Invalid XML in file %1:\n%2","Invalid XML in file %1:\n%2"
".","."
"'There is no defined type ' .","'There is no defined type ' ."
"'Object is not instance of ' .","'Object is not instance of ' ."
"Filesystem is not writable.","Filesystem is not writable."
"Some error","خطأ ما"
"Some message","بعض الرسائل"
"You cannot run this command because the Magento application is not installed.","لا يمكنك تشغيل هذا الأمر لأن تطبيق الـ Magento لم يتم تثبيته."
"This command is unavailable right now.","This command is unavailable right now."
"The ""test/test/test"" path does not exists","The ""test/test/test"" path does not exists"
"error message","error message"
"some_label","some_label"
"some_comment","some_comment"
"some prefix","some prefix"
"element label","element label"
"element hint","element hint"
"element comment","element comment"
"element tooltip","element tooltip"
"test","اختبار"
"test2","test2"
"Add after","إضافة بعد"
"Delete","احذف"
"Current Configuration Scope:","التشكيل الحالي لنطاق:"
"Stores","محلات"
"Group Label","Group Label"
"Some Label","Some Label"
"Tab Label","Tab Label"
"Allow everything","السماح لكل شيء"
"Magento Admin","مشرف ماجنتو"
"Dashboard","لوحة التحكم"
"Manage Stores","إدارة المتاجر"
"Field 2","Field 2"
"Field 3","Field 3"
"Field 3.1","Field 3.1"
"Field 3.1.1","Field 3.1.1"
"Field 4","Field 4"
"Advanced Section","Advanced Section"
"Advanced Admin Section","Advanced Admin Section"
"Design Section","Design Section"
"General Section","General Section"
"System Section","System Section"
"Currency Setup Section","قسم ضبط العملة"
"Developer Section","Developer Section"
"Web Section","Web Section"
"Store Email Addresses Section","قسم عناوين البريد الإلكتروني للمتجر"
"Email to a Friend","ارسال الى صديق"
"Action","Action"
"'The specified image adapter cannot be used because of: ' .","'The specified image adapter cannot be used because of: ' ."
"The file ""' . . '"" does not exist","The file ""' . . '"" does not exist"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","The class for ""%1"" type wasn't declared. Enter the class and try again."
"The ""%1"" email address is incorrect. Verify the email address and try again.","The ""%1"" email address is incorrect. Verify the email address and try again."
"The time zone is incorrect. Verify the time zone and try again.","The time zone is incorrect. Verify the time zone and try again."
"The ""%1"" file doesn't exist.","The ""%1"" file doesn't exist."
"The ""%1"" path doesn't exist. Verify and try again.","The ""%1"" path doesn't exist. Verify and try again."
"'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again.""","'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again."""
