"Default Config","Conținut implicit"
"Save Config","Salvează configurația"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[VIZUALIZARE MAGAZIN]"
"Use system value","Folosește valoarea sistemului"
"Use Default","Folosiți ca implicit"
"Use Website","Utilizare site"
"Add","Adăugați"
"Delete File","Ștergere fișier"
"Search String","Șir de căutare"
"Design Theme","Tema design-ului"
"Add \Exception","Adaugă \Excepție"
"-- No Theme --","-- Nici o temă --"
"Enable","Activează"
"Disable","Dezactivează"
"Configuration","Configurație"
"Class for type ""%1"" was not declared","Clasa pentru tipul ""%1"" nu a fost declarată"
"%1 should implement %2","%1 Trebuie să implementeze %2"
"The value you set has already been locked. To change the value, use the --%1 option.","Valoarea pe care ați setat-o a fost deja blocată. Pentru a schimba valoarea, utilizați opțiunea%1."
"%1","%1"
"Configuration for path: ""%1"" doesn't exist","Configurare pentru calea: ""%1"" nu există"
"System","Sistem"
"You saved the configuration.","Ați salvat configurația."
"Something went wrong while saving this configuration:","Ceva nu a funcționat în timpul salvării acestei configurații:"
"Page not found.","Pagina nu a fost găsită."
"Please specify the admin custom URL.","Vă rugăm să specificați adresa URL personalizată a administratorului."
"Invalid %1. %2","%1. %2 Nevalid"
"Value must be a URL or one of placeholders: %1","Valoarea trebuie să fie o adresă URL sau unul dintre substituenți: %1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","Specificați un URL sau o cale care începe cu substituenți(uri): %1, și se termină cu ""/""."
"%1 An empty value is allowed as well.","%1 O valoare goală este, de asemenea, permisă."
"Specify a fully qualified URL.","Specificați un URL complet calificat."
"Selected allowed currency ""%1"" is not available in installed currencies.","Moneda permisă selectată ""%1"" nu este disponibilă în valutele instalate."
"Default display currency ""%1"" is not available in allowed currencies.","Moneda implicită de afișare ""%1"" nu este disponibilă în valutele permise."
"Sorry, we haven't installed the base currency you selected.","Ne pare rău, nu am instalat moneda de bază selectată."
"We can't save the Cron expression.","Nu putem salva expresia Cron."
"Sorry, we haven't installed the default display currency you selected.","Ne pare rău, nu am instalat moneda implicită de afișare pe care ați selectat-o."
"Sorry, the default display currency you selected is not available in allowed currencies.","Ne pare rău, valuta implicită pe care ați selectat-o nu este disponibilă în valutele permise."
"Please correct the email address: ""%1"".","Vă rugăm să corectați adresa de e-mail: ""%1""."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","Numele expeditorului ""%1"" nu este valid. Vă rugăm să folosiți doar caractere vizibile și spații."
"Maximum sender name length is 255. Please correct your settings.","Lungimea maximă a numelui expeditorului este 255. Vă rugăm să corectați setările."
"The file you're uploading exceeds the server size limit of %1 kilobytes.","Fișierul pe care îl încărcați depășește limita de dimensiune a serverului de %1 kilobytes."
"The base directory to upload file is not specified.","Directorul de bază pentru încărcarea fișierului nu este specificat."
"The specified image adapter cannot be used because of: %1","Adaptorul de imagine specificat nu poate fi folosit din cauza: %1"
"Default scope","Domeniul implicit"
"Base currency","Moneda de bază"
"Display default currency","Afișează moneda implicită"
"website(%1) scope","Domeniu site(%1)"
"store(%1) scope","Domeniu magazin(%1)"
"Currency ""%1"" is used as %2 in %3.","Moneda ""%1"" este folosită ca %2 în %3."
"Please correct the timezone.","Te rugăm să corectezi fusul orar."
"The file ""%1"" does not exist","Fișierul ""%1"" nu există"
"The ""%1"" path does not exist","Calea ""%1"" nu există"
"Always (during development)","Întotdeauna (în timpul dezvoltării)"
"Only Once (version upgrade)","Doar odată (actualizare versiune)"
"Never (production)","Niciodată (producție)"
"Bcc","Bcc"
"Separate Email","E-mail separat"
"%1 (Default)","%1 (implicit)"
"title","titlu"
"No","Nu"
"Optional","Opțional"
"Required","Necesar"
"Website","Site web"
"Store","Magazin"
"Store View","Vizualizare magazin"
"HTTP (unsecure)","HTTP (nesigur)"
"HTTPS (SSL)","HTTPS (SL)"
"Yes (302 Found)","Da (302 găsit)"
"Yes (301 Moved Permanently)","Da (301 Mutări permanente)"
"Yes","Da"
"Specified","Specificat"
"Visible section not found.","Secțiunea vizibilă nu a fost găsită."
"Config form fieldset clone model required to be able to clone fields","Configurare formular câmp model clonare pentru a putea clona câmpurile"
"%1: Instance of %2 is expected, got %3 instead","%1: Instanța %2 este așteptată, a obținut %3 în schimb"
"Invalid XML in file %1:\n%2","XML invalid în fișierul %1:\n%2"
".","."
"'There is no defined type ' .","Nu există nici un tip definit."
"'Object is not instance of ' .","„Obiectul nu este o instanță a ” ."
"Filesystem is not writable.","Filesystem nu poate fi scris."
"Some error","Unele erori"
"Some message","Unele mesaje"
"You cannot run this command because the Magento application is not installed.","Nu puteți executa această comandă deoarece aplicația Magento nu este instalată."
"This command is unavailable right now.","Această comandă nu este disponibilă acum."
"The ""test/test/test"" path does not exists","Calea ""test/test/test/test"" nu există"
"error message","mesaj de eroare"
"some_label","câteva etichete"
"some_comment","comentariu cuiva"
"some prefix","Niște prefix"
"element label","Etichetă element"
"element hint","indiciu element"
"element comment","element comentariu"
"element tooltip","Indiciu de instrument"
"test","test"
"test2","test2"
"Add after","Adaugă după"
"Delete","Șterge"
"Current Configuration Scope:","Domeniul curent de configurare:"
"Stores","Magazine"
"Group Label","Eticheta grupului"
"Some Label","Câteva etichete"
"Tab Label","Eticheta filei"
"Allow everything","Permite tot"
"Magento Admin","Magento Admin"
"Dashboard","Panou general"
"Manage Stores","Gestionare magazine"
"Field 2","Câmpul 2"
"Field 3","Câmpul 3"
"Field 3.1","Câmpul 3.1"
"Field 3.1.1","Câmpul 3.1.1"
"Field 4","Câmpul 4"
"Advanced Section","Sectiune avansata"
"Advanced Admin Section","Secțiunea Admin Avansată"
"Design Section","Secțiunea de proiectare"
"General Section","Secțiunea generală"
"System Section","Secţiunea Sistem"
"Currency Setup Section","Secțiunea de configurare a monedei"
"Developer Section","Secțiunea Dezvoltator"
"Web Section","Secțiunea web"
"Store Email Addresses Section","Secțiunea Adrese Email Magazin"
"Email to a Friend","Trimite un email unui prieten"
"Action","Acțiune"
"'The specified image adapter cannot be used because of: ' .","'Adaptorul de imagine specificat nu poate fi folosit din cauza: ' ."
"The file ""' . . '"" does not exist","Fișierul ""' . '"" nu există"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","Clasa pentru ""%1"" nu a fost declarată. Introduceți clasa și încercați din nou."
"The ""%1"" email address is incorrect. Verify the email address and try again.","Adresa de e-mail ""%1este incorectă. Verificați adresa de e-mail și încercați din nou."
"The time zone is incorrect. Verify the time zone and try again.","ID-ul magazinului ""%1"" este incorect. Verificați ID-ul magazinului și încercați din nou."
"The ""%1"" file doesn't exist.","Fișierul ""%1"" nu există."
"The ""%1"" path doesn't exist. Verify and try again.","Calea ""%1nu există. Verificați și încercați din nou."
"'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again.""","'XML în fișierul ""%1"" este invalid:' . ""\n%2\nVerificaţi XML și încercați din nou."""
