"Create Permanent Redirect for old URL","Креирање трајно преусмеравање за стари УРЛ адресу"
"Invalid URL key","Неважећи УРЛ кључ"
"Category URL Suffix","Категорија УРЛ суфикс"
"You need to refresh the cache.","Потребно је да освежите кеш."
"Product URL Suffix","УРЛ суфикс производа"
"Use Categories Path for Product URLs","Користите путању категорија за УРЛ адресу производа"
"Create Permanent Redirect for URLs if URL Key Changed","Креирање трајно преусмеравање за УРЛ адресе уколико се промени УРЛ кључ"
"Generate ""category/product"" URL Rewrites","Generate ""category/product"" URL Rewrites"
"URL key ""%1"" matches a reserved endpoint name (%2). Use another URL key.","URL key ""%1"" matches a reserved endpoint name (%2). Use another URL key."
"Invalid URL key. The ""%1"" URL key can not be used to generate Latin URL key. Please use Latin letters and numbers to avoid generating URL key issues.","Invalid URL key. The ""%1"" URL key can not be used to generate Latin URL key. Please use Latin letters and numbers to avoid generating URL key issues."
"Invalid URL key. The ""%1"" category name can not be used to generate Latin URL key. Please add URL key or change category name using Latin letters and numbers to avoid generating URL key issues.","Invalid URL key. The ""%1"" category name can not be used to generate Latin URL key. Please add URL key or change category name using Latin letters and numbers to avoid generating URL key issues."
"<strong class=""colorRed"">Warning!</strong> Turning this option off will result in permanent removal of category/product URL rewrites without an ability to restore them.","<strong class=""colorRed"">Warning!</strong> Turning this option off will result in permanent removal of category/product URL rewrites without an ability to restore them."
