"Edit Event","සිදුවීම සංස්කරණය කරන්න"
"Add Event","සිදුවීම එක් කරන්න"
"Events","සිදුවීම්"
"Add Catalog Event","නාමාවලි සිදුවීම එක් කරන්න"
"Save and Continue Edit","සුරකින්න සහ දිගටම සංස්කරණය කරන්න"
"Back to Category","ප්‍රවර්ගය වෙත ආපසු"
"Edit Catalog Event","නාමාවලි සිදුවීම සංස්කරණය කරන්න"
"Catalog Event Information","නාමාවලි සිදුවීම් තොරතුරු"
"Category","වර්ගය"
"Start Date","ආරම්භක දිනය"
"End Date","අවසාන දිනය"
"Image","රූප"
"Sort Order","අනුපිළිවෙල අනුපිළිවෙල"
"Upcoming","ඉදිරියට"
"Open","විවෘත"
"Closed","වසා ඇත"
"Display Countdown Ticker On","Countdown ටිකර් ක්‍රියාත්මක කරන්න"
"Category Page","ප්රවර්ග පිටුව"
"Product Page","නිෂ්පාදන පිටුව"
"Status","තත්ත්වය"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[ගබඩා දසුන]"
"Coming Soon","ඉක්මණින් පැමිණෙන"
"Sale Ends In","විකිණීම අවසන් වේ"
"Catalog","නාමාවලිය"
"You deleted the event.","ඔබ සිදුවීම මකා ඇත."
"New Event","නව සිදුවීම"
"Default Values","පෙරනිමි අගයන්"
"Something went wrong while saving this event.","මෙම සිදුවීම සුරැකීමේදී යම් දෙයක් වැරදී ඇත."
"We did not upload your image.","අපි ඔබේ රූපය උඩුගත කළේ නැත."
"You saved the event.","ඔබ සිදුවීම සුරකින ලදී."
"%1 is required.","%1 අවශ්ය වේ."
"Please make sure the end date follows the start date.","කරුණාකර අවසන් දිනය ආරම්භක දිනය අනුගමනය කරන බවට වග බලා ගන්න."
"Event for selected category","තෝරාගත් කාණ්ඩය සඳහා සිදුවීම"
"Lister Block","ලිස්ටර් බ්ලොක්"
"This product is no longer on sale.","මෙම නිෂ්පාදනය තවදුරටත් විකිණීමට නැත."
"Some of these products can no longer be sold.","මෙම නිෂ්පාදන සමහරක් තවදුරටත් අලෙවි කළ නොහැක."
"Select Category","වර්ගය තෝරන්න"
"Use Default Value","පෙරනිමි අගය භාවිතා කරන්න"
"Days","දින"
"Hrs","පැය"
"Mins","මිනිත්තු"
"Sec","තත්"
"Preview Sale","පෙරදසුන් විකිණීම"
"Go To Sale","විකිණීමට යන්න"
"View Sale","විකිණීම බලන්න"
"Previous","කලින්"
"Next","ඊළඟ"
"Catalog Events","නාමාවලි සිදුවීම්"
"Enable Catalog Events Functionality","නාමාවලි සිදුවීම් ක්‍රියාකාරීත්වය සබල කරන්න"
"Enable Catalog Event Widget on Storefront","වෙළඳසැල් ඉදිරිපිට නාමාවලි සිදුවීම් විජට් සබල කරන්න"
"Number of Events to be Displayed in Event Slider Widget","Event Slider Widget හි ප්‍රදර්ශනය කළ යුතු සිදුවීම් ගණන"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","ඔබට මෙම පෙරනිමි අගය CMS හි limit=""x"" විචල්‍යය භාවිතයෙන් අභිබවා යා හැක. සීමාවක් නොමැතිව හිස්ව තබන්න."
"Events to Scroll per Click in Event Slider Widget","Event Slider Widget හි ක්ලික් එකකට අනුචලනය කිරීමට සිදුවීම්"
"You can override this default value in CMS using the limit=""x"" variable.","ඔබට මෙම පෙරනිමි අගය CMS හි limit=""x"" විචල්‍යය භාවිතයෙන් අභිබවා යා හැක."
"Catalog Events Carousel","කැටලොග් සිදුවීම් කැරොසල්"
"List all open Catalog Events as a Paginated Carousel","සියලුම විවෘත නාමාවලි සිදුවීම් පිටුගත කැරොසල් එකක් ලෙස ලැයිස්තුගත කරන්න"
"Frame Size","රාමුවේ ප්රමාණය"
"Number of Items to display at once","එකවර ප්‍රදර්ශනය කළ යුතු අයිතම ගණන"
"Scroll","අනුචලනය කරන්න"
"Number of Items to scroll per click","ක්ලික් කිරීමකට අනුචලනය කළ යුතු අයිතම ගණන"
"Block Custom Width","අභිරුචි පළල අවහිර කරන්න"
"If empty, we'll automatically set the width value in pixels.","හිස් නම්, අපි ස්වයංක්‍රීයව පළල අගය පික්සල වලින් සකසන්නෙමු."
"Catalog Events Carousel Default Template","කැටලොග් සිදුවීම් කැරොසල් පෙරනිමි අච්චුව"
"ID","හැඳුනුම්පත"
"Category ID","ප්‍රවර්ග ID"
"Start","ආරම්භ කරන්න"
"End","අවසානය"
"Countdown Ticker","ගණන් කිරීමේ ටිකර්"
"Action","කටයුතු"
"Edit","සංස්කරණය කරන්න"
"Edit Event...","Edit Event..."
"Add Event...","Add Event..."
