"Edit Event","Modifier un événement"
"Add Event","Ajouter des événements"
"Events","Evènements"
"Add Catalog Event","Ajoute l’événement catalogue"
"Save and Continue Edit","Sauvegarder et continuer à éditer"
"Back to Category","Retour à la catégorie"
"Edit Catalog Event","Modifiez l’événement catalogue"
"Catalog Event Information","Informations sur l’événement catalogue"
"Category","Catégorie"
"Start Date","Date de début"
"End Date","Date de fin"
"Image","Image"
"Sort Order","Ordre de tri""Abandoned Carts"
"Upcoming","À venir"
"Open","Ouvert"
"Closed","Fermée"
"Display Countdown Ticker On","Ticker de compte à rebours à afficher sur"
"Category Page","Page de catégorie"
"Product Page","Page du produit"
"Status","Statut"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[SITE WEB]"
"[STORE VIEW]","[VUE MAGASIN]"
"Coming Soon","À venir"
"Sale Ends In","Fin de promotion le"
"Catalog","Catalogue"
"You deleted the event.","Vous avez supprimé l’événement."
"New Event","Nouvel événement"
"Default Values","Valeurs par défaut"
"Something went wrong while saving this event.","Quelque chose s’est mal passé lors de l’enregistrement de cet événement."
"We did not upload your image.","Nous n’avons pas téléchargé votre image."
"You saved the event.","Vous avez enregistré l’événement."
"%1 is required.","%1 est requis."
"Please make sure the end date follows the start date.","S’il vous plaît assurez-vous que la date de fin fait suite à la date de début."
"Event for selected category","Événement pour la catégorie sélectionnée"
"Lister Block","Lister les blocks"
"This product is no longer on sale.","Ce produit n’est plus en vente."
"Some of these products can no longer be sold.","Certains de ces produits peuvent ne plus être vendus."
"Select Category","Sélectionner une catégorie"
"Use Default Value","Utiliser la valeur par défaut"
"Days","Jours"
"Hrs","Heures"
"Mins","Mins"
"Sec","Sec"
"Preview Sale","Prévisualiser la vente"
"Go To Sale","Aller à la vente"
"View Sale","Voir la vente"
"Previous","Précédent"
"Next","Suivant"
"Catalog Events","Catalogue des événements"
"Enable Catalog Events Functionality","Activer la fonctionnalité de catalogue événements"
"Enable Catalog Event Widget on Storefront","Activez le Widget événement catalogue sur vitrine"
"Number of Events to be Displayed in Event Slider Widget","Nombre d’événements à afficher dans le widget slider de l'événement"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","Vous pouvez substituer cette valeur par défaut en cluster à l’aide de la limite = « x » variable. Laissez vide pour aucune limitation."
"Events to Scroll per Click in Event Slider Widget","Événements à défilement par clic dans le Widget slider"
"You can override this default value in CMS using the limit=""x"" variable.","Vous pouvez substituer cette valeur par défaut en cluster à l’aide de la limite = « x » variable."
"Catalog Events Carousel","Carrousel de catalogue des événements"
"List all open Catalog Events as a Paginated Carousel","La liste de tous les catalogues d'événements ouverts comme un carrousel paginé"
"Frame Size","Taille de l’image"
"Number of Items to display at once","Nombre d’éléments à afficher à la fois"
"Scroll","Défilement"
"Number of Items to scroll per click","Nombre d’éléments à afficher par clic"
"Block Custom Width","Largeur du bloc personnalisé"
"If empty, we'll automatically set the width value in pixels.","Si elle est vide, nous allons automatiquement définir la valeur de la largeur en pixels."
"Catalog Events Carousel Default Template","Modèle de Carousel de Catalogue événements par défaut"
"ID","Identifiant"
"Category ID","ID de catégorie"
"Start","Commencer"
"End","Clé de cryptage"
"Countdown Ticker","Ticker de compte à rebours"
"Action","Action"
"Edit","Éditer"
"Edit Event...","ID de catégorie"
"Add Event...","Ajouter des événements..."
