"Edit Event","Редагувати подію"
"Add Event","Додати подію"
"Events","Події"
"Add Catalog Event","Додати подію каталогу"
"Save and Continue Edit","Зберегти та Продовжити Редагування"
"Back to Category","Назад до категорії"
"Edit Catalog Event","Редагувати подію каталогу"
"Catalog Event Information","Інформація про подію каталогу"
"Category","Категорія"
"Start Date","Дата початку"
"End Date","Дата Закінчення"
"Image","Зображення"
"Sort Order","Порядок Сортування"
"Upcoming","Майбутні"
"Open","Відкриті"
"Closed","Закриті"
"Display Countdown Ticker On","Відображати зворотний відлік на"
"Category Page","Сторінка категорії"
"Product Page","Сторінка товару"
"Status","Статус"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[STORE VIEW]"
"Coming Soon","Незабаром"
"Sale Ends In","Продаж закінчується о(б)"
"Catalog","Каталог"
"You deleted the event.","Ви видалили подію."
"New Event","Нова подія"
"Default Values","Типові значення"
"Something went wrong while saving this event.","Щось пішло не так під час збереження цієї події."
"We did not upload your image.","Ми не завантажили ваше зображення."
"You saved the event.","Ви зберегли подію."
"%1 is required.","Необхідно вказати %1."
"Please make sure the end date follows the start date.","Будь ласка, переконайтеся, що дата закінчення слідує після дати початку."
"Event for selected category","Подія для обраної категорії"
"Lister Block","Блок переліку"
"This product is no longer on sale.","Цей товар більше не продається."
"Some of these products can no longer be sold.","Деякі з цих товарів більше не можуть бути продані."
"Select Category","Виберіть категорію"
"Use Default Value","Використовувати типове значення"
"Days","Дні"
"Hrs","Год"
"Mins","Хв"
"Sec","Сек"
"Preview Sale","Попередній перегляд розпродажу"
"Go To Sale","Перейти до розпродажу"
"View Sale","Переглянути розпродаж"
"Previous","Попереднє"
"Next","Наступне"
"Catalog Events","Події каталогу"
"Enable Catalog Events Functionality","Увімкнути функціональність подій каталогу"
"Enable Catalog Event Widget on Storefront","Увімкнути віджет подій каталогу на Вітрині"
"Number of Events to be Displayed in Event Slider Widget","Кількість подій, що буде відображена у віджеті повзунка подій"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","Ви можете замістити це типове значення у CMS, використовуючи змінну limit=""x"". Залиште порожнім задля жодних обмежень."
"Events to Scroll per Click in Event Slider Widget","Скільки прокручувати подій за одне клацання у віджеті повзунка подій"
"You can override this default value in CMS using the limit=""x"" variable.","Ви можете замістити це типове значення у CMS, використовуючи змінну limit=""x""."
"Catalog Events Carousel","Карусель подій каталогу"
"List all open Catalog Events as a Paginated Carousel","Перелічити всі відкриті події каталогу у вигляді посторінкової каруселі"
"Frame Size","Розмір рамки"
"Number of Items to display at once","Яку кількість елементів відображати одночасно"
"Scroll","Прокручування"
"Number of Items to scroll per click","Яку кількість елементів прокручувати за одне клацання"
"Block Custom Width","Користувацька ширина блоку"
"If empty, we'll automatically set the width value in pixels.","Якщо не заповнено, ми автоматично встановимо значення ширини у пікселях."
"Catalog Events Carousel Default Template","Типовий шаблон каруселі подій каталогу"
"ID","Ідентифікатор"
"Category ID","Ідентифікатор категорії"
"Start","Початок"
"End","Закінчення"
"Countdown Ticker","Лічільник зворотнього відліку"
"Action","Дія"
"Edit","Редагувати"
"Edit Event...","Edit Event..."
"Add Event...","Add Event..."
