"Edit Event","Chỉnh sửa sự kiện"
"Add Event","Thêm Sự kiện"
"Events","Sự kiện"
"Add Catalog Event","Thêm danh mục sự kiện"
"Save and Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Back to Category","Quay lại nhóm"
"Edit Catalog Event","Chỉnh sửa các danh mục sự kiện"
"Catalog Event Information","Thông tin Danh mục sự kiện"
"Category","Nhóm"
"Start Date","Ngày bắt đầu"
"End Date","Ngày kết thúc"
"Image","Hình ảnh"
"Sort Order","Thứ tự sắp xếp"
"Upcoming","Sắp tới"
"Open","Mở"
"Closed","Đóng cửa"
"Display Countdown Ticker On","Hiển thị Ticker đếm ngược"
"Category Page","Danh mục trang"
"Product Page","Trang sản phẩm"
"Status","Trạng thái"
"[GLOBAL]","[Toàn hệ thống]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[Chế độ xem cửa hàng]"
"Coming Soon","Sắp có"
"Sale Ends In","Khuyến mại kết thúc vào"
"Catalog","Danh mục"
"You deleted the event.","Bạn đã xoá sự kiện này."
"New Event","Sự kiện mới"
"Default Values","Giá trị mặc định"
"Something went wrong while saving this event.","Một cái gì đó đã đi sai trong khi lưu sự kiện này."
"We did not upload your image.","Chúng tôi đã Không tải lên hình ảnh của bạn."
"You saved the event.","Bạn đã lưu lại sự kiện."
"%1 is required.","%1 được yêu cầu."
"Please make sure the end date follows the start date.","Hãy chắc chắn rằng ngày cuối sau ngày bắt đầu."
"Event for selected category","Các sự kiện cho nhóm được chọn"
"Lister Block","Khối liệt kê"
"This product is no longer on sale.","Sản phẩm này không còn khuyến mại."
"Some of these products can no longer be sold.","Một số các sản phẩm này có thể không còn được khuyến mại."
"Select Category","Chọn nhóm"
"Use Default Value","Sử dụng giá trị mặc định"
"Days","Ngày"
"Hrs","Giờ"
"Mins","Phút"
"Sec","Giây"
"Preview Sale","Xem trước khuyến mại"
"Go To Sale","đi đến khuyến mại"
"View Sale","Xem khuyến mại"
"Previous","Trước"
"Next","Tiếp theo"
"Catalog Events","Danh mục sự kiện"
"Enable Catalog Events Functionality","Kích hoạt chức năng danh mục sự kiện"
"Enable Catalog Event Widget on Storefront","Kích hoạt tiện ích con danh mục sự kiện trên Storefront"
"Number of Events to be Displayed in Event Slider Widget","Số lượng các sự kiện sẽ được hiển thị trong tiện ích sự kiện trượt"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","Bạn có thể ghi đè lên các giá trị mặc định này trong CMS bằng cách sử dụng giới hạn = ""x"" tùy biến. Để trống để cho phép không giới hạn."
"Events to Scroll per Click in Event Slider Widget","Các sự kiện để di chuyển cho mỗi nhấp chuột trong tiện ích sự kiện trượt"
"You can override this default value in CMS using the limit=""x"" variable.","Bạn có thể ghi đè lên các giá trị mặc định này trong CMS bằng cách sử dụng giới hạn = ""x"" thay đổi."
"Catalog Events Carousel","Danh sách danh mục sự kiện"
"List all open Catalog Events as a Paginated Carousel","Danh sách tất cả mở danh mục sự kiện như một Carousel Paginated"
"Frame Size","Kích thước khung hình"
"Number of Items to display at once","Số lượng các mục hiển thị cùng một lúc"
"Scroll","Di chuyển"
"Number of Items to scroll per click","Số lượng các mục để di chuyển cho mỗi nhấp chuột"
"Block Custom Width","Khối chiều rộng tùy chỉnh"
"If empty, we'll automatically set the width value in pixels.","Nếu để trống, chúng tôi sẽ tự động thiết lập chiều rộng bằng pixel."
"Catalog Events Carousel Default Template","Mặc định mẫu của danh sách các danh mục sự kiện"
"ID","ID"
"Category ID","ID nhóm"
"Start","Bắt đầu"
"End","Kết thúc"
"Countdown Ticker","Ticker đếm ngược"
"Action","Thao tác"
"Edit","Chỉnh sửa"
"Edit Event...","Edit Event..."
"Add Event...","Add Event..."
