"Edit Event","Upraviť udalosť"
"Add Event","Pridať udalosť"
"Events","Udalosti"
"Add Catalog Event","Pridanie udalosťi katalógu"
"Save and Continue Edit","Uložiť a pokračovať v upravách"
"Back to Category","Späť do kategórie"
"Edit Catalog Event","Upraviť udalosť katalógu"
"Catalog Event Information","Informácie o udalosti katalogu"
"Category","Kategória"
"Start Date","Dátum začiatku"
"End Date","Dátum ukončenia"
"Image","Obrázok"
"Sort Order","Poradie radenia"
"Upcoming","Nadchádzajúce"
"Open","Otvorené"
"Closed","Zatvorené"
"Display Countdown Ticker On","Display Countdown Ticker On"
"Category Page","Stránka kategórie"
"Product Page","Stránka produktu"
"Status","Stav"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[STORE VIEW]"
"Coming Soon","Už čoskoro"
"Sale Ends In","Zľava končí za"
"Catalog","Katalóg"
"You deleted the event.","Odstránili ste udalosť."
"New Event","Nová udalosť"
"Default Values","Predvolené hodnoty"
"Something went wrong while saving this event.","Pri ukladaní tejto udalosti došlo k chybe."
"We did not upload your image.","Váš obrázok nebol nahraný."
"You saved the event.","Uložili ste udalosť."
"%1 is required.","%1 je povinné."
"Please make sure the end date follows the start date.","Prosím uistite sa, že dátum ukončenia nasleduje po dátumu začatia."
"Event for selected category","Udalosť pre vybranú kategóriu"
"Lister Block","Lister Block"
"This product is no longer on sale.","Tento produkt je už v zľave."
"Some of these products can no longer be sold.","Niektoré z týchto výrobkov sa už nepredávajú."
"Select Category","Vybrať kategóriu"
"Use Default Value","Použiť predvolenú hodnotu"
"Days","Dni"
"Hrs","Hod"
"Mins","Min"
"Sec","Sek"
"Preview Sale","Náhľad zľavy"
"Go To Sale","Isť na zľavu"
"View Sale","Zobraziť zľavu"
"Previous","Predchádzajúca"
"Next","Nasledujúca"
"Catalog Events","Udalosti katalógu"
"Enable Catalog Events Functionality","Povoliť udalosti katalógu"
"Enable Catalog Event Widget on Storefront","Povolit udalsoti widgetov v katalogu na obchode"
"Number of Events to be Displayed in Event Slider Widget","Počet udalostí zobrazených na rotujúcom panelu"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","Môžete prepísať túto predvolenú hodnotu v CMS nastavením premenej limit=""x"". Ak necháte pole prázne, limit nebude použitý."
"Events to Scroll per Click in Event Slider Widget","Počet udalosti pretočených po kliknuti na rotujúci panel"
"You can override this default value in CMS using the limit=""x"" variable.","Môžete prepísať túto predvolenú hodnotu v CMS nastavením premenej limit=""x""."
"Catalog Events Carousel","Rotujúce udalosti katalógu"
"List all open Catalog Events as a Paginated Carousel","Zobraz všetky otvorené udalosti katalógu po stránkach"
"Frame Size","Veľkosť rámu"
"Number of Items to display at once","Počet položiek zobrazených naraz"
"Scroll","Pretočiť"
"Number of Items to scroll per click","Počet položiek, pretočených na kliknutie"
"Block Custom Width","Vlastná šírka bloku"
"If empty, we'll automatically set the width value in pixels.","Pokial ostane prázdne, bude použita šírka v pixeloch."
"Catalog Events Carousel Default Template","Prednastavená šablóna pre rotujúce udalosti katalógu"
"ID","ID"
"Category ID","ID kategórie"
"Start","Začiatok"
"End","Koniec"
"Countdown Ticker","Countdown Ticker"
"Action","Akcia"
"Edit","Upraviť"
"Edit Event...","Edit Event..."
"Add Event...","Add Event..."
