"Edit Event","Editar o evento"
"Add Event","Adicionar Evento"
"Events","Eventos"
"Add Catalog Event","Adicionar Evento de Catálogo"
"Save and Continue Edit","Salvar e Continuar a Editar"
"Back to Category","Voltar à categoria"
"Edit Catalog Event","Editar Evento de Catálogo"
"Catalog Event Information","Informação de Evento de Catálogo"
"Category","Categoria"
"Start Date","Data de Início"
"End Date","Data de Término"
"Image","Imagem"
"Sort Order","Ordenação"
"Upcoming","Próximos"
"Open","Abrir"
"Closed","Fechado"
"Display Countdown Ticker On","Exibir Contagem Regressiva Em"
"Category Page","Página de Categoria"
"Product Page","Página de Produto"
"Status","Situação"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[VISÃO DE LOJA]"
"Coming Soon","Em Breve"
"Sale Ends In","Venda Termina Em"
"Catalog","Catálogo"
"You deleted the event.","Você excluiu o evento."
"New Event","Novo evento"
"Default Values","Valor Padrão"
"Something went wrong while saving this event.","Ocorreu um problema ao salvar o este evento."
"We did not upload your image.","Não foi possível fazer o envio da imagem."
"You saved the event.","Você salvou o evento."
"%1 is required.","%s é obrigatório."
"Please make sure the end date follows the start date.","Por favor, certifique-se que a data final segue a data de início."
"Event for selected category","Evento para a categoria selecionada"
"Lister Block","lista de bloco"
"This product is no longer on sale.","Este produto não está mais à venda."
"Some of these products can no longer be sold.","Alguns destes produtos não estão mais disponíveis."
"Select Category","Selecionar categoria"
"Use Default Value","Utilizar Valor Padrão"
"Days","Dias"
"Hrs","Hr"
"Mins","Min"
"Sec","Seg"
"Preview Sale","Prévia de Venda"
"Go To Sale","Ir para venda"
"View Sale","Visualizar Venda"
"Previous","Anterior"
"Next","Próximo"
"Catalog Events","Catálogo de eventos"
"Enable Catalog Events Functionality","Ativar Funcionalidade de Eventos de Catálogo"
"Enable Catalog Event Widget on Storefront","Ativar o Widget de Evento de Catálogo na Loja"
"Number of Events to be Displayed in Event Slider Widget","Número de Eventos a Mostrar no Widget de Slider de Eventos"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","Você pode substituir este valor pré-definido no CMS usando a variável limit=""x"". Deixe em branco para remover a limitação."
"Events to Scroll per Click in Event Slider Widget","Eventos Para Rolar por Clique no Widget com o Slider de Eventos"
"You can override this default value in CMS using the limit=""x"" variable.","Pode substituir este valor pré-definido no CMS usando a variável limit=""x""."
"Catalog Events Carousel","Carrossel de Eventos de Catálogo"
"List all open Catalog Events as a Paginated Carousel","Listar todos os Eventos de Catálogo como um carrossel paginado"
"Frame Size","Tamanho do quadro"
"Number of Items to display at once","Número de itens a serem exibidos por vez"
"Scroll","Rolagem"
"Number of Items to scroll per click","Número de itens para rolar por clique"
"Block Custom Width","Largura Personalizada do Bloco"
"If empty, we'll automatically set the width value in pixels.","Se estiver vazio, será definido automaticamente o valor de largura em pixels."
"Catalog Events Carousel Default Template","Template Pré-definido de Carrossel para Eventos de Catálogo"
"ID","ID"
"Category ID","ID da categoria"
"Start","Ínicio"
"End","Fim"
"Countdown Ticker","Contagem Decrescente"
"Action","Ação"
"Edit","Editar"
"Edit Event...","Editar Evento..."
"Add Event...","Adicionar Evento..."
