"Edit Event","Редактиране на събитие"
"Add Event","Добави събитие"
"Events","Събития"
"Add Catalog Event","Добави каталог събитие"
"Save and Continue Edit","Запази и продължи редактиране"
"Back to Category","Обратно към категорията"
"Edit Catalog Event","Редактиране на каталог събитие"
"Catalog Event Information","Каталог информация събитие"
"Category","Категория"
"Start Date","Начална дата"
"End Date","Крайна дата"
"Image","Изображение"
"Sort Order","Ред на сортиране"
"Upcoming","Предстоящи"
"Open","Отвори"
"Closed","Затворен"
"Display Countdown Ticker On","Показване на отброяване"
"Category Page","Категория страница"
"Product Page","Продукт на страницата"
"Status","Статус"
"[GLOBAL]","[Глобален]"
"[WEBSITE]","[Уебсайт]"
"[STORE VIEW]","[Изглед Магазин]"
"Coming Soon","Скоро"
"Sale Ends In","Разпродажбата приключва на"
"Catalog","Каталог"
"You deleted the event.","Изтрихте събитието."
"New Event","Ново събитие"
"Default Values","Стойности по подразбиране"
"Something went wrong while saving this event.","Нещо се обърка, докато запазвахте това събитие."
"We did not upload your image.","Не успяхме да качим вашето изображение."
"You saved the event.","Записахте събитието."
"%1 is required.","%1 е задължително."
"Please make sure the end date follows the start date.","Моля, уверете се, че крайната дата следва началната дата."
"Event for selected category","Събитие за избраната категория"
"Lister Block","Листър блок"
"This product is no longer on sale.","Този продукт вече не е в разпродажба."
"Some of these products can no longer be sold.","Някои от тези продукти вече не могат да бъдат продадени."
"Select Category","Изберете категория"
"Use Default Value","Използвайте стойност по подразбиране"
"Days","Дни"
"Hrs","Часове"
"Mins","Минути"
"Sec","Секунди"
"Preview Sale","Визуализация на продажба"
"Go To Sale","Отидете в разпродажба"
"View Sale","Изглед разпродажба"
"Previous","Назад"
"Next","Напред"
"Catalog Events","Каталог на събития"
"Enable Catalog Events Functionality","Разреши функционалност на каталог събития"
"Enable Catalog Event Widget on Storefront","Разреши Джаджа за събитията в магазина"
"Number of Events to be Displayed in Event Slider Widget","Броят на събитията да бъдат показани в събитие - плъзгам джаджи"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","Можете да промените тази стойност по подразбиране в CMS, използвайки граница = ""х"" променлива. Оставете празно за ограничение."
"Events to Scroll per Click in Event Slider Widget","Събития за превъртане на клик в събитие плъзгам джаджи"
"You can override this default value in CMS using the limit=""x"" variable.","Можете да промените тази стойност по подразбиране в CMS, използвайки граница = ""х"" променлива."
"Catalog Events Carousel","Въртележката на каталог събития"
"List all open Catalog Events as a Paginated Carousel","Списък на всички отворени каталог събития като номерирана въртележка"
"Frame Size","Размер на рамката"
"Number of Items to display at once","Брой елементи за показване наведнъж"
"Scroll","Превъртане"
"Number of Items to scroll per click","Брой елементи за превъртане на клик"
"Block Custom Width","Ширина по избор на блок"
"If empty, we'll automatically set the width value in pixels.","Ако е празна, ние автоматично ще зададем стойността на ширината в пиксели."
"Catalog Events Carousel Default Template","Шаблон по подразбиране за каталог събития въртележката"
"ID","ИД"
"Category ID","Идентификационен номер на категорията"
"Start","Старт"
"End","Край"
"Countdown Ticker","Брояч"
"Action","Действие"
"Edit","Редактирай"
"Edit Event...","Edit Event..."
"Add Event...","Add Event..."
