"Edit Event","Edit acara"
"Add Event","Tambahkan acara"
"Events","Acara"
"Add Catalog Event","Tambahkan acara katalog"
"Save and Continue Edit","Simpan dan Lanjutkan Edit"
"Back to Category","Kembali ke kategori"
"Edit Catalog Event","Edit acara katalog"
"Catalog Event Information","Informasi acara katalog"
"Category","Kategori"
"Start Date","Tanggal Mulai"
"End Date","Tanggal akhir"
"Image","Gambar"
"Sort Order","Pengurutan"
"Upcoming","Mendatang"
"Open","Buka"
"Closed","Tutup"
"Display Countdown Ticker On","Menampilkan Countdown Ticker On"
"Category Page","Kategori"
"Product Page","Halaman produk"
"Status","Subjek"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[SITUS WEB]"
"[STORE VIEW]","[LIHAT TOKO]"
"Coming Soon","Segera akan datang"
"Sale Ends In","Penjualan Berakhir di"
"Catalog","Katalog"
"You deleted the event.","Anda menghapus acara."
"New Event","Acara baru"
"Default Values","Nilai default"
"Something went wrong while saving this event.","Ada yang tidak beres saat menyimpan acara ini."
"We did not upload your image.","Kami tidak mengunggah gambar Anda."
"You saved the event.","Anda menyimpan acara."
"%1 is required.","%1 Dibutuhkan."
"Please make sure the end date follows the start date.","Pastikan tanggal akhir mengikuti tanggal mulai."
"Event for selected category","Acara untuk kategori yang dipilih"
"Lister Block","Blok lister"
"This product is no longer on sale.","Produk ini tidak lagi dijual."
"Some of these products can no longer be sold.","Beberapa produk ini tidak bisa dijual lagi."
"Select Category","Pilih Kategori"
"Use Default Value","Gunakan Nilai Default"
"Days","Hari"
"Hrs","Hrs"
"Mins","Mins"
"Sec","Detik"
"Preview Sale","Pratinjau Penjualan"
"Go To Sale","Pergi untuk penjualan"
"View Sale","Lihat penjualan"
"Previous","Sebelumnya"
"Next","Berikutnya"
"Catalog Events","Acara katalog"
"Enable Catalog Events Functionality","Aktifkan Aktivitas Peristiwa Katalog"
"Enable Catalog Event Widget on Storefront","Aktifkan Widget Acara Aktivitas di etalase"
"Number of Events to be Displayed in Event Slider Widget","Jumlah Acara yang Akan Ditampilkan di Widget Slider Acara"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","Anda dapat mengganti nilai default ini di CMS dengan menggunakan variabel limit = ""x"". Biarkan kosong tanpa batasan."
"Events to Scroll per Click in Event Slider Widget","Acara untuk Scroll per Klik di Event Slider Widget"
"You can override this default value in CMS using the limit=""x"" variable.","Anda dapat mengganti nilai default ini di CMS dengan menggunakan variabel limit = ""x""."
"Catalog Events Carousel","Katalog Acara Carousel"
"List all open Catalog Events as a Paginated Carousel","Cantumkan semua acara Katalog yang Terbuka sebagai Carousel yang Diminin"
"Frame Size","Ukuran bingkai"
"Number of Items to display at once","Jumlah Item yang akan ditampilkan sekaligus"
"Scroll","Gulir"
"Number of Items to scroll per click","Jumlah Item untuk gulir per klik"
"Block Custom Width","Blok Lebar Kustom"
"If empty, we'll automatically set the width value in pixels.","Jika kosong, kita akan secara otomatis mengatur nilai lebar dalam piksel."
"Catalog Events Carousel Default Template","Katalog Acara Carousel Default Template"
"ID","Id"
"Category ID","ID Kategori"
"Start","Mulai"
"End","Akhir"
"Countdown Ticker","Countdown Ticker"
"Action","Tindakan"
"Edit","Ubah"
"Edit Event...","Edit Event..."
"Add Event...","Add Event..."
