"Edit Event","编辑事件"
"Add Event","添加事件"
"Events","事件"
"Add Catalog Event","添加目录事件"
"Save and Continue Edit","保存并继续编辑"
"Back to Category","追溯到类别"
"Edit Catalog Event","编辑目录事件"
"Catalog Event Information","目录事件信息"
"Category","类别"
"Start Date","起始日期"
"End Date","结束日期"
"Image","图片"
"Sort Order","排序"
"Upcoming","即将到来"
"Open","开放"
"Closed","已关闭"
"Display Countdown Ticker On","显示倒计时报价"
"Category Page","类别页"
"Product Page","产品页"
"Status","状态"
"[GLOBAL]","[全局]"
"[WEBSITE]","[网站]"
"[STORE VIEW]","[店铺视图]"
"Coming Soon","即将推出"
"Sale Ends In","在销售结束"
"Catalog","目录"
"You deleted the event.","您已删除该事件。"
"New Event","新的事件"
"Default Values","默认值"
"Something went wrong while saving this event.","保存此事件时，出了错。"
"We did not upload your image.","我们没上传你的形象。"
"You saved the event.","您已保存的事件。"
"%1 is required.","%1 是必需的。"
"Please make sure the end date follows the start date.","请确保结束日期遵循的开始日期。"
"Event for selected category","所选类别的的事件"
"Lister Block","Lister 模块"
"This product is no longer on sale.","本产品是不再发售。"
"Some of these products can no longer be sold.","这些产品中有些可以不再出售。"
"Select Category","选择类别"
"Use Default Value","使用默认值"
"Days","天"
"Hrs","小时"
"Mins","分钟"
"Sec","秒"
"Preview Sale","预览出售"
"Go To Sale","转到销售"
"View Sale","查看销售"
"Previous","前一页"
"Next","下一页"
"Catalog Events","目录事件"
"Enable Catalog Events Functionality","启用目录事件功能"
"Enable Catalog Event Widget on Storefront","启用目录事件窗口小部件在前端"
"Number of Events to be Displayed in Event Slider Widget","要在事件滑块小部件中显示的事件数"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","您可以重写此默认值在 CMS 使用限制 =""x""变量。留空为不受限制。"
"Events to Scroll per Click in Event Slider Widget","每次在小部件中事件滑块点击滚动事件"
"You can override this default value in CMS using the limit=""x"" variable.","您可以重写此默认值在 CMS 使用限制 =""x""变量。"
"Catalog Events Carousel","目录事件旋转木马"
"List all open Catalog Events as a Paginated Carousel","列出所有打开的目录事件作为分页的旋转木马"
"Frame Size","框大小"
"Number of Items to display at once","要一次显示的项目数"
"Scroll","滚动"
"Number of Items to scroll per click","要滚动每次点击的项目数"
"Block Custom Width","模块自定义宽度"
"If empty, we'll automatically set the width value in pixels.","如果为空，我们就会自动设置宽度值，以像素为单位。"
"Catalog Events Carousel Default Template","目录事件轮播默认模板"
"ID","编号ID"
"Category ID","类别 ID"
"Start","开始"
"End","结束"
"Countdown Ticker","倒计时自动收报机"
"Action","操作"
"Edit","编辑"
"Edit Event...","%1 是必需的。"
"Add Event...","添加事件..."
