"AVS result code","AVS eredménykód"
"CVN result code","CVN eredménykód"
"Card number","Kártyaszám"
"Card expiry date","Kártya érvényességi ideje"
"Decision","Határozat"
"Transaction ID","Tranzakció azonosító"
"Risk Score","Kockázati pontszám"
"Risk Factor","Kockázati tényező"
"Reference number","Hivatkozási szám"
"Excessive address change. The customer changed the billing address two or more times in the last six months","Túl sok címmódosítás. A vásárló két vagy több alkalommal módosította számlázási címét az elmúlt hat hónapban"
"Card BIN or authorization risk. Risk factors a e related to credit card BIN and/or card authorization checks","Kártya BIN (bankazonosító) vagy engedélyezési kockázat! A kockázati tényezők a bankkártya BIN-kódjával (bankazonosító) vagy az engedélyezési ellenőrzéssel kapcsolatosak"
"High number of account numbers. The customer used more than six credit cards numbers in the last six months","Nagy számú számlaszám. A vásárló több mint hat hitelkártyát használt az elmúlt hat hónapban"
"Email address impact. The customer uses a free email provider, or the email address is risky","Email-cím ütközés! A vásárló ingyenes email szolgáltatót használ, vagy az email cím kockázatos"
"Positive list. The customer is on your positive list. Decision Manager Developer Guide Using the Simple Order AP  January 201 10 Appendix  Information and Reply Code","Engedélyező lista. A vásárló engedélyező listán van. A döntési vezető fejlesztői útmutatója az egyszerű megrendelés AP-t használja január 201 10 függelék Információ és válaszkód"
"Negative list. The account number, street add ess, email address, or IP address for this order appears on your negative list","Negatív lista. A számlaszám, az utcai cím, az e-mail cím vagy az IP-cím e megrendelésnél megjelenik a negatív listán"
"Geolocation inconsistencies. The customer’s email domain, phone number, billing address, shipping address, or IP address is suspicious","Helymeghatározási ellentmondások! A vásárló e-mail címének tartománya, telefonszáma, számlázási címe, szállítási címe vagy IP-címe gyanús"
"Excessive name changes. The customer changed the name two or more times in the last six months","Túlzott névmódosítás! A vásárló két vagy több alkalommal módosította nevét az elmúlt hat hónapban"
"Internet inconsistencies. The IP address  nd email domain are not consistent with the billing address","Internetes ellentmondások! Az IP-cím és az e-mail-cím tartománya nem egyeztethető össze a számlázási címmel"
"Nonsensical input. The customer name and address fields contain meaningless words or language","Értelmetlen bemenet. A vásárló neve és címe mezők értelmetlen szavakat vagy nyelvet tartalmaznak"
"Obscenities. The customer’s input contains obscene words","Trágárság! A vásárlói bevitel obszcén szavakat tartalmaz"
"Identity morphing. Multiple values of an  dentity element are linked to a value of a different identity element. For example, m ltiple phone numbers are linked to a single account number","Alaki hiba! Egy elem többszörös értékei össze vannak kapcsolva egy eltérő azonosságú elemmel. Például több telefonszám kapcsolása egy számlaszámhoz"
"Phone inconsistencies. The customer’s phone number is suspicious","Telefonszám-ellentmondás! A vásárló telefonszáma gyanús"
"Risky order. The transaction, customer, and merchant information show multiple high-risk correlations","Kockázatos megrendelés! Az ügylet, a vásárló és a kereskedelmi információk több magas kockázatú összefüggést mutatnak"
"Time hedge. The customer is attempting a purchase outside of the expected hours","Időkorlát! A vásárló a várható órákon kívül kísérel meg vásárlást"
"Unverifiable address. The billing or shipping address cannot be verified","Ellenőrizhetetlen cím! A számlázási vagy a szállítási cím nem ellenőrizhető"
"Velocity. The account number was use  many times in the past 15 minutes","Túlzott gyorsaság! A számlaszám sokszor volt használatban az elmúlt 15 percben"
"Marked as suspect. The billing or shipping address is similar to an address previously marked as suspect","Gyanúsnak jelölve! A számlázási vagy a szállítási cím hasonlít egy korábban gyanúsnak jelölt címhez"
"Gift Order. The street address, city, state, or country of the billing and shipping addresses do not correlate","Ajándék-megrendelés! Az utca, házszám, a település, az állam/megye vagy az ország nem egyezik a számlázási és szállítási cím esetében"
"Invalid value. Because the request contains an unexpected value, a default value was substituted. Although the transact on can still be processed, examine the request carefully for abnormalities in the order","Érvénytelen érték! Mivel a kérés váratlan értéket tartalmazott, egy alapértelmezett értékkel került helyettesítésre. Bár a tranzakció továbbra is feldolgozható, gondosan vizsgálja meg a rendellenességeket a megrendelésben"
"Unknown factor. Please contact Cybersource customer service","Ismeretlen tényező! Kérjük, forduljon a Cybersource ügyfélszolgálatához"
"Payment Token Build Error.","Fizetési token-hiba!"
"Your payment has been declined. Please try again.","A befizetés elutasításra került. Kérjük, próbálja újra!"
"CC type field should be provided","A Másolatot kap mező nem lehet üres!"
"Gateway validation error","Gateway-érvényesítési hiba"
"Authorize","Engedélyez"
"Authorize and Capture","Engedélyez és levon"
"Risk Factor Q","Q kockázati tényező"
"Risk Factor V","V kockázati tényező"
"Place Order","Megrendelés"
"Cybersource","Cybersource"
"Enabled","Engedélyezve"
"Payment Action","Fizetési művelet"
"Title","Cím"
"Merchant ID","Kereskedő azonosító"
"Transaction Key","Tranzakciós kulcs"
"Profile ID","Profilazonosító"
"Access Key","Hozzáférési kulcs"
"Secret Key","Titkos kulcs"
"New Order Status","Új megrendelés állapota"
"Test Mode","Teszt mód"
"Debug","Hibakeresés"
"Credit Card Types","Hitelkártya típusok"
"Payment from Applicable Countries","Fizetés az elérhető országokból"
"Payment from Specific Countries","Fizetés a megadott országokból"
"Minimum Order Total","Minimális rendelési összeg"
"Maximum Order Total","Maximális rendelési összeg"
"Sort Order","Rendezési sorrend"
"Authorize Only","Csak engedélyez"
"Webhook URL","Webhook URL"
"Webhook URL should be set in your Cybersource account as Transaction Response Page.","Webhook URL should be set in your Cybersource account as Transaction Response Page."
"Is admin panel works on the different domain?","Is admin panel works on the different domain?"
"Admin Profile ID","Admin Profile ID"
"Admin Access Key","Admin Access Key"
"Admin Secret Key","Admin Secret Key"
"Admin Webhook URL","Admin Webhook URL"
"The credit card type field needs to be provided. Select the field and try again.","The credit card type field needs to be provided. Select the field and try again."
