"AVS result code","AVS kode hasil"
"CVN result code","CVN kode hasil"
"Card number","Nomor kartu"
"Card expiry date","Tanggal kadaluwarsa kartu"
"Decision","Keputusan"
"Transaction ID","ID Transaksi"
"Risk Score","Skor Risiko"
"Risk Factor","Faktor Risiko"
"Reference number","Nomor referensi"
"Excessive address change. The customer changed the billing address two or more times in the last six months","Perubahan alamat yang berlebihan. Pelanggan mengubah alamat penagihan dua kali atau lebih dalam enam bulan terakhir"
"Card BIN or authorization risk. Risk factors a e related to credit card BIN and/or card authorization checks","Kartu BIN atau otorisasi risiko. Faktor risiko a e yang berkaitan dengan kartu kredit BIN dan/atau otorisasi kartu cek"
"High number of account numbers. The customer used more than six credit cards numbers in the last six months","Tingginya jumlah nomor rekening. Pelanggan menggunakan lebih dari enam nomor kartu kredit dalam enam bulan terakhir"
"Email address impact. The customer uses a free email provider, or the email address is risky","Dampak alamat email. Pelanggan menggunakan penyedia email gratis, atau alamat emailnya berisiko"
"Positive list. The customer is on your positive list. Decision Manager Developer Guide Using the Simple Order AP  January 201 10 Appendix  Information and Reply Code","Daftar positif Pelanggan ada di daftar positif Anda. Panduan Pengembang Keputusan Menggunakan Orde Sederhana AP Januari 201 10 Lampiran Informasi dan Balasan Kode"
"Negative list. The account number, street add ess, email address, or IP address for this order appears on your negative list","Daftar negatif. Nomor rekening, jalan menambahkan ess, alamat email, atau alamat IP untuk pesanan ini muncul pada daftar negatif"
"Geolocation inconsistencies. The customer’s email domain, phone number, billing address, shipping address, or IP address is suspicious","Inkonsistensi geolokasi Domain email pelanggan, nomor telepon, alamat penagihan, alamat pengiriman, atau alamat IP mencurigakan"
"Excessive name changes. The customer changed the name two or more times in the last six months","Perubahan nama yang berlebihan. Pelanggan mengubah nama dua kali atau lebih dalam enam bulan terakhir"
"Internet inconsistencies. The IP address  nd email domain are not consistent with the billing address","Internet inkonsistensi. Alamat IP nd domain email tidak konsisten dengan alamat penagihan"
"Nonsensical input. The customer name and address fields contain meaningless words or language","Tidak masuk akal input. Pelanggan nama dan alamat bidang berarti mengandung kata-kata atau bahasa"
"Obscenities. The customer’s input contains obscene words","Kata-kata kotor. Pelanggan input berisi kata-kata cabul"
"Identity morphing. Multiple values of an  dentity element are linked to a value of a different identity element. For example, m ltiple phone numbers are linked to a single account number","Identitas morphing. Beberapa nilai-nilai dari sebuah ctive elemen yang dihubungkan dengan nilai yang berbeda elemen identitas. Misalnya, m ltiple nomor telepon yang dihubungkan ke satu nomor rekening"
"Phone inconsistencies. The customer’s phone number is suspicious","Telepon inkonsistensi. Pelanggan nomor telepon mencurigakan"
"Risky order. The transaction, customer, and merchant information show multiple high-risk correlations","Berisiko order. Transaksi, pelanggan, dan informasi pedagang menunjukkan beberapa risiko tinggi korelasi"
"Time hedge. The customer is attempting a purchase outside of the expected hours","Lindung nilai waktu. Pelanggan sedang mencoba melakukan pembelian di luar jam kerja yang diharapkan"
"Unverifiable address. The billing or shipping address cannot be verified","Diverifikasi alamat. Penagihan atau alamat pengiriman tidak dapat diverifikasi"
"Velocity. The account number was use  many times in the past 15 minutes","Kecepatan. Nomor rekening itu digunakan berkali-kali dalam 15 menit"
"Marked as suspect. The billing or shipping address is similar to an address previously marked as suspect","Ditandai sebagai tersangka. Penagihan atau alamat pengiriman yang sama ke alamat yang sebelumnya telah ditandai sebagai tersangka"
"Gift Order. The street address, city, state, or country of the billing and shipping addresses do not correlate","Agar Hadiah. Alamat jalan, kota, negara, atau negara alamat penagihan dan pengiriman tidak berkorelasi"
"Invalid value. Because the request contains an unexpected value, a default value was substituted. Although the transact on can still be processed, examine the request carefully for abnormalities in the order","Nilai tidak valid. Karena permintaan berisi nilai tak terduga, nilai default diganti. Meski bertransaksi masih bisa diproses, periksa permintaan dengan hati-hati agar kelainan pada pesanan"
"Unknown factor. Please contact Cybersource customer service","Alasan yang tidak diketahui. Silahkan hubungi PayPal layanan pelanggan"
"Payment Token Build Error.","Kesalahan Pembuatan Token Pembayaran."
"Your payment has been declined. Please try again.","Pembayaran anda telah ditolak Silahkan coba lagi."
"CC type field should be provided","CC jenis lapangan harus disediakan"
"Gateway validation error","Kesalahan validasi gateway"
"Authorize","Otorisasi"
"Authorize and Capture","Otorisasi dan Tangkapan"
"Risk Factor Q","Faktor Risiko Q"
"Risk Factor V","Faktor Risiko V"
"Place Order","Tempat Pesanan"
"Cybersource","Cybersource"
"Enabled","Diaktifkan"
"Payment Action","Tindakan Pembayaran"
"Title","Judul"
"Merchant ID","ID Pedagang"
"Transaction Key","Kunci Transaksi"
"Profile ID","Profil ID"
"Access Key","Kunci Akses"
"Secret Key","Kunci Rahasia"
"New Order Status","Status Pesanan Baru"
"Test Mode","Mode Uji"
"Debug","Menulusuri"
"Credit Card Types","Tipe Kartu Kredit"
"Payment from Applicable Countries","Pembayaran dari Negara yang Berlaku"
"Payment from Specific Countries","Pembayaran dari Negara-Negara tertentu"
"Minimum Order Total","Total Pesanan minimum"
"Maximum Order Total","Total Pesanan Maksimal"
"Sort Order","Urutan"
"Authorize Only","Hanya otorisasi"
"Webhook URL","Webhook URL"
"Webhook URL should be set in your Cybersource account as Transaction Response Page.","Webhook URL should be set in your Cybersource account as Transaction Response Page."
"Is admin panel works on the different domain?","Is admin panel works on the different domain?"
"Admin Profile ID","Admin Profile ID"
"Admin Access Key","Admin Access Key"
"Admin Secret Key","Admin Secret Key"
"Admin Webhook URL","Admin Webhook URL"
"The credit card type field needs to be provided. Select the field and try again.","The credit card type field needs to be provided. Select the field and try again."
