"AVS result code","AVS റിസൾട്ട് കോഡ്"
"CVN result code","CVN റിസൾട്ട് കോഡ്"
"Card number","കാർഡ് നമ്പർ"
"Card expiry date","കാർഡ് കാലഹരണ തീയതി"
"Decision","തീരുമാനം"
"Transaction ID","ഇടപാട് ഐഡി"
"Risk Score","റിസ്ക് സ്കോർ"
"Risk Factor","റിസ്ക് ഫാക്ടർ"
"Reference number","റഫറൻസ് നമ്പർ"
"Excessive address change. The customer changed the billing address two or more times in the last six months","അമിതമായ വിലാസ മാറ്റം. കഴിഞ്ഞ ആറ് മാസത്തിനുള്ളിൽ ഉപഭോക്താവ് ബില്ലിംഗ് വിലാസം രണ്ടോ അതിലധികമോ തവണ മാറ്റി"
"Card BIN or authorization risk. Risk factors a e related to credit card BIN and/or card authorization checks","കാർഡ് ബിൻ അല്ലെങ്കിൽ അംഗീകാര റിസ്ക്. അപകടസാധ്യത ഘടകങ്ങൾ ക്രെഡിറ്റ് കാർഡ് BIN കൂടാതെ / അല്ലെങ്കിൽ കാർഡ് അംഗീകാര പരിശോധനയുമായി ബന്ധപ്പെട്ടതാണ്"
"High number of account numbers. The customer used more than six credit cards numbers in the last six months","അക്കൗണ്ട് നമ്പറുകളുടെ ഉയർന്ന എണ്ണം. കഴിഞ്ഞ ആറുമാസത്തിനുള്ളിൽ ഉപഭോക്താവ് ആറിലധികം ക്രെഡിറ്റ് കാർഡ് നമ്പറുകൾ ഉപയോഗിച്ചു"
"Email address impact. The customer uses a free email provider, or the email address is risky","ഇമെയിൽ വിലാസ ഇംപാക്ട്. ഉപഭോക്താവ് ഒരു സൗജന്യ ഇമെയിൽ ദാതാവിനെ ഉപയോഗിക്കുന്നു, അല്ലെങ്കിൽ ഇമെയിൽ വിലാസം അപകടകരമാണ്"
"Positive list. The customer is on your positive list. Decision Manager Developer Guide Using the Simple Order AP  January 201 10 Appendix  Information and Reply Code","പോസിറ്റീവ് ലിസ്റ്റ്. ഉപഭോക്താവ് നിങ്ങളുടെ പോസിറ്റീവ് പട്ടികയിലുണ്ട്. ലളിതമായ ഓർഡർ ഉപയോഗിച്ച് തീരുമാന മാനേജർ ഡവലപ്പർ ഗൈഡ് AP ജനുവരി 201 10 അനുബന്ധ വിവരവും മറുപടി കോഡും"
"Negative list. The account number, street add ess, email address, or IP address for this order appears on your negative list","നെഗറ്റീവ് പട്ടിക. ഈ ഓർ‌ഡറിനായുള്ള അക്കൗണ്ട് നമ്പർ‌, തെരുവ് വിലാസം, ഇമെയിൽ‌ വിലാസം അല്ലെങ്കിൽ‌ IP വിലാസം നിങ്ങളുടെ നെഗറ്റീവ് പട്ടികയിൽ‌ ദൃശ്യമാകുന്നു"
"Geolocation inconsistencies. The customer’s email domain, phone number, billing address, shipping address, or IP address is suspicious","ജിയോലൊക്കേഷൻ പൊരുത്തക്കേടുകൾ. ഉപഭോക്താവിന്റെ ഇമെയിൽ ഡൊമെയ്ൻ, ഫോൺ നമ്പർ, ബില്ലിംഗ് വിലാസം, ഷിപ്പിംഗ് വിലാസം അല്ലെങ്കിൽ IP വിലാസം സംശയാസ്പദമാണ്"
"Excessive name changes. The customer changed the name two or more times in the last six months","അമിതമായ പേര് മാറ്റങ്ങൾ. കഴിഞ്ഞ ആറുമാസത്തിനുള്ളിൽ ഉപഭോക്താവ് രണ്ടോ അതിലധികമോ തവണ പേര് മാറ്റി"
"Internet inconsistencies. The IP address  nd email domain are not consistent with the billing address","ഇന്റർനെറ്റ് പൊരുത്തക്കേടുകൾ. IP വിലാസവും ഇമെയിൽ ഡൊമെയ്‌നും ബില്ലിംഗ് വിലാസവുമായി പൊരുത്തപ്പെടുന്നില്ല"
"Nonsensical input. The customer name and address fields contain meaningless words or language","അസംബന്ധ ഇൻപുട്ട്. ഉപഭോക്തൃ നാമത്തിലും വിലാസ ഫീൽഡുകളിലും അർത്ഥമില്ലാത്ത വാക്കുകളോ ഭാഷയോ അടങ്ങിയിരിക്കുന്നു"
"Obscenities. The customer’s input contains obscene words","അശ്ലീലത. ഉപഭോക്താവിന്റെ ഇൻപുട്ടിൽ അശ്ലീല വാക്കുകൾ അടങ്ങിയിരിക്കുന്നു"
"Identity morphing. Multiple values of an  dentity element are linked to a value of a different identity element. For example, m ltiple phone numbers are linked to a single account number","ഐഡന്റിറ്റി മോർഫിംഗ്. ഒരു ഐഡന്റിറ്റി ഘടകത്തിന്റെ ഒന്നിലധികം മൂല്യങ്ങൾ മറ്റൊരു ഐഡന്റിറ്റി ഘടകത്തിന്റെ മൂല്യവുമായി ബന്ധിപ്പിച്ചിരിക്കുന്നു. ഉദാഹരണത്തിന്, ഒന്നിലധികം ഫോൺ നമ്പറുകൾ ഒരൊറ്റ അക്കൗണ്ട് നമ്പറുമായി ലിങ്ക് ചെയ്തിരിക്കുന്നു"
"Phone inconsistencies. The customer’s phone number is suspicious","ഫോൺ പൊരുത്തക്കേടുകൾ. ഉപഭോക്താവിന്റെ ഫോൺ നമ്പർ സംശയാസ്പദമാണ്"
"Risky order. The transaction, customer, and merchant information show multiple high-risk correlations","Risky order. The transaction, customer, and merchant information show multiple high-risk correlations"
"Time hedge. The customer is attempting a purchase outside of the expected hours","Time hedge. The customer is attempting a purchase outside of the expected hours"
"Unverifiable address. The billing or shipping address cannot be verified","Unverifiable address. The billing or shipping address cannot be verified"
"Velocity. The account number was use  many times in the past 15 minutes","Velocity. The account number was use  many times in the past 15 minutes"
"Marked as suspect. The billing or shipping address is similar to an address previously marked as suspect","Marked as suspect. The billing or shipping address is similar to an address previously marked as suspect"
"Gift Order. The street address, city, state, or country of the billing and shipping addresses do not correlate","Gift Order. The street address, city, state, or country of the billing and shipping addresses do not correlate"
"Invalid value. Because the request contains an unexpected value, a default value was substituted. Although the transact on can still be processed, examine the request carefully for abnormalities in the order","Invalid value. Because the request contains an unexpected value, a default value was substituted. Although the transact on can still be processed, examine the request carefully for abnormalities in the order"
"Unknown factor. Please contact Cybersource customer service","Unknown factor. Please contact Cybersource customer service"
"Payment Token Build Error.","Payment Token Build Error."
"Your payment has been declined. Please try again.","Your payment has been declined. Please try again."
"CC type field should be provided","CC type field should be provided"
"Gateway validation error","Gateway validation error"
"Authorize","Authorize"
"Authorize and Capture","Authorize and Capture"
"Risk Factor Q","Risk Factor Q"
"Risk Factor V","Risk Factor V"
"Place Order","Place Order"
"Cybersource","Cybersource"
"Enabled","Enabled"
"Payment Action","Payment Action"
"Title","Title"
"Merchant ID","Merchant ID"
"Transaction Key","Transaction Key"
"Profile ID","Profile ID"
"Access Key","Access Key"
"Secret Key","Secret Key"
"New Order Status","New Order Status"
"Test Mode","Test Mode"
"Debug","Debug"
"Credit Card Types","Credit Card Types"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Minimum Order Total","Minimum Order Total"
"Maximum Order Total","Maximum Order Total"
"Sort Order","Sort Order"
"Authorize Only","Authorize Only"
"Webhook URL","Webhook URL"
"Webhook URL should be set in your Cybersource account as Transaction Response Page.","Webhook URL should be set in your Cybersource account as Transaction Response Page."
"Is admin panel works on the different domain?","Is admin panel works on the different domain?"
"Admin Profile ID","Admin Profile ID"
"Admin Access Key","Admin Access Key"
"Admin Secret Key","Admin Secret Key"
"Admin Webhook URL","Admin Webhook URL"
"The credit card type field needs to be provided. Select the field and try again.","The credit card type field needs to be provided. Select the field and try again."
