"AVS result code","کد نتیجه AVS"
"CVN result code","کد نتیجه CVN"
"Card number","شماره کارت"
"Card expiry date","تاریخ انقضاء کارت"
"Decision","تصمیم"
"Transaction ID","شناسه تراکنش"
"Risk Score","درجه خطر"
"Risk Factor","عامل خطر"
"Reference number","شماره مرجع"
"Excessive address change. The customer changed the billing address two or more times in the last six months","تغییر آدرس بیش از حد مجاز صورت گرفته است. مشتری در طی شش ماه گذشته دو یا چند بار آدرس صورتحساب را تغییر داده است"
"Card BIN or authorization risk. Risk factors a e related to credit card BIN and/or card authorization checks","BIN کارت یا خطر تأیید اعتبار. عوامل خطرساز مربوط به BIN کارت بانکی و/ یا چک های تأیید اعتبار کارت است"
"High number of account numbers. The customer used more than six credit cards numbers in the last six months","تعداد شماره های حساب زیاد است. مشتری بیش از شش شماره کارت بانکی در شش ماه گذشته استفاده کرده است"
"Email address impact. The customer uses a free email provider, or the email address is risky","تأثیر آدرس ایمیل. مشتری از یک ارائه دهنده ایمیل رایگان استفاده می کند، یا آدرس ایمیل پرخطر است"
"Positive list. The customer is on your positive list. Decision Manager Developer Guide Using the Simple Order AP  January 201 10 Appendix  Information and Reply Code","لیست قطعی. مشتری در فهرست قطعی شما قرار دارد. راهنمای توسعه دهندگان مدیریت تصمیم گیری از سفارش ساده AP اطلاعات پیوست ژانویه 201 10 و کد پاسخ استفاده می کند"
"Negative list. The account number, street add ess, email address, or IP address for this order appears on your negative list","لیست منفی. شماره حساب، خیابان، آدرس ایمیل یا آدرس IP برای این سفارش در لیست منفی شما نمایش داده می شود"
"Geolocation inconsistencies. The customer’s email domain, phone number, billing address, shipping address, or IP address is suspicious","ناسازگاری موقعیت جغرافیایی. دامنه ایمیل مشتری، شماره تلفن، آدرس صورتحساب، آدرس ارسال یا آدرس IP مشکوک است"
"Excessive name changes. The customer changed the name two or more times in the last six months","تغییر نام بیش از حد مجاز صورت گرفته است. نام مشتری دو یا چند بار در شش ماه گذشته تغییر کرده است"
