"AVS result code","AVS ප්‍රතිඵල කේතය"
"CVN result code","CVN ප්‍රතිඵල කේතය"
"Card number","කාඩ්පත් අංකය"
"Card expiry date","කාඩ්පත කල් ඉකුත්වන දිනය"
"Decision","තීරණය"
"Transaction ID","ගනුදෙනු හැඳුනුම්පත"
"Risk Score","අවදානම් ලකුණු"
"Risk Factor","අවදානම් සාධකයක්"
"Reference number","යොමු අංකය"
"Excessive address change. The customer changed the billing address two or more times in the last six months","අධික ලිපිනය වෙනස් කිරීම. පාරිභෝගිකයා පසුගිය මාස හය තුළ බිල්පත් ලිපිනය දෙවරක් හෝ වැඩි වාර ගණනක් වෙනස් කළේය"
"Card BIN or authorization risk. Risk factors a e related to credit card BIN and/or card authorization checks","කාඩ්පත් BIN හෝ අවසර අවදානම. අවදානම් සාධක ae ක්‍රෙඩිට් කාඩ් BIN සහ/හෝ කාඩ්පත් අවසර පිරික්සුම් වලට අදාළ වේ"
"High number of account numbers. The customer used more than six credit cards numbers in the last six months","ගිණුම් අංක විශාල ප්‍රමාණයක්. පාරිභෝගිකයා පසුගිය මාස හය තුළ ක්‍රෙඩිට් කාඩ් අංක හයකට වඩා භාවිත කළේය"
"Email address impact. The customer uses a free email provider, or the email address is risky","විද්‍යුත් තැපැල් ලිපිනයේ බලපෑම. පාරිභෝගිකයා නොමිලේ ඊමේල් සපයන්නෙකු භාවිතා කරයි, නැතහොත් ඊමේල් ලිපිනය අවදානම් සහිතයි"
"Positive list. The customer is on your positive list. Decision Manager Developer Guide Using the Simple Order AP  January 201 10 Appendix  Information and Reply Code","ධනාත්මක ලැයිස්තුව. පාරිභෝගිකයා ඔබේ ධනාත්මක ලැයිස්තුවේ සිටී. සරල ඇණවුම භාවිතා කරමින් තීරණ කළමනාකරු සංවර්ධක මාර්ගෝපදේශය AP ජනවාරි 201 10 ඇමුණුම් තොරතුරු සහ පිළිතුරු කේතය"
"Negative list. The account number, street add ess, email address, or IP address for this order appears on your negative list","සෘණ ලැයිස්තුව. මෙම ඇණවුම සඳහා ගිණුම් අංකය, වීදි එකතු කිරීමේ ලිපිය, ඊමේල් ලිපිනය හෝ IP ලිපිනය ඔබගේ සෘණ ලැයිස්තුවේ දිස්වේ"
"Geolocation inconsistencies. The customer’s email domain, phone number, billing address, shipping address, or IP address is suspicious","භූ ස්ථානගත නොගැලපීම්. පාරිභෝගිකයාගේ ඊමේල් වසම, දුරකථන අංකය, බිල්පත් ලිපිනය, නැව්ගත කිරීමේ ලිපිනය, හෝ IP ලිපිනය සැක සහිතය"
"Excessive name changes. The customer changed the name two or more times in the last six months","අධික නම් වෙනස් වීම. පාරිභෝගිකයා පසුගිය මාස හය තුළ දෙවරක් හෝ වැඩි වාර ගණනක් නම වෙනස් කළේය"
"Internet inconsistencies. The IP address  nd email domain are not consistent with the billing address","අන්තර්ජාලයේ නොගැලපීම්. IP ලිපිනය සහ ඊමේල් වසම බිල්පත් ලිපිනයට අනුකූල නොවේ"
"Nonsensical input. The customer name and address fields contain meaningless words or language","විකාර ආදානය. පාරිභෝගික නාමය සහ ලිපින ක්ෂේත්‍රවල තේරුමක් නැති වචන හෝ භාෂාවක් අඩංගු වේ"
"Obscenities. The customer’s input contains obscene words","අසභ්ය දේවල්. පාරිභෝගිකයාගේ ආදානයේ අසභ්‍ය වචන අඩංගු වේ"
"Identity morphing. Multiple values of an  dentity element are linked to a value of a different identity element. For example, m ltiple phone numbers are linked to a single account number","අනන්‍යතා රූපකරණය. දන්ත මූලද්‍රව්‍යයක බහුවිධ අගයන් වෙනස් අනන්‍යතා මූලද්‍රව්‍යයක අගයකට සම්බන්ධ වේ. උදාහරණයක් ලෙස, m ltiple දුරකථන අංක තනි ගිණුම් අංකයකට සම්බන්ධ කර ඇත"
"Phone inconsistencies. The customer’s phone number is suspicious","දුරකථන නොගැලපීම්. පාරිභෝගිකයාගේ දුරකථන අංකය සැක සහිතය"
"Risky order. The transaction, customer, and merchant information show multiple high-risk correlations","අවදානම් අනුපිළිවෙල. ගනුදෙනුව, පාරිභෝගික සහ වෙළඳ තොරතුරු බහුවිධ අධි අවදානම් සහසම්බන්ධතා පෙන්වයි"
"Time hedge. The customer is attempting a purchase outside of the expected hours","ටයිම් හෙජ්. පාරිභෝගිකයා අපේක්ෂිත පැය ගණනින් පිටත මිලදී ගැනීමට උත්සාහ කරයි"
"Unverifiable address. The billing or shipping address cannot be verified","සත්‍යාපනය කළ නොහැකි ලිපිනය. බිල්පත් හෝ නැව්ගත කිරීමේ ලිපිනය සත්‍යාපනය කළ නොහැක"
"Velocity. The account number was use  many times in the past 15 minutes","ප්‍රවේගය. ගිණුම් අංකය පසුගිය විනාඩි 15 තුළ බොහෝ වාර ගණනක් භාවිත කර ඇත"
"Marked as suspect. The billing or shipping address is similar to an address previously marked as suspect","සැක සහිත ලෙස සලකුණු කර ඇත. බිල්පත් හෝ නැව්ගත කිරීමේ ලිපිනය කලින් සැක සහිත ලෙස සලකුණු කළ ලිපිනයකට සමාන වේ"
"Gift Order. The street address, city, state, or country of the billing and shipping addresses do not correlate","තෑගි ඇණවුම. බිල්පත් සහ නැව්ගත කිරීමේ ලිපිනවල වීදි ලිපිනය, නගරය, ප්‍රාන්තය හෝ රට සහසම්බන්ධ නොවේ"
