"AVS result code","Código de resultado AVS"
"CVN result code","Código de resultado CVN"
"Card number","Número do cartão"
"Card expiry date","Data de Validade do Cartão"
"Decision","Decisão"
"Transaction ID","ID da Transação"
"Risk Score","Pontuação de Risco"
"Risk Factor","Fator de Risco"
"Reference number","Número de referência"
"Excessive address change. The customer changed the billing address two or more times in the last six months","Mudança de endereço excessiva. O cliente mudou o endereço de cobrança duas ou mais vezes nos últimos seis meses"
"Card BIN or authorization risk. Risk factors a e related to credit card BIN and/or card authorization checks","Cartão BIN ou risco de autorização. Fatores de risco estão relacionados ao cartão de crédito BIN e/ou verificações de autorização de cartão"
"High number of account numbers. The customer used more than six credit cards numbers in the last six months","Elevado número de números de contas. O cliente usou mais de seis números de cartões de crédito nos últimos seis meses"
"Email address impact. The customer uses a free email provider, or the email address is risky","Impacto do endereço de e-mail. O cliente usa um provedor de e-mail gratuito, ou o endereço de e-mail é arriscado"
"Positive list. The customer is on your positive list. Decision Manager Developer Guide Using the Simple Order AP  January 201 10 Appendix  Information and Reply Code","Lista positiva. O cliente está na sua lista positiva. Decision Manager Developer Guide Using the Simple Order AP  January 201 10 Appendix  Information and Reply Code"
"Negative list. The account number, street add ess, email address, or IP address for this order appears on your negative list","Lista negativa. O número da conta, morada, endereço de e-mail ou endereço IP para este pedido aparece na sua lista negativa"
"Geolocation inconsistencies. The customer’s email domain, phone number, billing address, shipping address, or IP address is suspicious","Inconsistências de geolocalização. Domínio de e-mail do cliente, número de telefone, endereço de cobrança, endereço de entrega ou endereço IP é suspeito"
"Excessive name changes. The customer changed the name two or more times in the last six months","Mudanças de nome excessiva. O cliente mudou de nome duas ou mais vezes nos últimos seis meses"
"Internet inconsistencies. The IP address  nd email domain are not consistent with the billing address","Inconsistências de Internet. O domínio de e-mail e de endereço IP não são consistentes com o endereço de cobrança"
"Nonsensical input. The customer name and address fields contain meaningless words or language","Entrada sem sentido. Os campos de nome e endereço do cliente contêm palavras ou linguagem sem sentido"
"Obscenities. The customer’s input contains obscene words","Obscenidades. Entrada do cliente contém palavras obscenas"
"Identity morphing. Multiple values of an  dentity element are linked to a value of a different identity element. For example, m ltiple phone numbers are linked to a single account number","Transformação de Identidade. Vários valores de um elemento de identificação estão ligados a um valor de um elemento de identidade diferente. Por exemplo, múltiplos números de telefone estão ligados a um número de conta única"
"Phone inconsistencies. The customer’s phone number is suspicious","Inconsistências de telefone. Número de telefone do cliente é suspeito"
"Risky order. The transaction, customer, and merchant information show multiple high-risk correlations","Pedido arriscado. A transação, o cliente e as informações do comerciante mostram várias correlações de alto risco"
"Time hedge. The customer is attempting a purchase outside of the expected hours","Tempo de cobertura. O cliente está a tentar fazer uma compra fora do horário esperado"
"Unverifiable address. The billing or shipping address cannot be verified","Morada não verificável. A morada de faturação ou de envio não pode ser verificada"
"Velocity. The account number was use  many times in the past 15 minutes","Velocidade. O número da conta foi utilizado muitas vezes nos últimos 15 minutos"
"Marked as suspect. The billing or shipping address is similar to an address previously marked as suspect","Marcado como suspeito. O faturamento ou o endereço de entrega é semelhante a um endereço previamente marcado como suspeito"
"Gift Order. The street address, city, state, or country of the billing and shipping addresses do not correlate","Encomenda para Oferecer. As moradas de faturação e envio não correspondem"
"Invalid value. Because the request contains an unexpected value, a default value was substituted. Although the transact on can still be processed, examine the request carefully for abnormalities in the order","Valor inválido. O pedido contém um valor inesperado, o que causou a substituição de um valor pré-definido. Apesar da transação ainda poder ser processada, pedimos que examine a encomenda com cuidado para procurar anormalidades na mesma"
"Unknown factor. Please contact Cybersource customer service","Fator desconhecido. Por favor contacte o serviço de apoio ao cliente da Cybersource"
"Payment Token Build Error.","Erro na Geração do Token de Pagamento."
"Your payment has been declined. Please try again.","O seu pagamento foi recusado. Por favor, tente novamente."
"CC type field should be provided","O tipo do CC deve ser fornecido"
"Gateway validation error","Erro de validação de gateway"
"Authorize","Autorizar"
"Authorize and Capture","Autorizar e capturar"
"Risk Factor Q","Fator de risco Q"
"Risk Factor V","Fator de risco V"
"Place Order","Encomendar"
"Cybersource","CyberSource"
"Enabled","Ativo"
"Payment Action","Ação de Pagamento"
"Title","Título"
"Merchant ID","ID do Comerciante"
"Transaction Key","Chave de Transação"
"Profile ID","ID do perfil"
"Access Key","Chave de acesso"
"Secret Key","Chave secreta"
"New Order Status","Estado da Nova Encomenda"
"Test Mode","Modo de Teste"
"Debug","Depurar"
"Credit Card Types","Tipos de Cartão de Crédito"
"Payment from Applicable Countries","Pagamento de Países Aplicáveis"
"Payment from Specific Countries","Pagamento de Países Específicos"
"Minimum Order Total","Valor Mínimo da Encomenda"
"Maximum Order Total","Valor Máximo da Encomenda"
"Sort Order","Ordenação"
"Authorize Only","Autorizar apenas"
"Webhook URL","Webhook URL"
"Webhook URL should be set in your Cybersource account as Transaction Response Page.","Webhook URL should be set in your Cybersource account as Transaction Response Page."
"Is admin panel works on the different domain?","Is admin panel works on the different domain?"
"Admin Profile ID","Admin Profile ID"
"Admin Access Key","Admin Access Key"
"Admin Secret Key","Admin Secret Key"
"Admin Webhook URL","Admin Webhook URL"
"The credit card type field needs to be provided. Select the field and try again.","The credit card type field needs to be provided. Select the field and try again."
