"AVS result code","AVS резултат код"
"CVN result code","CVN резултат код"
"Card number","Номер на карта"
"Card expiry date","Датата на изтичане на картата"
"Decision","Решение"
"Transaction ID","ID на транзакция"
"Risk Score","Рисков резултат"
"Risk Factor","Рисков фактор"
"Reference number","Референтен номер"
"Excessive address change. The customer changed the billing address two or more times in the last six months","Прекомерна адресна промяна. Клиентът променя адреса на фактуриране два или повече пъти през последните шест месеца"
"Card BIN or authorization risk. Risk factors a e related to credit card BIN and/or card authorization checks","Карта СК или разрешение риск. Рискови фактори e свързано с кредитна карта СК и/или карта разрешение проверки"
"High number of account numbers. The customer used more than six credit cards numbers in the last six months","Голям брой номера на сметки. Клиентът използва повече от шест кредитни карти, номера в последните шест месеца"
"Email address impact. The customer uses a free email provider, or the email address is risky","Имейл адрес на въздействие. Клиентът използва безплатен имейл доставчик, или имейл адрес е рискован"
"Positive list. The customer is on your positive list. Decision Manager Developer Guide Using the Simple Order AP  January 201 10 Appendix  Information and Reply Code","Положителен списък. Клиентът е във вашия положителен списък. Решение мениджър разработчик ръководство за използване на прости поръчате AP януари 201 10 допълнение информация и код на отговор"
"Negative list. The account number, street add ess, email address, or IP address for this order appears on your negative list","Отрицателен списък. Номерът на сметката, улица ЕСС, имейл адрес или IP адрес за този ред се появява във вашия списък на отрицателно"
"Geolocation inconsistencies. The customer’s email domain, phone number, billing address, shipping address, or IP address is suspicious","Има несъответствия в местоположението. Домейнът на електронната поща, телефона, адреса за фактуриране, адреса за доставка или IP адреса на клиента са подозрителни"
"Excessive name changes. The customer changed the name two or more times in the last six months","Прекомерни промени на име. Клиентът променя името два или повече пъти през последните шест месеца"
"Internet inconsistencies. The IP address  nd email domain are not consistent with the billing address","Интернет несъответствия. IP адрес nd имейл домейна не са съвместими с адреса за фактуриране"
"Nonsensical input. The customer name and address fields contain meaningless words or language","Безсмислен вход. Клиент име и адрес полета съдържат безсмислени думи или език"
"Obscenities. The customer’s input contains obscene words","Гнусотии. Въвеждане на клиента съдържа нецензурни думи"
"Identity morphing. Multiple values of an  dentity element are linked to a value of a different identity element. For example, m ltiple phone numbers are linked to a single account number","Самоличност. Множество стойности на dentity елемент са свързани със стойност на различна самоличност елемент. За пример няколко телефонни номера са свързани с един акаунт номер"
"Phone inconsistencies. The customer’s phone number is suspicious","Несъответствия в телфона. Телефона на клиента е подозрителен"
"Risky order. The transaction, customer, and merchant information show multiple high-risk correlations","Рискова поръчка. Транзакцията, клиент и търговец информация показват множество високорискови корелации"
"Time hedge. The customer is attempting a purchase outside of the expected hours","Време. Клиентът се опитва да направи покупка извън очакваните часове"
"Unverifiable address. The billing or shipping address cannot be verified","Недоказуем адрес. Адрес на фактуриране или доставка не може да се проверява"
"Velocity. The account number was use  many times in the past 15 minutes","Скорост. Номера на сметката е употребен много пъти през последните 15 минути"
"Marked as suspect. The billing or shipping address is similar to an address previously marked as suspect","Маркирано като заподозрян. Таксуване или адрес за доставка е подобен на адрес по-рано маркиран като заподозрян"
"Gift Order. The street address, city, state, or country of the billing and shipping addresses do not correlate","Поръчка за подарък. Адрес на улица, град, държава или страната на плащане и транспортни адреси не корелират"
"Invalid value. Because the request contains an unexpected value, a default value was substituted. Although the transact on can still be processed, examine the request carefully for abnormalities in the order","Невалидна стойност. Тъй като искането съдържа неочаквана стойност, стойността по подразбиране е заместил. Въпреки че преговарям върху все още могат да бъдат обработени, разглежда искането внимателно за аномалии в ред"
"Unknown factor. Please contact Cybersource customer service","Неизвестен фактор. Моля свържете се с обслужване на Cybersource"
"Payment Token Build Error.","Грешка в символ на изграждане на плащане."
"Your payment has been declined. Please try again.","Вашето плащане е било отхвърлено. Моля, опитайте отново."
"CC type field should be provided","СС тип поле трябва да бъде предоставен"
"Gateway validation error","Грешка при проверка на шлюз"
"Authorize","Разреши"
"Authorize and Capture","Оторизирай и запиши"
"Risk Factor Q","Рисков фактор Q"
"Risk Factor V","Рисков фактор V"
"Place Order","Направи поръчка"
"Cybersource","Cybersource"
"Enabled","Активиран"
"Payment Action","Платежно действие"
"Title","Заглавиe"
"Merchant ID","Идентификационен номер на търговеца"
"Transaction Key","Транзакция ключ"
"Profile ID","ИД на профил"
"Access Key","Ключ за достъп"
"Secret Key","Секретен ключ"
"New Order Status","Статус нова поръчка"
"Test Mode","Тестов режим"
"Debug","Дебъг"
"Credit Card Types","Типове кредитни карти"
"Payment from Applicable Countries","Плащане от приложимите страни"
"Payment from Specific Countries","Плащане от определени страни"
"Minimum Order Total","Минимална стойност на поръчка"
"Maximum Order Total","Максимална стойност на поръчка"
"Sort Order","Ред на сортиране"
"Authorize Only","Само Authorize"
"Webhook URL","Webhook URL"
"Webhook URL should be set in your Cybersource account as Transaction Response Page.","Webhook URL трябва да зададен в Cybersource профила като Transaction Response Page."
"Is admin panel works on the different domain?","Работи ли Административния панел на друг домейн?"
"Admin Profile ID","ID на административния профил"
"Admin Access Key","Административен Ключ за достъп"
"Admin Secret Key","Секретен Административен ключ"
"Admin Webhook URL","Административен Webhook URL"
"The credit card type field needs to be provided. Select the field and try again.","Трябва да се предостави полето за типа кредитна карта. Изберете полето и опитайте отново."
