"AVS result code","Código AVS"
"CVN result code","Código CVN"
"Card number","Numero de tarjeta"
"Card expiry date","Fecha de vencimiento de la tarjeta"
"Decision","Decisión"
"Transaction ID","Número identificativo de la transacción"
"Risk Score","Calificación de riesgo"
"Risk Factor","Factor de riesgo"
"Reference number","Número de referencia"
"Excessive address change. The customer changed the billing address two or more times in the last six months","Cambio de dirección excesivo. El cliente cambió la dirección de facturación dos o más veces en los últimos seis meses"
"Card BIN or authorization risk. Risk factors a e related to credit card BIN and/or card authorization checks","Riesgo de tarjeta BIN o de autorización. Los factores de riesgo se relacionan con la tarjeta de crédito BIN y/o comprobaciones de autorización de tarjeta"
"High number of account numbers. The customer used more than six credit cards numbers in the last six months","Alta cantidad de números de cuenta. El cliente utilizó más de seis números de tarjetas de crédito en los últimos seis meses"
"Email address impact. The customer uses a free email provider, or the email address is risky","Impacto de la dirección de correo electrónico. El cliente utiliza un proveedor de correo electrónico gratuito, o la dirección de correo electrónico es riesgosa"
"Positive list. The customer is on your positive list. Decision Manager Developer Guide Using the Simple Order AP  January 201 10 Appendix  Information and Reply Code","Lista positiva. El cliente está en la lista positiva. Guía del desarrollador de Manager de decisión utilizando el Simple orden AP de 201 enero 10 Apéndice información y código de respuesta"
"Negative list. The account number, street add ess, email address, or IP address for this order appears on your negative list","Lista negativa. El número de cuenta, dirección postal, dirección de correo electrónico o dirección IP para este fin aparece en su lista negativa"
"Geolocation inconsistencies. The customer’s email domain, phone number, billing address, shipping address, or IP address is suspicious","Inconsistencias de la geolocalización. El dominio de correo electrónico, número de teléfono, dirección de facturación, dirección de envío o dirección IP del cliente son sospechosos"
"Excessive name changes. The customer changed the name two or more times in the last six months","Cambio de nombre excesivo. El cliente cambió el nombre dos o más veces en los últimos seis meses"
"Internet inconsistencies. The IP address  nd email domain are not consistent with the billing address","Incoherencias de Internet. La dirección IP y el dominio de correo electrónico no son consistentes con la dirección de facturación"
"Nonsensical input. The customer name and address fields contain meaningless words or language","Entrada sin sentido. Los campos de nombre y dirección del cliente contienen lenguaje o palabras sin sentido"
"Obscenities. The customer’s input contains obscene words","Obscenidades. Entrada del cliente contiene palabras obscenas"
"Identity morphing. Multiple values of an  dentity element are linked to a value of a different identity element. For example, m ltiple phone numbers are linked to a single account number","Identidad morphing. Los valores múltiples de un elemento de identidad están vinculados a un valor de un elemento de identidad diferente. Por ejemplo, varios números de teléfono están vinculadas a un único número de cuenta"
"Phone inconsistencies. The customer’s phone number is suspicious","Inconsistencias del teléfono. Número de teléfono del cliente es sospechoso"
"Risky order. The transaction, customer, and merchant information show multiple high-risk correlations","Orden de riesgo. La información de transacción, cliente y comerciante muestran correlaciones múltiples de alto riesgo"
"Time hedge. The customer is attempting a purchase outside of the expected hours","Cobertura de tiempo. El cliente está intentando una compra fuera del horario previsto"
"Unverifiable address. The billing or shipping address cannot be verified","Dirección no comprobable. No se puede verificar la dirección de facturación o envío"
"Velocity. The account number was use  many times in the past 15 minutes","Velocidad. El número de cuenta fue uso muchas veces en los últimos 15 minutos"
"Marked as suspect. The billing or shipping address is similar to an address previously marked as suspect","Marcado como sospechoso. La facturación o la dirección de envío es similar a una dirección previamente marcada como sospechoso"
"Gift Order. The street address, city, state, or country of the billing and shipping addresses do not correlate","Orden de regalo. La dirección de la calle, ciudad, estado o país de las direcciones de facturación y envío no se correlacionan"
"Invalid value. Because the request contains an unexpected value, a default value was substituted. Although the transact on can still be processed, examine the request carefully for abnormalities in the order","Valor no válido. Debido a que la solicitud contiene un valor inesperado, se sustituyó un valor predeterminado. Aunque el de realizar transacciones todavía se puede procesar, analizar la solicitud cuidadosamente para detectar anomalías en el orden"
"Unknown factor. Please contact Cybersource customer service","Factor desconocido. Por favor, póngase en contacto con servicio al cliente de Cybersource"
"Payment Token Build Error.","El pago simbólico de error de generación."
"Your payment has been declined. Please try again.","Su pago se ha rechazado. Por favor, inténtelo de nuevo."
"CC type field should be provided","Debe proporcionarse campo de tipo CC"
"Gateway validation error","Error de validación de Gateway"
"Authorize","Autorizar"
"Authorize and Capture","Autorizar y capturar"
"Risk Factor Q","Factor de riesgo Q"
"Risk Factor V","Factor de riesgo V"
"Place Order","Realizar pedido"
"Cybersource","Cybersource"
"Enabled","Habilitado"
"Payment Action","Acción de pago"
"Title","Título"
"Merchant ID","Identificación del comerciante"
"Transaction Key","Clave de transacción"
"Profile ID","ID de perfil"
"Access Key","Tecla de acceso"
"Secret Key","Clave secreta"
"New Order Status","Nuevo estado del pedido"
"Test Mode","Modo de prueba"
"Debug","Depurar"
"Credit Card Types","Tipos de tarjeta de crédito"
"Payment from Applicable Countries","Pago desde países aceptados"
"Payment from Specific Countries","Pago desde países específicos"
"Minimum Order Total","Total mínimo del pedido"
"Maximum Order Total","Total máximo del pedido"
"Sort Order","Ordenación"
"Authorize Only","Sólo autorizar"
"Webhook URL","URL Webhook"
"Webhook URL should be set in your Cybersource account as Transaction Response Page.","La URL del Webhook debe ser establecida en su cuenta Cybersource como Página de Respuesta a Transacción."
"Is admin panel works on the different domain?","¿Funciona el panel de administración en el dominio diferente?"
"Admin Profile ID","Identificador de Perfil de Administrador"
"Admin Access Key","Clave de Acceso de Admin"
"Admin Secret Key","Clave Secreta de Admin"
"Admin Webhook URL","URL de Webhook Admin"
"The credit card type field needs to be provided. Select the field and try again.","El tipo de tarjeta de crédito debe ser proporcionado. Seleccione el campo y vuelva a intentarlo."
