"AVS result code","Kết quả mã AVS"
"CVN result code","Kết quả mã CVN"
"Card number","Số thẻ"
"Card expiry date","Hạn sử dụng thẻ"
"Decision","Quyết định"
"Transaction ID","ID giao dịch"
"Risk Score","Điểm rủi ro"
"Risk Factor","Yếu tố mạo hiểm"
"Reference number","Số tham chiếu"
"Excessive address change. The customer changed the billing address two or more times in the last six months","Quá nhiều địa chỉ thay đổi. Khách hàng thay đổi địa chỉ thanh toán hai hoặc nhiều lần trong sáu tháng qua"
"Card BIN or authorization risk. Risk factors a e related to credit card BIN and/or card authorization checks","Thẻ BIN hoặc ủy quyền nguy cơ. Yếu tố nguy cơ một điện tử liên quan đến thẻ tín dụng BIN và/hoặc thẻ ủy quyền kiểm tra"
"High number of account numbers. The customer used more than six credit cards numbers in the last six months","Số lượng tài khoản số cao. Khách hàng sử dụng thẻ tín dụng nhiều hơn sáu con số trong sáu tháng qua"
"Email address impact. The customer uses a free email provider, or the email address is risky","Tác động đến địa chỉ email. Khách hàng sử dụng một nhà cung cấp email miễn phí, hoặc địa chỉ email là nguy hiểm"
"Positive list. The customer is on your positive list. Decision Manager Developer Guide Using the Simple Order AP  January 201 10 Appendix  Information and Reply Code","Danh sách tích cực. Khách hàng ở trong danh sách tích cực của bạn. Hướng dẫn phát triển quyết định quản lý, sử dụng phụ lục thông tin đơn hàng AP Tháng một đơn giản 201 10  và mã số trả lời"
"Negative list. The account number, street add ess, email address, or IP address for this order appears on your negative list","Danh sách tiêu cực. Số tài khoản, đường thêm ess, địa chỉ email, hoặc địa chỉ IP cho các đơn đặt hàng này xuất hiện trên danh sách của bạn tiêu cực"
"Geolocation inconsistencies. The customer’s email domain, phone number, billing address, shipping address, or IP address is suspicious","Vị trí địa lý mâu thuẫn. Email tên miền của khách hàng, số điện thoại, địa chỉ thanh toán của Đức, địa chỉ giao hàng, hoặc địa chỉ IP là đáng ngờ"
"Excessive name changes. The customer changed the name two or more times in the last six months","Thay đổi quá nhiều tên. Khách hàng đã đổi tên thành hai hoặc nhiều lần trong sáu tháng qua"
"Internet inconsistencies. The IP address  nd email domain are not consistent with the billing address","Internet không nhất quán. Địa chỉ IP và email tên miền là không phù hợp với địa chỉ thanh toán"
"Nonsensical input. The customer name and address fields contain meaningless words or language","Đầu vào vô nghĩa. Tên và địa chỉ của khách hàng có chứa từ ngữ hoặc ngôn ngữ vô nghĩa"
"Obscenities. The customer’s input contains obscene words","Sự tục tĩu. Đầu vào của khách hàng chứa các từ tục tĩu"
"Identity morphing. Multiple values of an  dentity element are linked to a value of a different identity element. For example, m ltiple phone numbers are linked to a single account number","Danh tính kỹ xảo. Nhiều giá trị của một nguyên tố xác định được liên kết với một giá trị của một phần tử nhận dạng khác nhau. Ví dụ, nhiều số điện thoại được liên kết với một số tài khoản"
"Phone inconsistencies. The customer’s phone number is suspicious","Điện thoại không nhất quán. Số điện thoại của khách hàng là đáng ngờ"
"Risky order. The transaction, customer, and merchant information show multiple high-risk correlations","Đơn hàng nguy hiểm. Thông tin giao dịch, khách hàng và thương gia hiển thị nhiều mối tương quan nhiều rủi ro"
"Time hedge. The customer is attempting a purchase outside of the expected hours","Thời gian hàng rào. Khách hàng đang cố gắng mua hàng ngoài giờ dự kiến"
"Unverifiable address. The billing or shipping address cannot be verified","Địa chỉ chưa được kiểm chứng. Địa chỉ thanh toán hoặc vận chuyển không được xác minh"
"Velocity. The account number was use  many times in the past 15 minutes","Nhanh chóng. Số tài khoản là sử dụng nhiều lần trong quá khứ 15 phút"
"Marked as suspect. The billing or shipping address is similar to an address previously marked as suspect","Được đánh dấu nghi ngờ. Thanh toán hoặc địa chỉ vận chuyển là tương tự như một địa chỉ trước đó được đánh dấu nghi ngờ"
"Gift Order. The street address, city, state, or country of the billing and shipping addresses do not correlate","Đặt hàng Quà tặng. Địa chỉ đường phố, thành phố, tiểu bang hoặc quốc gia của thanh toán và vận chuyển địa chỉ không tương quan"
"Invalid value. Because the request contains an unexpected value, a default value was substituted. Although the transact on can still be processed, examine the request carefully for abnormalities in the order","Giá trị không hợp lệ. Vì yêu cầu có chứa một giá trị bất ngờ, một giá trị mặc định đã được thay thế. Mặc dù giao dịch trên vẫn có thể được xử lý, kiểm tra các yêu cầu một cách cẩn thận cho bất thường theo thứ tự"
