"AVS result code","Kod wyników AVS"
"CVN result code","Kod wyników CVN"
"Card number","Numer karty"
"Card expiry date","Karta ważna do"
"Decision","Decyzja"
"Transaction ID","Identyfikator transakcji"
"Risk Score","Ocena ryzyka"
"Risk Factor","Czynnik ryzyka"
"Reference number","Numer referencyjny"
"Excessive address change. The customer changed the billing address two or more times in the last six months","Częsta zmiana adresu. Klient zmienił adres rozliczeniowy dwa lub więcej razy w ciągu ostatnich sześciu miesięcy"
"Card BIN or authorization risk. Risk factors a e related to credit card BIN and/or card authorization checks","Ryzyko BIN lub autoryzacji karty. Czynniki ryzyka związane z kartą kredytową BIN lub kontrolą autoryzacji karty"
"High number of account numbers. The customer used more than six credit cards numbers in the last six months","Duża liczba numerów kont. Klienta użył więcej niż sześć numerów kart kredytowych w ciągu ostatnich sześciu miesięcy"
"Email address impact. The customer uses a free email provider, or the email address is risky","Wpływ adresu e-mail. Klient używa darmowego dostawcy poczty elektronicznej, lub adres e-mail jest podejrzany"
"Positive list. The customer is on your positive list. Decision Manager Developer Guide Using the Simple Order AP  January 201 10 Appendix  Information and Reply Code","Lista pozytywna. Klient jest na liście pozytywnej. Poradnik Zarządzania Decyzją dla Programistów Używających Prostego Zamówienia AP ze stycznia 201 10 dodatku Informacji i Kodu Odpowiedzi"
"Negative list. The account number, street add ess, email address, or IP address for this order appears on your negative list","Lista negatywna. Numer konta, ulica, adres e-mail lub adres IP dla tego zamówienia pojawia się na liście negatywne"
"Geolocation inconsistencies. The customer’s email domain, phone number, billing address, shipping address, or IP address is suspicious","Niespójności geolokacji. Domena adresu e-mail klienta, numer telefonu, adres rozliczeniowy, adres wysyłkowy lub adres IP klienta są podejrzane"
"Excessive name changes. The customer changed the name two or more times in the last six months","Nadmierne zmiany nazwy. Klient zmienił nazwę dwa lub więcej razy w ciągu ostatnich sześciu miesięcy"
"Internet inconsistencies. The IP address  nd email domain are not consistent with the billing address","Niespójności Internetu. Adres IP i domena e-mail nie są zgodne z adresem rozliczeniowym"
"Nonsensical input. The customer name and address fields contain meaningless words or language","Bezsensowne dane wejściowe. Pola nazwy i adresu klienta zawierają słowa lub język nie mające znaczenia"
"Obscenities. The customer’s input contains obscene words","Obsceniczność. Dane wejściowe klienta zawiera wulgaryzmy"
"Identity morphing. Multiple values of an  dentity element are linked to a value of a different identity element. For example, m ltiple phone numbers are linked to a single account number","Metamorfozy tożsamości. Wiele wartości elementu tożsamości są połączone z wartościami elementów różnych tożsamości. Na przykład wiele numerów telefonicznych jest połączonych z jednym kontem"
"Phone inconsistencies. The customer’s phone number is suspicious","Niespójność telefonu. Numer telefonu klienta jest podejrzany"
"Risky order. The transaction, customer, and merchant information show multiple high-risk correlations","Ryzykowne zamówienia. Transakcja, klient i informacja handlowa pokazuje wiele korelacji wysokiego ryzyka"
"Time hedge. The customer is attempting a purchase outside of the expected hours","Ramy czasowe. Klient próbuje dokonać zakupu poza zwykłymi godzinami"
"Unverifiable address. The billing or shipping address cannot be verified","Adres niemożliwy do zweryfikowania. Nie można zweryfikować adresu rozliczeniowego lub adresu wysyłki"
"Velocity. The account number was use  many times in the past 15 minutes","Pilne. Numer konta był wykorzystany wiele razy w ciągu ostatnich 15 minut"
"Marked as suspect. The billing or shipping address is similar to an address previously marked as suspect","Oznaczone jako podejrzane. Adres rozliczeniowy lub adres wysyłki są podobne do adresu poprzednio oznaczonego jako podejrzany"
"Gift Order. The street address, city, state, or country of the billing and shipping addresses do not correlate","Zamówienie prezent. Adres, miasto, region lub kraj płatności adresów rozliczenia i wysyłki nie korelują ze sobą"
"Invalid value. Because the request contains an unexpected value, a default value was substituted. Although the transact on can still be processed, examine the request carefully for abnormalities in the order","Nieprawidłowa wartość. Ponieważ zapytanie zawiera nieoczekiwaną wartość, została zastąpiona wartością domyślną. Chociaż transakcja nadal może być przetworzona, zbadaj ją z punktu widzenia o nieprawidłowości w zamówieniu"
"Unknown factor. Please contact Cybersource customer service","Nieznany czynnik. Skontaktuj się z obsługa klienta Cybersource"
"Payment Token Build Error.","Błąd kompilacji tokenu płatności."
"Your payment has been declined. Please try again.","Twoja płatność została odrzucona. Proszę spróbować ponownie."
"CC type field should be provided","Należy podać pole CC"
"Gateway validation error","Błąd sprawdzania poprawności bramy"
"Authorize","Autoryzujautoryzuj"
"Authorize and Capture","Autoryzuj i przechwyć"
"Risk Factor Q","Czynnik ryzyka Q"
"Risk Factor V","Czynnik ryzyka V"
"Place Order","Złóż zamówienie"
"Cybersource","CyberSource"
"Enabled","Włączone"
"Payment Action","Akcja płatności"
"Title","Tytuł"
"Merchant ID","ID sprzedawcy"
"Transaction Key","Klucz transakcji"
"Profile ID","Identyfikator profilu"
"Access Key","Klucz dostępu"
"Secret Key","Tajny klucz"
"New Order Status","Status nowego zamówienia"
"Test Mode","Tryb testowy"
"Debug","Tryb debug"
"Credit Card Types","Typy kart kredytowych"
"Payment from Applicable Countries","Płatność ze stosownych krajów"
"Payment from Specific Countries","Płatność z wybranych krajów"
"Minimum Order Total","Minimalna suma zamówienia"
"Maximum Order Total","Maksymalna suma zamówienia"
"Sort Order","Kolejność sortowania"
"Authorize Only","Tylko autoryzacja"
"Webhook URL","Webhook URL"
"Webhook URL should be set in your Cybersource account as Transaction Response Page.","Webhook URL should be set in your Cybersource account as Transaction Response Page."
"Is admin panel works on the different domain?","Is admin panel works on the different domain?"
"Admin Profile ID","Admin Profile ID"
"Admin Access Key","Admin Access Key"
"Admin Secret Key","Admin Secret Key"
"Admin Webhook URL","Admin Webhook URL"
"The credit card type field needs to be provided. Select the field and try again.","The credit card type field needs to be provided. Select the field and try again."
