"AVS result code","AVS-Ergebniscode"
"CVN result code","CVN Ergebnis-Abkürzung"
"Card number","Kartennummer"
"Card expiry date","Gültig bis"
"Decision","Entscheidung"
"Transaction ID","Transaktions ID"
"Risk Score","Risiko-Bewertung"
"Risk Factor","Risikofaktor"
"Reference number","Referenznummer"
"Excessive address change. The customer changed the billing address two or more times in the last six months","Zu häufige Adressänderungen. Der Kunde hat die Rechnungsadresse in den letzten sechs Monaten zwei oder mehr Mal geändert"
"Card BIN or authorization risk. Risk factors a e related to credit card BIN and/or card authorization checks","Karte BIN oder Autorisierung Risiko. Risikofaktoren im Zusammenhang mit Kreditkarten BIN und/oder Karte Berechtigungsprüfungen"
"High number of account numbers. The customer used more than six credit cards numbers in the last six months","Hohe Anzahl Kontonummern. Der Kunde hat in den letzten sechs Monaten mehr als sechs Kreditkartennummern verwendet"
"Email address impact. The customer uses a free email provider, or the email address is risky","E-Mail-Adressen-Auswirkung. Der Kunde verwendet einen kostenlosen E-Mail-Provider oder die E-Mail-Adresse ist riskant."
"Positive list. The customer is on your positive list. Decision Manager Developer Guide Using the Simple Order AP  January 201 10 Appendix  Information and Reply Code","Positivliste. Der Kunde ist in Ihrer Positivliste."
"Negative list. The account number, street add ess, email address, or IP address for this order appears on your negative list","Negativliste. Die Kontonummer, Adresse, E-Mail-Adresse oder IP-Adresse für diese Bestellung erscheint auf Ihrer Negativliste."
"Geolocation inconsistencies. The customer’s email domain, phone number, billing address, shipping address, or IP address is suspicious","Standort-Inkonsistenz. Die E-Mail Domain, Telefonnummer, Rechnungsadresse, Lieferadresse oder IP-Adresse des Kunden ist verdächtig"
"Excessive name changes. The customer changed the name two or more times in the last six months","Zu häufige Namensänderungen. Der Kunde hat den Namen in den letzten sechs Monaten mindestens zweimal geändert"
"Internet inconsistencies. The IP address  nd email domain are not consistent with the billing address","Internetwidersprüche. Die IP-Adresse und E-Mail-Domain stimmen nicht mit der Rechnungsadresse überein."
"Nonsensical input. The customer name and address fields contain meaningless words or language","Eingaben ohne Sinn. Die Felder für den Kundennamen und die Adresse enthalten bedeutungslose Wörter oder Sprachen"
"Obscenities. The customer’s input contains obscene words","Obszönitäten. Die Eingabe des Kunden enthält obszöne Worte."
"Identity morphing. Multiple values of an  dentity element are linked to a value of a different identity element. For example, m ltiple phone numbers are linked to a single account number","Identitätszusammenführung. Mehrere Werte eines Identitätselements sind mit einem Wert eines anderen Identitätselements verknüpft. Zum Beispiel sind mehrere Telefonnummern mit einer einzigen Kontonummer verknüpft"
"Phone inconsistencies. The customer’s phone number is suspicious","Konflikt bei der Telefonnummer. Die Telefonnummer des Kunden ist verdächtig"
"Risky order. The transaction, customer, and merchant information show multiple high-risk correlations","Riskante Bestellung. Transaktion, Kunde und Händlerinformationen weisen mehrere Korrelationen hohen Risikos auf."
