"AVS result code","Hasil kode AVS"
"CVN result code","Kode hasil CVN"
"Card number","Nomor kartu"
"Card expiry date","Tanggal kartu kadaluarsa"
"Decision","Keputusan"
"Transaction ID","ID transaksi"
"Risk Score","Skor risiko"
"Risk Factor","Faktor risiko"
"Reference number","Nomor referensi"
"Excessive address change. The customer changed the billing address two or more times in the last six months","Perubahan alamat yang berlebihan Pelanggan mengubah alamat penagihan dua kali atau lebih dalam enam bulan terakhir"
"Card BIN or authorization risk. Risk factors a e related to credit card BIN and/or card authorization checks","Risiko BIN atau kartu kredit. Faktor risiko ae terkait dengan kartu kredit BIN dan / atau kartu otorisasi cek"
"High number of account numbers. The customer used more than six credit cards numbers in the last six months","Tingginya jumlah nomor rekening. Pelanggan menggunakan lebih dari enam nomor kartu kredit dalam enam bulan terakhir"
"Email address impact. The customer uses a free email provider, or the email address is risky","Dampak alamat email Pelanggan menggunakan penyedia email gratis, atau alamat emailnya berisiko"
"Positive list. The customer is on your positive list. Decision Manager Developer Guide Using the Simple Order AP  January 201 10 Appendix  Information and Reply Code","Daftar positif Pelanggan ada di daftar positif Anda. Panduan Pengembang Keputusan Menggunakan Orde Sederhana AP Januari 201 10 Lampiran Informasi dan Balasan Kode"
"Negative list. The account number, street add ess, email address, or IP address for this order appears on your negative list","Daftar negatif Nomor rekening, alamat jalan, alamat email, atau alamat IP untuk pesanan ini akan muncul di daftar negatif Anda"
"Geolocation inconsistencies. The customer’s email domain, phone number, billing address, shipping address, or IP address is suspicious","Inkonsistensi geolokasi Domain email pelanggan, nomor telepon, alamat penagihan, alamat pengiriman, atau alamat IP mencurigakan"
"Excessive name changes. The customer changed the name two or more times in the last six months","Perubahan nama yang berlebihan Pelanggan mengubah nama dua kali atau lebih dalam enam bulan terakhir"
"Internet inconsistencies. The IP address  nd email domain are not consistent with the billing address","Dalam konsistensi internet Alamat IP dan domain email tidak sesuai dengan alamat penagihan"
"Nonsensical input. The customer name and address fields contain meaningless words or language","Masukan tidak masuk akal Bidang nama pelanggan dan alamat berisi kata atau bahasa yang tidak berarti"
"Obscenities. The customer’s input contains obscene words","Caci maki. Masukan pelanggan berisi kata-kata cabul"
"Identity morphing. Multiple values of an  dentity element are linked to a value of a different identity element. For example, m ltiple phone numbers are linked to a single account number","Identitas morphing Beberapa nilai elemen dentity dikaitkan dengan nilai elemen identitas yang berbeda. Misalnya, beberapa nomor telepon dihubungkan ke satu nomor akun"
"Phone inconsistencies. The customer’s phone number is suspicious","Inkonsistensi telepon Nomor telepon pelanggan mencurigakan"
"Risky order. The transaction, customer, and merchant information show multiple high-risk correlations","Urutan beresiko. Informasi transaksi, pelanggan, dan pedagang menunjukkan beberapa korelasi berisiko tinggi"
"Time hedge. The customer is attempting a purchase outside of the expected hours","Lindung nilai waktu Pelanggan sedang mencoba melakukan pembelian di luar jam kerja yang diharapkan"
"Unverifiable address. The billing or shipping address cannot be verified","Alamat yang tidak dapat diverifikasi Alamat penagihan atau pengiriman tidak dapat diverifikasi"
"Velocity. The account number was use  many times in the past 15 minutes","Kecepatan. Nomor rekening digunakan berkali-kali dalam 15 menit terakhir"
"Marked as suspect. The billing or shipping address is similar to an address previously marked as suspect","Ditandai sebagai tersangka. Alamat penagihan atau pengiriman sama dengan alamat yang sebelumnya ditandai sebagai tersangka"
"Gift Order. The street address, city, state, or country of the billing and shipping addresses do not correlate","Pesanan hadiah Alamat jalan, kota, negara bagian, atau negara dari alamat penagihan dan pengiriman tidak berkorelasi"
"Invalid value. Because the request contains an unexpected value, a default value was substituted. Although the transact on can still be processed, examine the request carefully for abnormalities in the order","Nilai tidak sah Karena permintaan berisi nilai tak terduga, nilai default diganti. Meski bertransaksi masih bisa diproses, periksa permintaan dengan hati-hati agar kelainan pada pesanan"
"Unknown factor. Please contact Cybersource customer service","Faktor tidak diketahui Silahkan hubungi layanan pelanggan Cybersource"
"Payment Token Build Error.","Kesalahan Pembuatan Token Pembayaran."
"Your payment has been declined. Please try again.","Pembayaran Anda telah ditolak Silahkan coba lagi."
"CC type field should be provided","Bidang tipe CC harus disediakan"
"Gateway validation error","Kesalahan jalan gerbang validasi"
"Authorize","Mengizinkan"
"Authorize and Capture","Otorisasi dan Tangkap"
"Risk Factor Q","Faktor Risiko Q"
"Risk Factor V","Faktor Risiko V"
"Place Order","Tempat pemesanan"
"Cybersource","Cybersource"
"Enabled","Diaktifkan"
"Payment Action","Tindakan Pembayaran"
"Title","Judul"
"Merchant ID","ID Pedagang"
"Transaction Key","Kunci transaksi"
"Profile ID","ID profil"
"Access Key","Kunci akses"
"Secret Key","Kunci rahasia"
"New Order Status","Status Orde Baru"
"Test Mode","Mode Uji"
"Debug","Debugging"
"Credit Card Types","Jenis Kartu Kredit"
"Payment from Applicable Countries","Pembayaran dari Negara yang Berlaku"
"Payment from Specific Countries","Pembayaran dari Negara Tertentu"
"Minimum Order Total","Minimum Order Total"
"Maximum Order Total","Maksimum Orderan Total"
"Sort Order","Urut pesanan"
"Authorize Only","Hanya yang Berwenang"
"Webhook URL","Webhook URL"
"Webhook URL should be set in your Cybersource account as Transaction Response Page.","Webhook URL should be set in your Cybersource account as Transaction Response Page."
"Is admin panel works on the different domain?","Is admin panel works on the different domain?"
"Admin Profile ID","Admin Profile ID"
"Admin Access Key","Admin Access Key"
"Admin Secret Key","Admin Secret Key"
"Admin Webhook URL","Admin Webhook URL"
"The credit card type field needs to be provided. Select the field and try again.","The credit card type field needs to be provided. Select the field and try again."
